LTLA,ts0440001,ts0440002,ts0440003,ts0440004,ts0440005,ts0440006,ts0440007,ts0440008,ts0440009
E06000057,146922,39981,53097,37801,12097,1933,809,870,334
E06000058,173842,61946,30018,17150,46587,13187,1819,2478,657
E06000059,169261,68763,39588,32748,19578,3316,1669,1563,2036
E06000060,220328,75661,66450,39127,31682,3220,1387,1646,1155
E06000061,148918,44461,52529,34629,13574,1324,1019,714,668
E06000062,172638,54696,54581,39859,18663,2077,1109,941,712
E07000008,52472,5700,13843,14478,16107,1638,227,400,79
E07000009,37204,15623,11946,6302,2232,313,195,154,439
E07000010,44081,20154,13187,6316,3126,365,194,263,476
E07000011,76878,30548,23248,13860,7027,650,553,397,595
E07000012,66995,27602,22639,11247,4033,431,138,196,709
E07000026,43973,12474,14914,12808,2519,397,310,358,193
E07000027,31259,4015,9721,14187,2479,275,134,164,284
E07000028,50662,12643,18558,13638,4268,718,452,284,101
E07000029,30792,7572,11829,9096,1413,240,228,170,244
E07000030,24613,9642,7623,4845,1589,275,282,222,135
E07000031,47657,15108,14655,11042,4149,1113,826,572,192
E07000032,56277,20624,20632,11157,2631,411,295,432,95
E07000033,35265,10298,15809,7091,1542,161,139,180,45
E07000034,48057,11874,21594,8564,4885,549,212,284,95
E07000035,32279,13376,10185,5689,1988,295,378,322,46
E07000036,50333,14528,22457,9087,2970,450,385,381,75
E07000037,40772,9765,12469,13482,2993,889,658,380,136
E07000038,45987,16871,19949,5896,2392,268,141,277,193
E07000039,45240,18672,15770,7743,2123,216,184,163,369
E07000040,66786,25712,18114,12997,6069,2207,559,708,420
E07000041,52551,7943,14140,16458,10306,2374,555,440,335
E07000042,35633,13703,10433,7870,2321,512,297,254,243
E07000043,43197,17051,10177,9471,3617,1422,505,540,414
E07000044,39335,15663,11029,8215,2414,828,520,370,296
E07000045,59837,22214,15003,13183,4916,2089,769,572,1091
E07000046,30455,13191,6974,7037,1816,590,332,294,221
E07000047,24817,10702,6570,4948,1552,422,261,206,156
E07000061,45609,7630,9908,10879,12395,3564,608,593,32
E07000062,40454,7732,8836,9155,8074,5531,568,475,83
E07000063,43689,15290,11924,7923,6161,1122,469,457,343
E07000064,42102,17719,9620,5452,5973,2181,455,478,224
E07000065,68264,29838,21164,8554,5909,1001,422,538,838
E07000066,76362,16660,20264,24924,13183,489,208,308,326
E07000067,64986,19060,22537,14498,7317,535,531,307,201
E07000068,32342,9815,10320,4823,6006,556,432,298,92
E07000069,37389,15580,14257,2842,2866,300,47,311,1186
E07000070,75403,22310,23467,14117,13380,664,414,437,614
E07000071,79709,24439,24512,14398,14157,1038,627,395,143
E07000072,54558,12611,17711,11716,10448,584,294,452,742
E07000073,37856,3863,6551,17166,9466,268,241,258,43
E07000074,27901,12543,8492,4065,1954,236,109,208,294
E07000075,35557,11951,16310,2811,3315,242,122,229,577
E07000076,67451,26999,21191,7435,8387,1382,609,655,793
E07000077,36959,15507,11427,5803,3159,331,325,178,229
E07000078,52898,9690,17599,11108,10148,3014,588,424,327
E07000079,40597,15135,12523,8099,3365,433,435,266,341
E07000080,37216,16649,12702,4983,1654,414,240,246,328
E07000081,55406,11646,21950,11475,8118,1147,500,345,225
E07000082,52378,19286,17216,9833,4021,658,642,395,327
E07000083,40931,14625,14240,7458,3346,239,162,213,648
E07000084,76645,23193,19880,20736,10893,768,535,369,271
E07000085,52722,22023,13606,9185,6205,666,331,353,353
E07000086,56922,18973,16190,12123,8044,705,213,283,391
E07000087,48639,17497,15670,8909,5547,366,164,278,208
E07000088,35922,4824,9877,12601,7317,447,327,371,158
E07000089,39966,16982,10238,7273,4496,249,218,300,210
E07000090,53592,15181,15840,12241,8806,525,278,531,190
E07000091,77566,35214,18667,11841,8522,896,420,752,1254
E07000092,39303,6491,12597,9238,9121,974,360,346,176
E07000093,54708,20554,14714,11883,6042,516,304,302,393
E07000094,51715,18714,13334,10372,6743,898,632,339,683
E07000095,39850,6102,11538,11710,9189,531,173,438,169
E07000096,63413,13526,15876,18918,13086,867,345,502,293
E07000098,42682,7985,13839,8700,10576,630,298,473,181
E07000099,56732,13776,17305,13939,9686,696,507,475,348
E07000102,36859,9584,12976,6801,6308,353,315,252,270
E07000103,39628,4152,11135,9839,11410,2199,407,463,23
E07000105,53580,17509,16430,11909,5787,614,319,299,713
E07000106,63793,20082,19750,11055,8925,2021,578,681,701
E07000107,45696,6025,14398,14103,9762,812,214,243,139
E07000108,50548,11828,15695,14112,6180,1388,502,502,341
E07000109,41724,6837,13799,12511,6745,1020,273,399,140
E07000110,71207,18444,23687,15768,10331,1245,504,397,831
E07000111,49013,16223,14044,10962,5745,780,301,373,585
E07000112,48338,13262,12566,10438,7268,3323,610,637,234
E07000113,60495,14477,20406,18041,5224,900,384,481,582
E07000114,62200,12622,18441,13778,10978,4058,1035,816,472
E07000115,53573,14478,19843,11506,6261,506,362,373,244
E07000116,48224,13128,14606,8381,7919,2840,684,497,169
E07000117,39873,5650,11921,18580,2788,314,253,266,101
E07000118,50130,16018,16548,12683,3931,365,143,246,196
E07000119,37605,11067,12061,6262,5231,1745,245,362,632
E07000120,34790,4409,9518,17536,2563,276,126,226,136
E07000121,59980,11657,22823,15302,6549,1858,653,489,649
E07000122,38066,5516,9318,20064,2269,295,218,266,120
E07000123,59607,11348,20358,17431,8318,1238,423,441,50
E07000124,26747,9217,7659,7558,1491,154,183,193,292
E07000125,30561,6634,8041,12675,2322,264,315,225,85
E07000126,48585,14458,21651,8169,3443,298,106,274,186
E07000127,48531,14794,18277,10184,4049,336,156,181,554
E07000128,50765,15200,20436,8738,3717,946,180,406,1142
E07000129,42575,16122,19474,4290,2089,170,106,201,123
E07000130,73785,23765,28527,13215,6364,721,335,460,398
E07000131,40414,19739,11794,5815,2237,221,188,172,248
E07000132,49447,18712,18659,7741,3299,314,247,307,168
E07000133,22597,9346,8216,3349,1119,226,144,128,69
E07000134,44974,18472,15690,7550,2206,262,176,245,373
E07000135,22614,6776,10683,3253,1527,159,80,128,8
E07000136,29404,12566,9540,3833,2726,340,102,153,144
E07000137,64754,32593,17833,7114,3673,1024,393,757,1367
E07000138,42509,8452,13061,12602,6783,994,294,295,28
E07000139,50989,27549,15521,5282,1586,182,183,193,493
E07000140,40703,21870,12661,3943,1337,330,164,178,220
E07000141,62849,26261,19391,10994,4265,511,355,348,724
E07000142,42345,20995,11472,7014,1554,188,238,212,672
E07000143,60358,28226,17941,9687,3244,407,321,254,278
E07000144,57764,26440,21802,6131,2320,284,182,207,398
E07000145,44542,13479,10908,12613,5155,976,366,438,607
E07000146,67464,29872,21161,9652,4793,651,419,388,528
E07000147,48374,21614,14583,6963,3226,841,428,401,318
E07000148,64459,6612,14029,20606,19471,2019,1067,579,76
E07000149,61382,30430,19062,7674,3141,359,313,211,192
E07000163,26070,6724,7563,8936,1298,380,645,285,239
E07000164,40802,17377,12527,7817,2138,247,278,256,162
E07000165,71169,22880,21976,13760,7208,3062,933,664,686
E07000166,20945,7497,7515,4226,1057,178,236,154,82
E07000167,24715,10135,8124,4537,1183,205,187,237,107
E07000168,51123,11922,17274,10684,6899,2855,701,737,51
E07000169,39561,16243,13615,6841,2195,239,138,168,122
E07000170,54508,16512,22942,10598,3469,419,144,373,51
E07000171,51458,18078,21301,8111,2824,414,191,270,269
E07000172,48363,17519,17392,7816,4524,436,256,332,88
E07000173,51552,20119,17741,7672,4902,423,161,312,222
E07000174,48031,14594,20776,8028,3592,472,164,276,129
E07000175,53331,20332,19829,8390,3355,413,395,267,350
E07000176,49884,23373,15394,5600,3810,877,182,262,386
E07000177,65897,20046,23194,14268,6408,889,462,368,262
E07000178,55239,5257,17531,15353,13310,2680,454,525,129
E07000179,61497,21670,20433,11348,5526,677,525,388,930
E07000180,57498,21151,17558,10387,6387,662,511,306,536
E07000181,47977,16180,16129,10215,3995,432,367,328,331
E07000187,50292,16137,16078,11918,4033,934,613,362,217
E07000188,53901,17703,17416,11565,4962,845,426,349,635
E07000189,75937,25568,23944,17476,6185,1065,665,448,586
E07000192,43459,13006,20293,5183,4092,314,205,312,54
E07000193,51293,16885,16661,11542,4917,462,308,358,160
E07000194,45630,17278,16135,6477,4596,386,250,248,260
E07000195,53424,13642,23932,10341,4565,486,118,271,69
E07000196,46125,18240,18073,4957,3395,287,130,264,779
E07000197,60048,23097,19639,9835,5733,697,389,315,343
E07000198,42355,17251,16034,6660,1355,242,370,352,91
E07000199,32895,8763,12665,7052,3636,377,115,145,142
E07000200,40200,16778,12119,8293,2184,235,279,192,120
E07000202,59504,8429,22907,13267,12311,1444,583,493,70
E07000203,44343,20822,14437,6041,2099,225,211,170,338
E07000207,55588,18146,14384,9232,11500,1256,296,725,49
E07000208,31321,8273,10935,4144,6546,643,386,374,20
E07000209,55762,18664,18188,7588,8404,1744,336,373,465
E07000210,37137,13978,10417,4445,5980,805,410,383,719
E07000211,59849,16679,17720,9596,12839,1467,583,617,348
E07000212,34839,9032,11190,5369,6922,634,318,330,1044
E07000213,41804,7958,14290,8235,9525,815,249,454,278
E07000214,36005,15738,9152,4481,5300,619,203,301,211
E07000215,35623,12692,9916,4844,6323,862,301,370,315
E07000216,52447,21167,14422,7463,6934,1164,634,470,193
E07000217,41439,12637,10246,7661,9413,817,225,323,117
E07000218,27580,7965,10828,6227,1869,200,166,194,131
E07000219,56587,14120,21569,13649,5968,603,134,337,207
E07000220,47013,14350,15938,10615,4836,583,232,283,176
E07000221,59461,22562,18740,10693,5323,598,352,351,842
E07000222,62617,16000,20010,13086,10235,1941,638,556,151
E07000223,27678,5030,10567,5758,5004,638,136,308,237
E07000224,72662,24179,18174,14057,11583,2605,464,637,963
E07000225,54118,19290,15378,9973,6993,807,640,433,604
E07000226,45500,6480,10322,17014,10807,398,202,264,13
E07000227,62371,23201,16747,10659,9723,720,455,388,478
E07000228,63351,21657,18994,9960,9829,1364,661,607,279
E07000229,49538,10539,11725,9788,11817,4466,442,746,15
E07000234,41265,15711,14902,5878,3642,286,207,275,364
E07000235,34892,15441,10869,3891,2731,805,452,295,408
E07000236,36378,10014,11419,9393,4731,513,135,151,22
E07000237,44721,9910,15668,9659,7454,964,566,456,44
E07000238,57355,23809,17665,9138,4518,592,435,331,867
E07000239,45320,13347,16844,8342,4455,568,332,363,1069
E07000240,58990,15495,17838,11819,11090,1284,689,521,254
E07000241,46209,9217,11254,14814,9820,355,268,353,128
E07000242,62022,17112,18799,13467,10622,618,756,470,178
E07000243,36513,4354,7133,16848,7356,446,148,211,17
E07000244,110745,43732,32076,23105,7704,1792,709,828,799
E07000245,78746,27589,22471,18429,8129,782,443,438,465
E07000246,69986,21926,20782,15815,8005,1641,729,559,529
E08000001,118791,20799,42656,39464,13194,1046,829,714,89
E08000002,80695,15185,31115,22817,9735,888,365,541,49
E08000003,214732,11603,68528,60020,60411,8370,3837,1771,192
E08000004,93140,12356,33440,35838,9857,556,470,549,74
E08000005,90223,15155,32358,31026,9916,771,356,547,94
E08000006,115117,10764,39987,29241,31999,1606,702,690,128
E08000007,126648,27416,52145,26512,16692,1730,1004,1075,74
E08000008,99526,11904,38449,33953,12799,915,680,720,106
E08000009,96269,14601,42193,19976,16236,1839,547,846,31
E08000010,143103,27450,65250,37347,10604,1066,529,771,86
E08000011,66073,9929,28445,20845,6041,271,131,225,186
E08000012,207491,17047,63639,78552,35589,8162,2653,1785,64
E08000013,81011,12833,38054,22929,5824,602,278,442,49
E08000014,123073,19926,56728,22585,16693,5156,685,1240,60
E08000015,143252,24892,59592,33594,16980,5629,892,1572,101
E08000016,108055,25317,49183,25178,6745,712,334,513,73
E08000017,133480,32223,60700,28207,8534,1670,455,842,849
E08000018,113924,25415,56050,20689,9957,723,378,670,42
E08000019,231952,34839,88149,60285,40731,3877,2008,1978,85
E08000021,122798,11676,42492,28946,30478,7364,1051,759,32
E08000022,96232,12051,40118,22090,17096,3839,443,580,15
E08000023,68286,6408,29261,18704,10952,2290,256,377,38
E08000024,122177,16201,55039,35518,12158,2076,420,628,137
E08000025,423455,47332,150608,117527,88786,12083,2554,4268,297
E08000026,134140,15498,40312,53515,21079,2301,324,883,228
E08000027,137069,29595,66305,21158,16425,1614,889,990,93
E08000028,130246,15453,57980,31724,21923,1610,383,1083,90
E08000029,89483,25497,33536,14102,14754,562,259,598,175
E08000030,112226,20550,48092,23982,17027,1008,396,958,213
E08000031,105141,17727,48334,17276,18296,2184,412,797,115
E08000032,209867,30851,76995,69168,24306,3390,2769,1802,586
E08000033,90476,13730,25842,37356,9813,1010,1897,639,189
E08000034,177989,38467,60938,55986,17060,2139,2153,1045,201
E08000035,341466,52788,127950,85263,59601,9078,4040,2315,431
E08000036,153075,34197,68246,33718,13856,1289,679,837,253
E08000037,88999,10364,38460,22239,14652,2418,349,451,66
E09000001,4914,7,15,78,4273,66,272,203,0
E09000002,73899,3751,16358,30754,20451,1577,192,756,60
E09000003,148917,15046,40919,22155,54446,13136,1053,1982,180
E09000004,95298,7054,42154,22536,20318,1687,342,1166,41
E09000005,118612,7142,26467,17697,45086,19550,757,1817,96
E09000006,135827,24563,40562,27990,31895,7920,896,1773,228
E09000007,92759,1584,3294,7504,52159,24284,1650,2213,71
E09000008,152946,18714,37841,35580,44285,12973,1178,2238,137
E09000009,133659,6798,29225,31261,46120,16967,1206,1854,228
E09000010,120923,9059,29986,34911,36776,7866,788,1426,111
E09000011,114054,4656,20106,30419,49157,6862,1668,1094,92
E09000012,106079,1433,3816,14729,64067,16469,3571,1743,251
E09000013,81243,933,3790,15280,39074,19940,944,1187,95
E09000014,105092,4057,9899,26896,37181,23999,1225,1684,151
E09000015,89642,10174,33281,15136,23528,5754,525,1209,35
E09000016,101277,11276,41729,24643,20101,1729,369,1156,274
E09000017,109225,15182,38338,21773,28585,3140,500,1425,282
E09000018,102961,5022,29477,21123,38538,6540,843,1187,231
E09000019,96496,826,2639,12265,55352,20524,2985,1815,90
E09000020,66884,767,2064,8561,37911,15720,771,1016,74
E09000021,65626,8284,20797,11300,19535,4271,409,934,96
E09000022,134688,2726,10494,20194,69465,27717,2559,1455,78
E09000023,122393,3682,15884,32070,47837,19953,1270,1570,127
E09000024,81728,4659,15514,29176,23191,7515,584,1035,54
E09000025,115509,6337,11937,36118,50384,8110,840,1584,199
E09000026,103713,7229,27965,33469,26303,6792,505,1297,153
E09000027,80705,6683,20164,21431,22721,7074,1001,1437,194
E09000028,130818,2377,7400,18764,84281,12560,3758,1462,216
E09000029,82348,8611,23003,20167,25737,3224,469,1099,38
E09000030,120542,1127,2744,10654,97258,2757,4210,1601,191
E09000031,102901,4241,16840,35667,31555,12324,681,1492,101
E09000032,137393,3031,9640,30521,66056,24263,1770,1969,143
E09000033,94814,1047,1735,6849,66514,15302,1321,1957,89
W06000001,30825,14623,7051,6827,1423,312,158,254,177
W06000002,51104,17732,12980,15300,3098,796,376,620,202
W06000003,52235,18928,16541,7381,5947,2252,373,661,152
W06000004,42384,18520,13551,5433,3111,872,272,496,129
W06000005,66910,25985,27073,9019,3488,452,244,349,300
W06000006,57916,18316,21801,11087,5647,433,246,280,106
W06000008,30897,15661,7146,4342,1986,895,236,386,245
W06000009,55487,23707,15301,10121,3928,816,466,568,580
W06000010,81762,32928,27390,15352,3802,912,330,594,454
W06000011,104961,25167,36244,26665,13199,2178,490,775,243
W06000012,62374,13305,26897,15855,5139,640,150,309,79
W06000013,62360,15839,24570,15556,4899,798,212,345,141
W06000014,57450,15949,17532,15091,6333,1229,488,508,320
W06000015,147334,20772,43709,43617,29755,7395,787,1148,151
W06000016,103339,17012,28717,48928,6780,729,425,654,94
W06000018,76257,13093,30283,26464,5090,525,221,540,41
W06000019,30338,3610,8691,15157,2268,263,95,225,29
W06000020,40239,8061,11220,16130,4193,278,89,187,81
W06000021,40925,18030,11747,6829,3091,432,350,338,108
W06000022,66054,13654,20759,20549,8885,1362,287,410,148
W06000023,60182,29176,15351,10134,3187,690,452,653,539
W06000024,25783,4329,7317,12197,1414,197,90,193,46
