LTLA,ts0440001,ts0440002,ts0440003,ts0440004,ts0440005,ts0440006,ts0440007,ts0440008,ts0440009
E06000001,40932,8086,14537,13469,3995,314,156,260,115
E06000002,60262,10389,25485,16768,6457,647,157,308,51
E06000003,61637,12449,27942,15666,4005,791,312,388,84
E06000004,83756,22209,35494,18298,6444,723,175,334,79
E06000005,48920,9331,19148,13937,5271,743,172,240,78
E06000006,55951,11746,19285,18675,5317,380,161,260,127
E06000007,90539,22273,36508,20642,9294,1135,237,368,82
E06000008,58766,8945,17343,25507,5550,727,205,445,44
E06000009,64791,6207,25548,19105,8771,3622,332,1052,154
E06000010,115471,9676,33932,53953,13165,2681,831,1071,162
E06000011,152065,53673,55372,28943,9684,2025,681,1145,542
E06000012,69824,15597,24186,22044,5517,1487,287,628,78
E06000013,73172,25763,30620,9819,5076,696,183,456,559
E06000014,85462,19192,30614,20365,11800,1663,915,624,289
E06000015,105653,25428,41273,23082,12936,1541,442,656,295
E06000016,127388,14467,46365,37181,22678,3817,1446,1365,69
E06000017,16694,7753,4710,2826,952,117,97,104,135
E06000018,124745,19464,41519,34147,23009,3772,1543,1137,154
E06000019,82827,35100,23379,13535,6949,1431,823,774,836
E06000020,76509,23899,29065,15539,6492,505,383,343,283
E06000021,110400,16542,50860,30437,10166,1304,323,720,48
E06000022,79250,17678,22713,21579,10672,4646,985,666,311
E06000023,191638,11550,51061,61440,42039,19494,3490,2380,184
E06000024,94647,31344,28469,14314,12303,5393,1023,682,1119
E06000025,118101,31401,40784,30133,12339,1515,472,672,785
E06000026,114558,13017,34537,37592,18588,8629,1092,773,330
E06000027,62995,14125,15617,14226,10818,5877,1098,1004,230
E06000030,95862,21354,29458,27788,14584,1458,448,555,217
E06000031,84533,23554,27721,18495,12436,1106,299,386,536
E06000032,78942,10158,31781,17356,16209,2292,352,667,127
E06000033,78343,12347,24276,13335,15982,10249,685,1378,91
E06000034,66378,8295,22883,19405,14411,588,121,463,212
E06000035,111458,16046,34408,41983,14768,2165,497,917,674
E06000036,50248,13532,10917,14477,9602,311,272,295,842
E06000037,66659,22031,21690,11369,8882,965,607,398,717
E06000038,67682,8291,17548,19083,18210,3250,561,604,135
E06000039,52422,5453,15513,13775,15533,1422,220,434,72
E06000040,60934,18704,15929,10908,12168,1525,502,575,623
E06000041,69165,29512,20178,9938,7625,646,275,317,674
E06000042,113102,31671,33130,27738,18825,844,348,468,78
E06000043,121402,12541,23918,24095,33449,23803,1775,1727,94
E06000044,86155,3864,14218,37361,22794,5448,1202,1121,147
E06000045,102293,13291,26344,20089,35540,5177,849,910,93
E06000046,64775,22024,19076,9877,8572,3075,909,793,449
E06000047,234761,48799,89775,83017,9623,1373,684,1104,386
E06000049,174856,63928,56799,34980,14284,1878,1267,940,780
E06000050,155156,47457,56297,31924,15140,1595,857,817,1069
E06000051,139583,57267,46762,21998,8467,1439,1390,1094,1166
E06000052,250535,93105,66437,54967,20842,6185,2794,2319,3886
E06000053,939,321,220,166,77,88,28,38,1
E06000054,215081,75628,68361,44590,19107,2681,1818,1371,1525
E06000055,74950,20813,24743,14941,10679,2127,460,530,657
E06000056,120755,35355,41573,28303,12296,894,739,666,929
