LTLA,ts0500001,ts0500002,ts0500003,ts0500004,ts0500005
E06000001,40930,3337,11306,18739,7548
E06000002,60262,5093,14520,30792,9857
E06000003,61638,4777,15953,30528,10380
E06000004,83757,5834,18571,40365,18987
E06000005,48916,4269,15883,19932,8832
E06000006,55952,4675,13175,28821,9281
E06000007,90538,8414,21241,41021,19862
E06000008,58765,4979,18439,24726,10621
E06000009,64789,9567,17067,29669,8486
E06000010,115472,13631,38702,50467,12672
E06000011,152066,9913,40868,62683,38602
E06000012,69826,5851,14647,38325,11003
E06000013,73173,4643,15980,38793,13757
E06000014,85459,8903,25633,30918,20005
E06000015,105654,10902,29559,46507,18686
E06000016,127388,19921,32520,55588,19359
E06000017,16694,913,3430,6597,5754
E06000018,124745,17705,35426,54970,16644
E06000019,82827,7859,19311,34281,21376
E06000020,76509,5412,18020,35199,17878
E06000021,110400,9572,41910,48447,10471
E06000022,79250,9477,18743,30097,20933
E06000023,191638,30983,54420,74425,31810
E06000024,94648,9329,24661,34565,26093
E06000025,118101,9363,25231,52165,31342
E06000026,114558,16317,33603,46928,17710
E06000027,62994,9157,19533,23000,11304
E06000030,95862,10476,25425,39563,20398
E06000031,84533,9608,21161,35502,18262
E06000032,78940,12065,19520,34737,12618
E06000033,78344,13496,23326,26969,14553
E06000034,66377,7552,17016,31506,10303
E06000035,111458,11775,27969,52346,19368
E06000036,50248,6008,12040,18533,13667
E06000037,66658,6541,15204,25021,19892
E06000038,67683,11279,19604,24366,12434
E06000039,52423,9719,14040,19814,8850
E06000040,60934,6595,14229,20574,19536
E06000041,69164,4762,13433,23966,27003
E06000042,113102,12917,28359,42741,29085
E06000043,121402,29944,37846,31679,21933
E06000044,86155,13369,25178,35413,12195
E06000045,102291,21066,30864,37537,12824
E06000046,64775,7100,21334,25735,10606
E06000047,234762,13963,76325,105319,39155
E06000049,174856,12548,44059,67535,50714
E06000050,155156,10810,35789,70915,37642
E06000051,139582,9970,33863,59067,36682
E06000052,250535,23155,71970,102970,52440
E06000053,941,151,264,337,189
E06000054,215079,15972,51905,85975,61227
E06000055,74950,8974,16349,30359,19268
E06000056,120756,9532,28683,50128,32413
E06000057,146922,10606,41342,62997,31977
E06000058,173842,27098,56598,56856,33290
E06000059,169261,14932,45806,67982,40541
E06000060,220328,20955,49212,79613,70548
E06000061,148918,10662,35486,67977,34793
E06000062,172639,15049,42940,67525,47125
E07000008,52472,9659,14531,16464,11818
E07000009,37200,2720,9512,14351,10617
E07000010,44083,3883,13351,18506,8343
E07000011,76880,6160,16616,30420,23684
E07000012,66996,4519,15063,23576,23838
E07000026,43973,2155,11720,20979,9119
E07000027,31259,2379,10567,14194,4119
E07000028,50663,3416,15756,21852,9639
E07000029,30789,1176,7796,15835,5982
E07000030,24613,1416,5785,10836,6576
E07000031,47657,3735,12613,20410,10899
E07000032,56277,3599,16739,24824,11115
E07000033,35261,1517,11037,17478,5229
E07000034,48058,5075,15087,20682,7214
E07000035,32283,2351,7864,13455,8613
E07000036,50334,3707,14149,24280,8198
E07000037,40772,3491,11783,16304,9194
E07000038,45988,2758,12778,21156,9296
E07000039,45240,2305,10935,19593,12407
E07000040,66788,5000,19181,26029,16578
E07000041,52554,7596,14158,19740,11060
E07000042,35633,2846,9004,13787,9996
E07000043,43197,3942,11247,17317,10691
E07000044,39334,3091,9708,15367,11168
E07000045,59837,5378,17400,22309,14750
E07000046,30455,2065,8392,12621,7377
E07000047,24818,1869,6336,9571,7042
E07000061,45610,7746,15017,15910,6937
E07000062,40453,6812,12933,13930,6778
E07000063,43688,4751,12440,16582,9915
E07000064,42103,4092,13141,15002,9868
E07000065,68266,5162,18372,23823,20909
E07000066,76361,9606,18785,30692,17278
E07000067,64986,5745,17343,25781,16117
E07000068,32342,3541,8233,10752,9816
E07000069,37389,3300,10248,14767,9074
E07000070,75403,8712,16866,28153,21672
E07000071,79710,8360,21976,30601,18773
E07000072,54557,6426,12871,20005,15255
E07000073,37857,6022,12087,14739,5009
E07000074,27900,2280,6371,10261,8988
E07000075,35560,3015,8537,14064,9944
E07000076,67451,6840,24126,24570,11915
E07000077,36958,2829,7602,12654,13873
E07000078,52899,7449,15159,18260,12031
E07000079,40597,3357,9336,15362,12542
E07000080,37217,2800,8989,16145,9283
E07000081,55407,6421,14749,22887,11350
E07000082,52377,4440,12379,20046,15512
E07000083,40931,3127,9427,16856,11521
E07000084,76645,7435,17588,30820,20802
E07000085,52718,4654,11659,19002,17403
E07000086,56924,4759,14521,23499,14145
E07000087,48637,3706,10796,20613,13522
E07000088,35922,4506,10439,15858,5119
E07000089,39961,2885,7806,13726,15544
E07000090,53589,5634,13692,23656,10607
E07000091,77566,6506,19643,32249,19168
E07000092,39303,5353,10696,16470,6784
E07000093,54708,4715,11711,22075,16207
E07000094,51715,5230,11934,16992,17559
E07000095,39847,4864,10201,16366,8416
E07000096,63412,8022,15360,23774,16256
E07000098,42682,5296,11400,15472,10514
E07000099,56731,6670,13752,22261,14048
E07000102,36855,4031,8429,13602,10793
E07000103,39630,7179,11414,13526,7511
E07000105,53583,4338,13648,21748,13849
E07000106,63793,7048,18956,22530,15259
E07000107,45698,5504,13576,18255,8363
E07000108,50548,4871,15243,21403,9031
E07000109,41723,4999,9760,19015,7949
E07000110,71208,6877,19005,28002,17324
E07000111,49013,4500,11002,18292,15219
E07000112,48338,5753,15051,17315,10219
E07000113,60494,5196,15943,27801,11554
E07000114,62200,8482,21255,21640,10823
E07000115,53573,4382,12868,21370,14953
E07000116,48223,6691,12303,15598,13631
E07000117,39872,3497,15063,16124,5188
E07000118,50134,3518,12306,21807,12503
E07000119,37606,3697,10649,13946,9314
E07000120,34790,3086,13758,13483,4463
E07000121,59980,5684,17495,24687,12114
E07000122,38066,3202,13183,15723,5958
E07000123,59607,6695,15075,26450,11387
E07000124,26749,1740,7038,10175,7796
E07000125,30561,2898,9845,11444,6374
E07000126,48584,2782,11492,23531,10779
E07000127,48533,3230,10154,22572,12577
E07000128,50767,3938,15104,21615,10110
E07000129,42575,2109,8576,20532,11358
E07000130,73785,5908,16982,31731,19164
E07000131,40414,2295,8743,14523,14853
E07000132,49446,2950,12801,21653,12042
E07000133,22599,1343,4889,10257,6110
E07000134,44974,2595,10066,20095,12218
E07000135,22617,1201,5441,10453,5522
E07000136,29404,2543,8612,13452,4797
