LTLA,ts0200001,ts0200002,ts0200003
E06000026,307,155,152
E06000027,133,82,51
E06000030,320,193,127
E06000052,394,200,194
E06000053,9,4,5
E06000054,429,256,173
E06000058,745,381,364
E06000059,279,157,122
E07000040,55,25,30
E07000041,1231,654,577
E07000042,46,23,23
E07000043,79,46,33
E07000044,75,41,34
E07000045,58,36,22
E07000046,39,16,23
E07000047,56,26,30
E07000078,266,163,103
E07000079,109,60,49
E07000080,37,23,14
E07000081,150,86,64
E07000082,63,34,29
E07000083,31,19,12
E07000187,161,77,84
E07000188,133,64,69
E07000189,121,58,63
E07000246,293,133,160
W06000001,19,12,7
W06000002,269,132,137
W06000003,42,22,20
W06000004,63,39,24
W06000005,42,29,13
W06000006,89,38,51
W06000008,157,92,65
W06000009,39,19,20
W06000010,83,40,43
W06000011,460,233,227
W06000012,53,17,36
W06000013,34,23,11
W06000014,132,83,49
W06000015,2047,1153,894
W06000016,196,77,119
W06000018,29,18,11
W06000019,11,7,4
W06000020,16,6,10
W06000021,67,39,28
W06000022,156,86,70
W06000023,35,22,13
W06000024,25,13,12
