LTLA,ts0300001,ts0300002,ts0300003,ts0300004,ts0300005,ts0300006,ts0300007,ts0300008,ts0300009,ts0300010
E07000076,148294,64075,73061,420,350,224,647,63,696,8758
E07000077,91341,37916,45850,369,419,351,669,100,379,5288
E07000078,118835,52733,54073,559,1192,198,1744,181,619,7536
E07000079,90835,33310,50597,333,237,159,236,65,422,5476
E07000080,87007,36238,43969,220,103,59,237,68,520,5593
E07000081,132415,52507,63145,401,1283,64,6200,255,652,7908
E07000082,121104,53424,57483,530,278,141,409,79,897,7863
E07000083,94885,38746,48345,341,684,70,521,113,399,5666
E07000084,185152,80443,84090,1583,4099,168,2802,505,1139,10323
E07000085,125744,51488,64194,403,361,213,749,83,593,7660
E07000086,136443,61379,62367,514,1350,114,1406,1023,630,7660
E07000087,114512,49987,56248,341,401,66,714,88,491,6176
E07000088,81952,39662,36558,272,226,37,454,29,520,4194
E07000089,99408,40898,49461,630,1187,117,807,325,404,5579
E07000090,124208,58869,56317,357,339,97,657,98,620,6854
E07000091,175785,71539,90768,536,284,234,590,87,1006,10741
E07000092,99756,37854,42173,4732,5708,60,2462,198,1245,5324
E07000093,130492,53030,65873,619,1015,114,1180,581,597,7483
E07000094,127444,53752,61948,789,948,219,904,188,673,8023
E07000095,99009,32714,52492,479,1150,365,4249,156,1601,5803
E07000096,155082,63681,71955,726,2547,896,4869,311,747,9350
E07000098,107826,26092,45022,623,5337,18346,4062,245,1117,6982
E07000099,133210,59315,58320,658,1455,369,2064,2280,733,8016
E07000102,93771,28922,44655,486,7791,1463,3458,844,870,5282
E07000103,102246,25340,45447,1021,8398,944,13262,664,859,6311
E07000105,132747,54002,63197,1341,2717,142,2110,147,1533,7558
E07000106,157429,66087,73413,961,1297,310,2875,279,1145,11062
E07000107,116752,42581,56172,691,4433,91,4100,2014,465,6205
E07000108,116410,49302,57768,591,723,113,734,73,649,6457
E07000109,106899,34353,52565,347,1491,76,3326,8560,664,5517
E07000110,175781,70501,86589,1341,2477,164,3332,270,1123,9984
E07000111,120515,47639,62479,464,805,234,1088,288,416,7102
E07000112,109756,45890,52653,1074,1625,146,1107,46,973,6242
E07000113,151677,68784,71562,406,587,118,1529,208,672,7811
E07000114,140590,62054,65654,598,803,268,2129,103,866,8115
E07000115,132201,56516,64406,451,1167,163,1381,240,508,7369
E07000116,115311,46480,57258,484,1115,224,1904,81,558,7207
E07000117,94646,29822,45608,227,174,33,13255,53,355,5119
E07000118,117732,36383,72438,286,335,59,1648,59,534,5990
E07000119,81373,25389,50138,275,234,288,576,64,327,4082
E07000120,82236,23360,41949,152,84,28,12049,30,342,4242
E07000121,142934,54433,74108,604,604,144,2663,147,809,9422
E07000122,95759,27526,37526,223,70,32,24900,35,357,5090
E07000123,147835,38931,70424,435,4398,76,23825,1091,610,8045
E07000124,61561,16144,40855,132,178,22,796,24,162,3248
E07000125,70870,28412,34611,184,103,64,3476,32,333,3655
E07000126,111035,34239,68622,232,776,58,1027,117,379,5585
E07000127,117427,37018,72269,262,241,70,507,94,357,6609
E07000128,111942,37720,66973,294,183,85,452,26,477,5732
E07000129,102926,43851,44684,263,3825,57,1421,2927,410,5488
E07000130,183968,74902,76327,643,12278,149,5703,2042,953,10971
E07000131,97624,37480,49046,256,2477,118,1120,1467,379,5281
E07000132,113639,47368,56637,265,1251,39,796,740,556,5987
E07000133,51754,20365,27771,148,200,28,130,70,181,2861
E07000134,104706,45987,51429,221,478,45,419,304,461,5362
E07000135,57747,17441,19996,185,5747,95,6480,4342,333,3128
E07000136,70502,22034,42171,164,237,41,967,32,283,4573
E07000137,142299,55197,76661,324,195,84,457,89,690,8602
E07000138,103813,48940,43898,355,456,70,1896,103,793,7302
E07000139,118074,46641,63147,215,244,67,529,91,546,6594
E07000140,95123,31438,56024,171,219,62,448,117,416,6228
E07000141,143405,53837,78626,374,853,126,731,119,574,8165
E07000142,95152,36111,52061,221,290,45,383,130,481,5430
E07000143,141476,59622,70710,400,209,145,650,62,801,8877
E07000144,131721,58584,62767,391,372,157,648,89,574,8139
E07000145,99746,45084,46564,267,351,63,723,37,537,6120
E07000146,154328,60898,80869,476,428,157,804,119,795,9782
E07000147,102979,40804,53825,373,75,130,173,17,641,6941
E07000148,143922,76973,48399,983,1719,331,4289,185,1283,9760
E07000149,141950,62982,67308,524,542,197,859,57,664,8817
E07000163,56930,21902,30643,129,98,48,622,32,256,3200
E07000164,90687,30917,53848,200,91,55,243,30,325,4978
E07000165,162665,58941,90356,561,455,359,901,122,669,10301
E07000166,49776,17803,27736,480,733,20,116,21,358,2509
E07000167,54706,18710,32101,123,29,29,164,9,234,3307
E07000168,108738,42889,57393,357,152,56,713,10,554,6614
E07000169,91988,35718,50361,183,119,64,225,102,367,4849
E07000170,126301,63479,53095,250,418,40,762,294,596,7367
E07000171,117804,44234,65122,253,271,45,734,182,472,6491
E07000172,110940,51966,46644,475,1215,122,2545,1037,540,6396
E07000173,117265,55880,49698,364,774,98,2478,952,550,6471
E07000174,110483,50400,51385,305,376,37,1240,239,489,6012
E07000175,122956,50655,63222,289,229,90,749,166,514,7042
E07000176,119077,52917,52467,402,1856,280,2677,1167,587,6724
E07000177,161018,61286,80987,900,1243,200,5206,622,821,9753
E07000178,162038,63201,61750,1195,2523,1120,14093,599,1447,16110
E07000179,149085,61344,74332,618,1095,342,1441,252,671,8990
E07000180,138913,57894,67443,755,1193,268,1982,250,686,8442
E07000181,114236,46393,58801,433,278,187,757,62,604,6721
E07000187,116090,50786,54485,601,173,151,338,28,1409,8119
E07000188,125343,52497,63092,310,155,65,598,62,694,7870
E07000189,172670,67942,90973,503,344,118,744,33,968,11045
E07000192,100519,41294,52707,222,162,29,346,379,445,4935
E07000193,124020,42020,62560,332,361,38,10778,403,542,6986
E07000194,106436,40563,57683,245,460,61,722,923,443,5336
E07000195,123302,48009,63931,474,698,66,2223,252,533,7116
E07000196,110472,35933,65385,273,441,41,863,1716,462,5358
E07000197,136868,50479,74360,570,1263,61,1488,605,683,7359
E07000198,95845,32466,56835,182,116,35,263,62,395,5491
E07000199,78648,34850,38593,194,217,15,354,221,310,3894
E07000200,92341,39638,45765,242,156,127,433,26,401,5553
E07000202,139642,63256,58898,596,1342,101,5433,456,838,8722
E07000203,102699,44715,50674,327,165,86,254,27,428,6023
E07000207,138753,49121,72133,750,2218,750,3531,742,609,8899
E07000208,80938,28903,38957,549,2891,206,3926,224,334,4948
E07000209,143649,56969,69233,991,1972,382,3105,316,677,10004
E07000210,87387,33563,45616,345,646,218,1046,118,360,5475
E07000211,150846,57451,73992,698,3640,364,4642,315,636,9108
E07000212,88079,30654,44415,458,2029,223,2519,1269,450,6062
E07000213,102955,32112,52432,703,4372,174,4146,2612,520,5884
E07000214,90457,32546,45265,951,2021,142,2829,1054,496,5153
E07000215,87872,34192,44956,340,1012,152,1159,90,341,5630
E07000216,128229,49987,66605,564,453,265,1505,117,603,8130
E07000217,103943,34574,49465,642,2488,223,9730,285,502,6034
E07000218,65039,24802,35778,139,190,26,259,306,270,3269
E07000219,134196,50778,65042,726,2185,39,3979,3529,850,7068
E07000220,114363,41331,57728,440,3758,69,2109,1552,598,6778
E07000221,134724,48339,75936,397,617,178,646,573,569,7469
E07000222,148453,59337,66224,594,3743,278,2243,6299,774,8961
E07000223,64541,30890,27836,274,209,249,840,31,392,3820
E07000224,164889,65762,85922,502,391,262,1157,79,861,9953
E07000225,124068,47977,65910,611,312,226,685,43,664,7640
E07000226,118493,41555,50497,529,6090,96,11521,851,634,6720
E07000227,146778,61763,72325,581,814,272,1270,105,658,8990
E07000228,152569,64207,73108,577,1573,328,1841,148,1121,9666
E07000229,111336,50895,48897,704,739,274,1912,124,778,7013
E07000234,99183,37139,53075,284,670,94,859,1152,392,5518
E07000235,79486,30310,42846,288,143,65,386,86,407,4955
E07000236,87036,34837,42549,184,307,52,3628,309,384,4786
E07000237,103871,41084,50755,367,433,51,4227,168,451,6335
E07000238,132491,46361,76487,334,203,112,724,339,553,7378
E07000239,101607,39256,54180,234,126,42,1056,256,472,5985
E07000240,148166,55020,70246,735,2740,2237,6915,535,709,9029
E07000241,119836,44307,56536,890,3807,1093,3923,450,819,8011
