LTLA,ts0320001,ts0320002,ts0320003,ts0320004,ts0320005,ts0320006,ts0320007,ts0320008,ts0320009,ts0320010
W06000001,67083,7468,30316,4414,2221,883,157,544,459,20621
W06000002,114308,8166,63256,6142,3170,1213,387,1004,993,29977
W06000003,111805,10707,22605,4022,2058,1849,248,842,315,69159
W06000004,93061,7429,16459,2836,1417,1416,181,568,233,62522
W06000005,150560,7495,12920,2873,1350,2112,278,834,283,122415
W06000006,131088,7140,11957,2526,1200,1898,292,852,270,104953
W06000008,69911,5948,26104,3410,1813,1128,158,524,351,30475
W06000009,120208,7359,15617,3216,1530,1541,159,622,263,89901
W06000010,182718,19995,56493,10578,5031,2942,378,1279,735,85287
W06000011,231892,11345,19951,3716,2008,3556,317,1288,311,189400
W06000012,138320,8032,14095,2993,1388,2311,168,789,186,108358
W06000013,141293,5500,10177,1713,982,2491,189,853,165,119223
W06000014,128080,4488,11946,1753,877,1615,137,560,159,106545
W06000015,351240,11157,35578,4418,2326,4919,466,2087,435,289854
W06000016,230316,9261,23345,3229,1695,3748,385,1229,287,187137
W06000018,170687,5266,14502,2061,1003,1890,223,750,271,144721
W06000019,64796,1508,3048,602,289,439,92,278,96,58444
W06000020,89379,2007,5783,974,491,656,135,399,117,78817
W06000021,90685,2273,6133,1111,478,869,117,435,129,79140
W06000022,153880,3827,8717,1812,826,1202,218,764,239,136275
W06000023,129901,8318,16256,3316,1521,2044,209,794,264,97179
W06000024,56958,2074,4052,672,296,847,76,267,59,48615
