LTLA,ts0110001,ts0110002,ts0110003,ts0110004,ts0110005,ts0110006
E06000001,40930,17262,13735,7570,2278,85
E06000002,60262,25407,20394,10816,3517,128
E06000003,61638,27192,21064,10307,2969,106
E06000004,83757,40497,27187,12617,3324,132
E06000005,48917,23775,16384,6944,1738,76
E06000047,234761,104412,79207,39903,10931,308
E06000057,146921,71280,49905,20510,5035,191
E08000021,122797,56768,40169,19418,6149,293
E08000022,96236,47576,31265,13730,3546,119
E08000023,68287,29586,23302,11971,3323,105
E08000024,122177,50665,42435,22163,6645,269
E08000037,88999,39877,29733,14850,4376,163
E06000006,55949,24183,18732,9843,3088,103
E06000007,90538,46997,29036,11560,2824,121
E06000008,58767,24187,19982,10718,3692,188
E06000009,64789,24769,22750,12785,4183,302
E06000049,174856,95796,55229,19584,4086,161
E06000050,155156,80756,49835,19598,4721,246
E07000026,43973,21136,14953,6232,1602,50
E07000027,31259,14599,10261,4943,1397,59
E07000028,50662,24765,17046,6974,1811,66
E07000029,30791,14486,10219,4677,1362,47
E07000030,24613,12769,8560,2730,532,22
E07000031,47657,26245,15748,4838,793,33
E07000117,39872,16305,13669,7316,2440,142
E07000118,50132,26340,16325,6015,1406,46
E07000119,37604,19108,12754,4648,1030,64
E07000120,34790,14766,11847,6092,1985,100
E07000121,59979,29026,20314,8383,2132,124
E07000122,38066,16180,13333,6450,1999,104
E07000123,59607,27785,20032,8931,2700,159
E07000124,26747,15673,8156,2455,436,27
E07000125,30561,14666,10071,4496,1270,58
E07000126,48588,25461,16043,5871,1158,55
E07000127,48533,23639,16442,6818,1567,67
E07000128,50767,23366,17707,7793,1813,88
E08000001,118789,51290,40539,20373,6244,343
E08000002,80695,38309,27078,11875,3263,170
E08000003,214729,93533,70524,36937,12983,752
E08000004,93137,38130,32275,16920,5520,292
E08000005,90223,38481,30724,15621,5084,313
E08000006,115116,53457,37170,18229,5963,297
E08000007,126648,64926,40720,16441,4294,267
E08000008,99527,42979,34038,17056,5142,312
E08000009,96269,51885,29699,11666,2883,136
E08000010,143105,66618,46951,22904,6380,252
E08000011,66073,26952,21374,12688,4856,203
E08000012,207491,86264,67761,38407,14386,673
E08000013,81013,35793,27070,13852,4161,137
E08000014,123073,55668,41850,19817,5463,275
E08000015,143252,65530,47854,22925,6645,298
E06000010,115472,47556,39375,21788,6452,301
E06000011,152066,77704,51733,18920,3542,167
E06000012,69826,30701,24150,11618,3222,135
E06000013,73173,33731,25637,11151,2565,89
E06000014,85459,46025,27910,9518,1918,88
E07000163,26068,14396,8453,2698,502,19
E07000164,40802,22331,13356,4340,750,25
E07000165,71169,40757,22257,6828,1263,64
E07000166,20944,11333,7001,2208,389,13
E07000167,24714,12802,8555,2867,467,23
E07000168,51125,23248,18045,7750,1933,149
E07000169,39560,21428,12802,4455,839,36
E08000016,108053,46238,36682,19079,5815,239
E08000017,133479,58391,46328,22336,6171,253
E08000018,113925,49653,38666,19862,5520,224
E08000019,231950,105238,78863,36628,10582,639
E08000032,209867,90141,72227,35313,11416,770
E08000033,90476,43225,29923,13398,3731,199
E08000034,177990,82995,59593,27052,7881,469
E08000035,341466,164958,112338,49084,14124,962
E08000036,153076,68485,51797,25294,7240,260
E06000015,105652,48185,35658,16606,4907,296
E06000016,127388,49397,45634,24094,7624,639
E06000017,16694,9675,5284,1529,198,8
E06000018,124745,51881,42946,22536,7016,366
E06000061,148916,72737,50657,20356,4918,248
E06000062,172641,89483,57289,20930,4659,280
E07000032,56278,27520,18893,7864,1926,75
E07000033,35261,15065,12160,6318,1672,46
E07000034,48058,21488,16437,7884,2148,101
E07000035,32284,17089,10764,3770,625,36
E07000036,50334,24179,17054,7164,1858,79
E07000037,40772,21222,13356,5024,1123,47
E07000038,45987,21613,15772,6916,1620,66
E07000039,45239,24546,14303,5298,1057,35
E07000129,42575,22832,13991,4903,823,26
E07000130,73785,39071,23883,8869,1885,77
E07000131,40413,23390,12472,3898,625,28
E07000132,49445,25421,16657,6114,1200,53
E07000133,22597,11989,7627,2517,439,25
E07000134,44973,23178,14910,5672,1161,52
E07000135,22615,11109,7829,3091,549,37
E07000136,29404,12014,11351,4775,1181,83
E07000137,64754,25757,23906,11962,2954,175
E07000138,42506,19193,14648,6678,1865,122
E07000139,50989,26651,17158,6082,1062,36
E07000140,40703,17927,15205,6323,1193,55
E07000141,62850,32490,21181,7674,1445,60
E07000142,42346,20854,14460,5705,1273,54
E07000170,54507,23517,18722,9613,2532,123
E07000171,51461,24096,17652,7728,1912,73
E07000172,48361,24190,16338,6398,1384,51
E07000173,51551,26151,16974,6905,1462,59
E07000174,48030,20410,16642,8443,2430,105
E07000175,53329,26200,17841,7447,1743,98
E07000176,49882,29124,15231,4752,754,21
E06000019,82825,40941,28690,10761,2284,149
E06000020,76510,35190,25928,12129,3138,125
E06000021,110400,45368,38581,20120,6068,263
E06000051,139579,70872,47508,17359,3697,143
E07000192,43457,19804,14699,7105,1784,65
E07000193,51293,25318,17408,6879,1594,94
E07000194,45630,23731,14968,5762,1109,60
E07000195,53423,24983,18223,8190,1947,80
E07000196,46121,23193,15515,6174,1204,35
E07000197,60048,31816,19638,7075,1440,79
E07000198,42355,20892,14469,5822,1149,23
E07000199,32894,15032,11381,5225,1216,40
E07000218,27580,13032,9634,3992,887,35
E07000219,56586,25493,19579,9027,2337,150
E07000220,47016,25096,15539,5231,1106,44
