LTLA,ts0540001,ts0540002,ts0540003,ts0540004,ts0540005,ts0540006,ts0540007,ts0540008,ts0540009,ts0540010,ts0540011,ts0540012,ts0540013
E06000040,60929,40306,20393,19913,392,392,7655,705,6950,12553,10635,1918,23
E06000041,69165,52599,24952,27647,1426,1426,5331,2844,2487,9782,8665,1117,27
E06000042,113103,61945,27193,34752,6905,6905,20448,11029,9419,23656,21780,1876,149
E06000043,121402,62417,30444,31973,997,997,18051,11587,6464,39684,37167,2517,253
E06000044,86155,45024,21958,23066,769,769,15507,9394,6113,24669,22196,2473,186
E06000045,102290,48838,23049,25789,1061,1061,22397,14958,7439,29860,28063,1797,134
E06000046,64775,43820,28737,15083,509,509,7057,678,6379,13380,11731,1649,9
E06000047,234764,146821,81046,65775,692,692,46858,21999,24859,40198,35156,5042,195
E06000049,174854,125646,69191,56455,1772,1772,20243,4659,15584,27114,23868,3246,79
E06000050,155154,105956,57620,48336,1945,1945,22710,9412,13298,24384,21291,3093,159
E06000051,139579,95784,59262,36522,1170,1170,18169,5616,12553,24367,20425,3942,89
E06000052,250533,165958,104659,61299,2949,2949,32039,13023,19016,49371,41545,7826,216
E06000053,939,418,320,98,14,14,162,103,59,344,224,120,1
E06000054,215081,143767,80220,63547,2546,2546,31228,7845,23383,37422,27674,9748,118
E06000055,74949,46964,23359,23605,1427,1427,12200,1782,10418,14316,12905,1411,42
E06000056,120754,85923,40618,45305,2112,2112,16077,5620,10457,16567,14329,2238,75
E06000057,146922,95788,56684,39104,801,801,26085,13597,12488,24128,20149,3979,120
E06000058,173842,109221,59736,49485,1226,1226,19102,8864,10238,44152,40460,3692,141
E06000059,169261,119154,77561,41593,1620,1620,20836,2263,18573,27612,22778,4834,39
E06000060,220327,154239,77213,77026,2813,2813,28535,5766,22769,34630,29769,4861,110
E06000061,148918,96862,47617,49245,1760,1760,22671,10410,12261,27455,24645,2810,170
E06000062,172639,111955,53782,58173,2647,2647,24811,12035,12776,33000,29463,3537,226
E07000008,52474,23131,12897,10234,872,872,11890,6910,4980,16495,14735,1760,86
E07000009,37202,25307,13485,11822,565,565,5200,684,4516,6120,5103,1017,10
E07000010,44083,29452,16632,12820,236,236,5581,1174,4407,8795,7788,1007,19
E07000011,76880,53023,27621,25402,1051,1051,9886,1819,8067,12897,11117,1780,23
E07000012,66996,46162,24426,21736,1677,1677,9696,5397,4299,9383,8055,1328,78
E07000026,43973,30046,18770,11276,241,241,8313,1096,7217,5363,4241,1122,10
E07000027,31259,22461,12250,10211,54,54,3451,2388,1063,5259,4588,671,34
E07000028,50663,34047,19427,14620,419,419,7272,1402,5870,8900,7687,1213,25
E07000029,30788,21837,12988,8849,98,98,5429,1635,3794,3399,2726,673,25
E07000030,24613,17363,11661,5702,256,256,2542,399,2143,4452,3522,930,0
E07000031,47657,34267,22394,11873,276,276,5112,2201,2911,7974,6525,1449,28
E07000032,56277,40525,23051,17474,297,297,7169,2302,4867,8235,7174,1061,51
E07000033,35262,23264,12391,10873,117,117,5762,4647,1115,6056,5373,683,63
E07000034,48058,30073,17249,12824,158,158,9967,8428,1539,7781,6882,899,79
E07000035,32283,23229,15405,7824,319,319,4075,942,3133,4650,3731,919,10
E07000036,50336,35172,18887,16285,265,265,6398,1775,4623,8470,7518,952,31
E07000037,40772,28929,16367,12562,284,284,4957,3610,1347,6545,5633,912,57
E07000038,45987,32426,18959,13467,270,270,8597,7020,1577,4608,3841,767,86
E07000039,45239,33709,16388,17321,368,368,4466,2780,1686,6648,5836,812,48
E07000040,66788,48195,31228,16967,947,947,6898,4030,2868,10697,8960,1737,51
E07000041,52554,30072,16369,13703,583,583,8727,4640,4087,13107,12024,1083,65
E07000042,35631,24098,14110,9988,365,365,4504,2830,1674,6612,5704,908,52
E07000043,43198,29080,18055,11025,477,477,4811,1110,3701,8813,7364,1449,17
E07000044,39337,27716,17708,10008,628,628,4653,728,3925,6326,5258,1068,14
E07000045,59837,42659,25889,16770,775,775,5694,1324,4370,10683,9357,1326,26
E07000046,30458,21186,13870,7316,265,265,2847,467,2380,6152,5157,995,8
E07000047,24818,17612,11569,6043,176,176,2495,495,2000,4526,3830,696,9
E07000061,45610,27229,16305,10924,270,270,5940,3223,2717,12118,11117,1001,53
E07000062,40451,22887,12644,10243,203,203,5771,918,4853,11572,10642,930,18
E07000063,43688,31073,18524,12549,410,410,4774,3162,1612,7384,6524,860,47
E07000064,42102,30605,20395,10210,372,372,4293,645,3648,6827,5862,965,5
E07000065,68266,52543,30510,22033,794,794,5701,2887,2814,9203,7658,1545,25
E07000066,76363,48297,23029,25268,876,876,16213,10563,5650,10876,9762,1114,101
E07000067,64983,44090,22262,21828,475,475,10593,2187,8406,9795,8573,1222,30
E07000068,32343,23258,11797,11461,214,214,3660,2649,1011,5163,4589,574,48
E07000069,37389,29937,16937,13000,135,135,2051,1423,628,5240,4585,655,26
E07000070,75401,52748,27057,25691,879,879,10017,1619,8398,11724,10479,1245,33
E07000071,79711,51478,26126,25352,419,419,10585,5645,4940,17165,15003,2162,64
E07000072,54559,37987,19180,18807,353,353,7993,6215,1778,8147,7082,1065,79
E07000073,37856,20345,8723,11622,499,499,11097,9051,2046,5824,5298,526,91
E07000074,27900,21258,12224,9034,227,227,3132,266,2866,3279,2670,609,4
E07000075,35558,28674,15572,13102,205,205,2871,365,2506,3805,3203,602,3
E07000076,67452,48214,31510,16704,315,315,5506,2702,2804,13370,11829,1541,47
E07000077,36955,26086,13177,12909,659,659,4809,2682,2127,5375,4519,856,26
E07000078,52899,33635,18362,15273,397,397,6432,4069,2363,12378,11406,972,57
E07000079,40597,26437,16177,10260,869,869,6232,675,5557,7049,5592,1457,10
E07000080,37217,27018,16466,10552,319,319,4836,832,4004,5031,4072,959,13
E07000081,55406,35379,17510,17869,630,630,7537,2797,4740,11803,10691,1112,57
E07000082,52378,38080,21548,16532,631,631,6430,4521,1909,7153,6125,1028,84
E07000083,40931,28959,15984,12975,918,918,5198,865,4333,5841,4763,1078,15
E07000084,76645,49645,23475,26170,1475,1475,13711,765,12946,11800,10412,1388,14
E07000085,52719,38471,21080,17391,756,756,6607,920,5687,6876,5692,1184,9
E07000086,56924,40391,20012,20379,1160,1160,7430,673,6757,7936,7081,855,7
E07000087,48639,38191,21154,17037,342,342,3959,2237,1722,6106,4990,1116,41
E07000088,35920,22849,12314,10535,434,434,5862,2998,2864,6714,5481,1233,61
E07000089,39965,30262,14958,15304,742,742,3514,370,3144,5442,4428,1014,5
E07000090,53589,36395,20869,15526,469,469,9989,5040,4949,6655,5760,895,81
E07000091,77567,57521,36150,21371,504,504,8367,4976,3391,11124,9259,1865,51
E07000092,39303,23774,9979,13795,679,679,6369,945,5424,8449,6510,1939,32
E07000093,54706,37716,19742,17974,1049,1049,7842,1935,5907,8070,6356,1714,29
E07000094,51712,33918,18648,15270,702,702,7937,4950,2987,9096,7489,1607,59
E07000095,39850,27357,13178,14179,420,420,5683,1400,4283,6367,5783,584,23
E07000096,63412,40535,19598,20937,394,394,13320,9863,3457,9093,8214,879,70
E07000098,42682,27399,13227,14172,488,488,7401,873,6528,7370,6544,826,24
E07000099,56733,36761,18933,17828,642,642,10594,3476,7118,8722,7756,966,14
E07000102,36857,26140,12806,13334,276,276,5467,1518,3949,4956,4296,660,18
E07000103,39629,21845,9577,12268,419,419,6172,1531,4641,11177,10505,672,16
E07000105,53583,35597,18032,17565,917,917,7501,4750,2751,9499,8236,1263,69
E07000106,63792,41313,24477,16836,586,586,7800,5006,2794,14024,12522,1502,69
E07000107,45694,29996,12302,17694,1042,1042,6314,4274,2040,8275,7617,658,67
E07000108,50552,33478,19753,13725,387,387,7039,4196,2843,9595,8379,1216,53
E07000109,41724,25960,13018,12942,443,443,7270,5308,1962,7950,7276,674,101
E07000110,71208,47991,24192,23799,1350,1350,9507,1887,7620,12339,10725,1614,21
E07000111,49014,35066,18769,16297,913,913,6465,996,5469,6548,5572,976,22
E07000112,48337,31807,18966,12841,365,365,5251,3153,2098,10870,9555,1315,44
E07000113,60495,40515,20788,19727,820,820,8041,1325,6716,11102,9851,1251,17
E07000114,62200,38162,22731,15431,282,282,7396,2940,4456,16334,14755,1579,26
E07000115,53571,37505,18379,19126,1108,1108,8255,1001,7254,6694,5757,937,9
E07000116,48224,31393,16324,15069,521,521,7029,946,6083,9268,8297,971,13
E07000117,39871,23836,13051,10785,91,91,6209,1747,4462,9696,8621,1075,39
E07000118,50135,36156,18558,17598,358,358,6637,1218,5419,6964,6056,908,20
E07000119,37606,26944,16369,10575,288,288,3134,404,2730,7230,6239,991,10
E07000120,34790,21944,11917,10027,80,80,4711,1222,3489,8035,7088,947,20
E07000121,59978,40266,23152,17114,488,488,6153,3384,2769,13029,11460,1569,42
E07000122,38066,24726,14127,10599,77,77,4491,1421,3070,8741,7622,1119,31
E07000123,59607,34743,18219,16524,511,511,10983,1882,9101,13333,11923,1410,37
E07000124,26747,20187,11654,8533,405,405,2151,292,1859,4003,3273,730,1
E07000125,30561,20750,10560,10190,72,72,4514,1186,3328,5207,4459,748,18
E07000126,48585,36947,19428,17519,376,376,5039,496,4543,6217,5339,878,6
E07000127,48534,34324,18987,15337,443,443,6958,5517,1441,6722,5754,968,87
E07000128,50769,37238,22699,14539,407,407,3871,544,3327,9241,8064,1177,12
E07000129,42575,33162,17012,16150,459,459,3497,482,3015,5449,4761,688,8
E07000130,73785,51535,27619,23916,738,738,8632,4921,3711,12814,11541,1273,66
E07000131,40414,30632,16484,14148,805,805,3531,405,3126,5439,4687,752,7
E07000132,49445,36789,19715,17074,451,451,5049,3005,2044,7114,6199,915,42
E07000133,22599,16031,9160,6871,249,249,2416,1641,775,3881,3382,499,22
E07000134,44974,32289,16599,15690,479,479,6089,4066,2023,6074,5385,689,43
E07000135,22616,17015,9711,7304,160,160,1793,1116,677,3623,3248,375,25
E07000136,29404,17305,9967,7338,376,376,5726,1969,3757,5965,5425,540,32
E07000137,64754,43645,29907,13738,686,686,7295,1495,5800,13110,10971,2139,18
E07000138,42506,21466,11092,10374,387,387,8953,7162,1791,11558,10634,924,142
E07000139,50989,37110,20386,16724,536,536,5113,3685,1428,8164,6299,1865,66
E07000140,40703,28321,16604,11717,436,436,4936,3693,1243,6943,6055,888,67
E07000141,62847,42920,23765,19155,654,654,7851,5536,2315,11325,9998,1327,97
E07000142,42345,29759,17553,12206,391,391,4605,1190,3415,7570,6431,1139,20
E07000143,60358,40461,24126,16335,433,433,8507,1653,6854,10930,9186,1744,27
E07000144,57760,44536,26448,18088,498,498,5619,650,4969,7095,5951,1144,12
E07000145,44545,27516,16978,10538,133,133,7213,5464,1749,9576,8504,1072,107
E07000146,67464,45203,28053,17150,323,323,9180,2167,7013,12704,10482,2222,54
E07000147,48374,33210,23509,9701,333,333,6275,998,5277,8538,7170,1368,18
E07000148,64457,27105,14312,12793,367,367,19518,14240,5278,17351,15986,1365,116
E07000149,61381,44895,25720,19175,756,756,7184,1411,5773,8527,7213,1314,19
E07000163,26069,18663,11826,6837,184,184,2494,457,2037,4718,3963,755,10
E07000164,40800,28145,17772,10373,355,355,5468,575,4893,6826,5245,1581,6
E07000165,71169,49907,28936,20971,647,647,7022,3740,3282,13522,11484,2038,71
E07000166,20946,13492,8518,4974,119,119,2441,1450,991,4866,3142,1724,28
E07000167,24715,16506,10820,5686,190,190,3171,331,2840,4841,3958,883,7
E07000168,51124,32472,21164,11308,484,484,7070,1250,5820,11081,9748,1333,17
E07000169,39562,28915,14590,14325,447,447,4851,2923,1928,5310,4571,739,39
E07000170,54509,36750,19484,17266,221,221,8130,6135,1995,9297,8261,1036,111
E07000171,51458,35114,19442,15672,217,217,7697,6124,1573,8351,7210,1141,79
E07000172,48362,34454,19301,15153,151,151,5337,4029,1308,8355,7409,946,65
E07000173,51551,38066,20649,17417,270,270,4995,2084,2911,8191,7136,1055,29
E07000174,48031,30756,16668,14088,214,214,7865,5738,2127,9065,8156,909,131
E07000175,53332,36793,20525,16268,437,437,7413,5133,2280,8624,7476,1148,65
E07000176,49883,37761,20508,17253,524,524,4273,886,3387,7312,6450,862,13
E07000177,65893,42839,21431,21408,1253,1253,8742,1427,7315,13033,11453,1580,26
E07000178,55239,25035,13993,11042,793,793,11554,7414,4140,17762,16150,1612,95
E07000179,61498,43195,23180,20015,1116,1116,7386,1092,6294,9784,7921,1863,17
E07000180,57497,39210,20812,18398,1055,1055,8206,1260,6946,9002,7003,1999,24
E07000181,47981,32045,17963,14082,995,995,6363,788,5575,8570,6580,1990,8
E07000187,50294,34541,20657,13884,605,605,6051,1149,4902,9077,7770,1307,20
E07000188,53904,36821,21144,15677,493,493,6887,3618,3269,9651,8494,1157,52
E07000189,75936,51581,31355,20226,840,840,10733,2166,8567,12734,10552,2182,48
E07000192,43456,29156,14718,14438,297,297,7031,4894,2137,6862,6109,753,110
E07000193,51293,34278,18695,15583,357,357,6634,2276,4358,9992,8846,1146,32
E07000194,45632,33430,18902,14528,445,445,5932,738,5194,5817,4926,891,8
E07000195,53423,36151,20435,15716,350,350,9142,2774,6368,7735,6613,1122,45
E07000196,46121,34359,20310,14049,402,402,6471,625,5846,4873,4126,747,16
E07000197,60047,42032,23474,18558,500,500,8146,2042,6104,9336,7788,1548,33
E07000198,42355,33141,20401,12740,164,164,3653,1069,2584,5373,4501,872,24
E07000199,32895,22037,10967,11070,233,233,5926,4104,1822,4643,4192,451,56
E07000200,40200,28558,17460,11098,289,289,5333,3370,1963,5959,4910,1049,61
E07000202,59507,32992,16810,16182,353,353,12368,7614,4754,13664,12583,1081,130
E07000203,44344,32758,19151,13607,446,446,5011,3141,1870,6079,4874,1205,50
E07000207,55587,39641,18809,20832,586,586,5608,939,4669,9725,8828,897,27
E07000208,31321,23167,11364,11803,358,358,2743,193,2550,5048,4561,487,5
E07000209,55760,36984,19267,17717,729,729,7066,4864,2202,10930,9552,1378,51
E07000210,37139,27189,15136,12053,380,380,4327,574,3753,5238,4506,732,5
E07000211,59849,42570,20196,22374,969,969,6907,1082,5825,9387,8482,905,16
E07000212,34838,23141,11431,11710,506,506,4499,2771,1728,6652,5907,745,40
E07000213,41804,28469,13980,14489,531,531,5296,771,4525,7487,6783,704,21
E07000214,36008,26651,13156,13495,364,364,3449,477,2972,5531,4611,920,13
E07000215,35623,26529,13326,13203,412,412,3939,2496,1443,4730,3973,757,13
E07000216,52448,37637,20039,17598,642,642,6427,4657,1770,7703,6494,1209,39
E07000217,41438,27531,13251,14280,338,338,4792,2965,1827,8738,7966,772,39
E07000218,27581,19414,10558,8856,261,261,3752,2490,1262,4110,3588,522,44
E07000219,56585,38504,19829,18675,461,461,8157,5412,2745,9399,8355,1044,64
E07000220,47015,31715,15703,16012,692,692,6074,3399,2675,8474,7460,1014,60
E07000221,59463,42123,24156,17967,1060,1060,7906,958,6948,8363,7055,1308,11
E07000222,62618,40952,21411,19541,899,899,8804,5251,3553,11910,10844,1066,53
E07000223,27678,19936,11101,8835,184,184,3436,2431,1005,4095,3537,558,27
E07000224,72661,51770,32182,19588,836,836,6774,3210,3564,13225,11801,1424,56
E07000225,54118,35372,22715,12657,754,754,8157,1057,7100,9807,8089,1718,28
E07000226,45502,25363,10940,14423,560,560,10432,7969,2463,9015,8352,663,132
E07000227,62370,45065,24482,20583,1072,1072,7155,775,6380,9055,7795,1260,23
E07000228,63349,46013,23259,22754,810,810,6812,460,6352,9710,8568,1142,4
E07000229,49538,33440,18052,15388,322,322,4845,1051,3794,10916,10012,904,15
E07000234,41264,31994,17483,14511,458,458,4417,1452,2965,4379,3719,660,16
E07000235,34889,24773,15753,9020,451,451,5001,753,4248,4653,3896,757,11
E07000236,36378,23438,11254,12184,291,291,7331,5281,2050,5243,4718,525,75
E07000237,44724,27462,14320,13142,472,472,7269,2155,5114,9494,8593,901,27
E07000238,57356,40185,23188,16997,708,708,8954,1478,7476,7493,6337,1156,16
E07000239,45320,31158,18477,12681,464,464,6411,2946,3465,7239,6366,873,48
E07000240,58990,41852,20615,21237,297,297,7187,4620,2567,9602,8703,899,52
E07000241,46209,26176,12711,13465,647,647,11714,8354,3360,7586,6954,632,86
E07000242,62023,43010,21140,21870,915,915,8111,1041,7070,9967,8910,1057,20
E07000243,36512,20804,9522,11282,618,618,9594,7457,2137,5470,4996,474,26
E07000244,110749,76280,49014,27266,443,443,14477,5093,9384,19485,16953,2532,64
E07000245,78747,47389,26398,20991,942,942,12735,3962,8773,17629,15003,2626,52
E07000246,69986,45759,27731,18028,655,655,10615,5568,5047,12869,11118,1751,88
E08000001,118790,73083,39475,33608,493,493,23555,12540,11015,21372,18776,2596,287
E08000002,80696,53992,27752,26240,292,292,12044,6718,5326,14249,12628,1621,119
E08000003,214730,79925,35423,44502,1679,1679,63276,24419,38857,69403,65041,4362,447
E08000004,93140,56229,29384,26845,412,412,19760,7572,12188,16498,14253,2245,241
E08000005,90222,54377,27411,26966,342,342,18815,9972,8843,16503,14535,1968,185
E08000006,115117,54068,25294,28774,646,646,29227,13599,15628,30853,28651,2202,323
E08000007,126648,90025,46498,43527,1486,1486,16849,9880,6969,18192,16238,1954,96
E08000008,99527,60521,30363,30158,320,320,21125,5556,15569,17459,15489,1970,102
E08000009,96269,66387,33149,33238,654,654,14419,4065,10354,14744,13254,1490,65
E08000010,143105,94978,49212,45766,655,655,24333,20083,4250,22761,20040,2721,378
E08000011,66073,39286,18902,20384,543,543,16687,7109,9578,9461,8366,1095,96
E08000012,207491,97041,50393,46648,1378,1378,54758,9355,45403,54067,49950,4117,247
E08000013,81013,52049,28023,24026,627,627,15993,5030,10963,12264,10785,1479,80
E08000014,123073,81991,46426,35565,845,845,17735,4159,13576,22457,20029,2428,45
E08000015,143252,93114,51333,41781,887,887,22065,5611,16454,27091,24397,2694,95
E08000016,108053,67353,35620,31733,522,522,21294,16772,4522,18569,16296,2273,315
E08000017,133480,83883,44881,39002,563,563,22694,18396,4298,25941,22953,2988,399
E08000018,113926,72496,38318,34178,467,467,23545,18981,4564,17035,14651,2384,383
E08000019,231948,135177,71903,63274,776,776,52334,36110,16224,43424,38976,4448,237
E08000021,122797,60476,30707,29769,580,580,33476,24431,9045,27978,25300,2678,287
E08000022,96232,61271,31038,30233,504,504,19765,14069,5696,14625,12755,1870,67
E08000023,68288,38655,20503,18152,336,336,20208,15720,4488,9025,7742,1283,64
E08000024,122177,70992,38312,32680,484,484,32554,13760,18794,18096,15827,2269,51
E08000025,423455,223016,114970,108046,3641,3641,99499,58609,40890,95719,86669,9050,1580
E08000026,134140,77062,40278,36784,906,906,22766,7244,15522,33195,30134,3061,211
E08000027,137069,91053,51133,39920,618,618,26021,21157,4864,18940,16644,2296,437
E08000028,130246,70004,35924,34080,631,631,34612,27293,7319,24237,21710,2527,762
E08000029,89482,64638,35054,29584,710,710,12532,8901,3631,11496,10249,1247,106
E08000030,112226,66589,36296,30293,557,557,26576,9241,17335,18336,16323,2013,168
E08000031,105142,57810,31345,26465,445,445,26484,19761,6723,20006,17922,2084,397
E08000032,209867,129573,66875,62698,1043,1043,30731,11798,18933,48278,42709,5569,242
E08000033,90476,58439,31269,27170,366,366,13170,3793,9377,18437,16210,2227,64
E08000034,177989,116608,62352,54256,676,676,26288,19678,6610,33942,29858,4084,475
E08000035,341466,194584,95452,99132,1947,1947,69742,51716,18026,74402,68197,6205,791
E08000036,153075,95826,48566,47260,1200,1200,33188,22323,10865,22754,19969,2785,107
E08000037,88999,51609,27161,24448,350,350,22334,17308,5026,14584,12920,1664,122
E09000001,4914,1794,1114,680,12,12,730,449,281,2373,2064,309,5
E09000002,73902,31319,11130,20189,1274,1274,23273,18077,5196,17890,16443,1447,146
E09000003,148917,78407,39083,39324,1633,1633,20034,10030,10004,48705,45180,3525,138
E09000004,95300,65417,31210,34207,1263,1263,13977,2491,11486,14578,13078,1500,65
E09000005,118612,45593,23933,21660,2246,2246,27876,10444,17432,42726,39732,2994,171
E09000006,135828,93028,44794,48234,1166,1166,17926,2090,15836,23661,21418,2243,47
E09000007,92758,27507,14780,12727,715,715,31250,21051,10199,33012,30382,2630,274
E09000008,152945,83667,36992,46675,2183,2183,27371,14769,12602,39441,36484,2957,283
E09000009,133657,61814,30275,31539,2658,2658,23382,11326,12056,45490,42063,3427,313
E09000010,120923,63347,31740,31607,1319,1319,20573,12530,8043,35388,32773,2615,296
E09000011,114051,46927,18473,28454,2471,2471,35327,21257,14070,29088,26863,2225,238
E09000012,106081,26066,10263,15803,2664,2664,42945,21943,21002,34147,31943,2204,259
E09000013,81244,26090,12483,13607,1208,1208,24231,11840,12391,29558,27284,2274,157
E09000014,105091,39116,18141,20975,1732,1732,26474,15630,10844,37376,35052,2324,393
E09000015,89642,52690,26947,25743,1007,1007,9298,4977,4321,26495,24354,2141,152
E09000016,101276,70379,34918,35461,976,976,13807,9423,4384,16019,14452,1567,95
E09000017,109228,61831,28994,32837,1373,1373,17613,10179,7434,28276,25692,2584,135
E09000018,102961,47044,21761,25283,2225,2225,21618,13251,8367,31788,29537,2251,286
E09000019,96496,25740,11151,14589,1580,1580,38787,24081,14706,30079,28084,1995,310
E09000020,66884,21191,13301,7890,676,676,18430,7154,11276,26460,23560,2900,127
E09000021,65628,39937,18519,21418,460,460,7244,4647,2597,17911,16535,1376,76
E09000022,134688,44469,16180,28289,2441,2441,45243,24126,21117,42329,39228,3101,206
E09000023,122393,51230,18853,32377,1944,1944,35753,16045,19708,33289,30797,2492,177
