LTLA,ts0510001,ts0510002,ts0510003,ts0510004,ts0510005,ts0510006,ts0510007,ts0510008,ts0510009,ts0510010
E06000001,40930,263,2860,9616,12064,10634,3300,1206,547,440
E06000002,60263,275,4399,11213,19448,17981,4862,1408,400,277
E06000003,61635,130,4228,13131,19219,17279,5213,1647,499,289
E06000004,83756,383,5111,14777,28304,22069,8216,2895,1115,886
E06000005,48917,147,3824,11976,13387,12664,4447,1489,574,409
E06000006,55950,124,3511,10431,20928,14362,4573,1480,395,146
E06000007,90538,216,7233,17502,26036,25282,8832,3611,1234,592
E06000008,58768,108,4359,16733,19813,11834,3903,1277,410,331
E06000009,64789,680,7981,12823,13433,23538,3770,1239,555,770
E06000010,115473,506,11868,32887,39785,22398,5583,1611,497,338
E06000011,152066,358,8563,33996,44884,33279,17757,7882,3158,2189
E06000012,69826,245,5074,9743,19878,23404,7797,2670,624,391
E06000013,73173,69,4223,12442,22741,22504,6576,2893,1033,692
E06000014,85459,745,7618,23448,22395,18875,7900,2723,1024,731
E06000015,105652,616,9611,20130,33844,29400,7744,2796,993,518
E06000016,127388,2469,17217,20444,34870,42090,6190,2581,930,597
E06000017,16693,12,825,2613,4274,4079,2403,1457,586,444
E06000018,124744,880,15928,30000,41699,27059,5536,2107,834,701
E06000019,82827,846,7462,15550,22485,18474,9509,4789,1951,1761
E06000020,76512,162,4793,16640,24049,17388,8986,3118,883,493
E06000021,110400,404,8306,22872,45436,26605,4701,1319,479,278
E06000022,79250,889,8431,15759,19937,19732,7916,3843,1452,1291
E06000023,191638,3313,27229,41741,42273,56779,11654,4400,2160,2089
E06000024,94648,1025,7707,22015,24348,19313,11580,5446,1859,1355
E06000025,118101,442,8421,21593,30096,36962,13454,5023,1374,736
E06000026,114558,1134,14619,28570,30761,27112,7736,2832,1003,791
E06000027,62993,1066,7590,17623,14575,14073,4514,2063,723,766
E06000030,95863,702,9388,21950,29168,21293,8573,3238,1023,528
E06000031,84530,523,8362,17885,26632,18708,7619,3145,1077,579
E06000032,78939,1908,10042,15630,20618,24486,4351,1207,448,249
E06000033,78344,1254,11782,19117,16050,19094,6825,2741,885,596
E06000034,66378,543,6921,15355,24893,12868,3898,1219,501,180
E06000035,111458,1156,10025,20637,34295,33383,7944,2699,855,464
E06000036,50248,562,5329,11133,12199,10877,5866,2677,1018,587
E06000037,66656,622,5681,13730,18195,13462,7282,4134,1893,1657
E06000038,67685,1527,9333,15611,16825,16639,4346,2045,830,529
E06000039,52423,1118,8538,13435,13568,11522,2885,813,325,219
E06000040,60934,593,5532,11940,15012,13831,6348,3807,1991,1880
E06000041,69164,382,3998,12592,16485,15345,11092,5755,2321,1194
E06000042,113102,958,11470,26032,31322,22036,11683,6255,2340,1006
E06000043,121401,6544,24188,33263,23038,20399,7977,3366,1442,1184
E06000044,86155,1340,11313,18615,19880,27155,5043,1644,624,541
E06000045,102291,2493,17699,27641,22829,23034,5388,2107,619,481
E06000046,64775,810,5941,16901,19115,13299,4823,2021,939,926
E06000047,234759,389,12501,64534,80806,48052,18050,6536,2375,1516
E06000049,174856,553,10681,35765,51060,37640,21908,10285,4152,2812
E06000050,155156,459,9415,29598,48925,36559,17406,7864,2807,2123
E06000051,139579,464,8964,28367,39744,33340,15315,7693,3032,2660
E06000052,250535,3102,20497,59470,79521,47120,22813,10146,4506,3360
E06000053,942,22,128,210,220,204,68,39,24,27
E06000054,215081,877,13978,44840,60644,48204,25052,12875,4916,3695
E06000055,74947,1170,7559,13722,18806,18409,8021,4291,1779,1190
E06000056,120755,354,8573,24953,35927,27299,13559,6424,2418,1248
E06000057,146922,693,9321,36244,43855,31190,14227,6670,2628,2094
E06000058,173842,4010,22709,50245,41807,32172,13724,5454,2016,1705
E06000059,169261,1038,13401,39647,51684,32039,17109,8402,3320,2621
E06000060,220329,1411,18456,43593,52687,49524,25512,15085,7815,6246
E06000061,148918,696,8990,28567,47210,37120,15527,7496,2026,1286
E06000062,172639,900,13164,35585,49674,36643,21046,10154,3407,2066
E07000008,52472,1270,7724,11911,10685,13307,3869,1754,926,1026
E07000009,37204,114,2352,8388,10943,7250,4139,2647,933,438
E07000010,44083,154,3209,10899,13435,9499,4001,1717,736,433
E07000011,76880,220,5417,14099,24108,13713,11165,5360,1799,999
E07000012,66996,175,3915,13145,17366,13801,9337,5547,2395,1315
E07000026,43973,37,1842,10383,15192,9674,3961,1570,697,617
E07000027,31259,18,2145,7679,11539,7049,1878,610,182,159
E07000028,50663,23,3167,13441,15734,11009,4275,1769,660,585
E07000029,30788,95,989,6326,12426,6878,2331,1007,399,337
E07000030,24613,31,1200,5076,7763,5124,2933,1387,581,518
E07000031,47657,172,3133,10892,15064,9878,4644,2205,906,763
E07000032,56277,73,3090,14023,19501,11990,4809,1774,628,389
E07000033,35262,71,1212,9647,14286,6839,2109,691,279,128
E07000034,48057,209,4478,12975,16423,9239,3522,857,217,137
E07000035,32280,124,1994,7323,9464,6877,3430,1775,681,612
E07000036,50333,85,3284,9946,18686,13160,3572,1060,365,175
E07000037,40772,163,3156,11568,12288,7325,3877,1523,509,363
E07000038,45988,54,2329,11773,17116,9005,3737,1317,453,204
E07000039,45242,46,1711,8663,15317,10538,5592,2379,648,348
E07000040,66788,268,4330,16274,19696,13423,6840,3391,1427,1139
E07000041,52555,951,6420,11609,13684,12479,4277,1882,715,538
E07000042,35632,156,2564,8167,10492,6523,4056,2126,804,744
E07000043,43198,224,3543,10053,12645,8530,4120,2222,940,921
E07000044,39335,117,2666,8815,11414,8094,4542,1991,853,843
E07000045,59840,421,4769,14888,16589,11851,6276,2969,1157,920
E07000046,30454,60,1803,7231,9523,6122,3049,1447,672,547
E07000047,24818,92,1581,5409,6891,5114,2845,1566,665,655
E07000061,45610,1466,6040,12977,11516,8019,3124,1409,506,553
E07000062,40454,745,5980,10538,10051,7347,3134,1440,609,610
E07000063,43688,625,3903,10773,13210,8004,3804,1806,833,730
E07000064,42100,306,3372,10708,11007,8000,4176,2294,1197,1040
E07000065,68268,348,4294,15376,17736,13046,8180,4688,2433,2167
E07000066,76365,728,8633,17111,23974,13879,7994,2691,954,401
E07000067,64987,351,5033,14358,18990,14084,6641,3437,1279,814
E07000068,32342,283,3204,7092,7921,6834,3617,1858,899,634
E07000069,37389,179,3251,8612,12687,6930,3938,1251,390,151
E07000070,75403,462,7733,14991,18699,17541,8960,4367,1613,1037
E07000071,79711,825,7210,17982,23799,16460,7698,3636,1294,807
E07000072,54554,509,5499,12205,13797,12291,5297,2598,1263,1095
E07000073,37855,831,5148,11760,11047,6198,1933,685,173,80
E07000074,27901,83,2050,4906,7868,5454,3548,2541,889,562
E07000075,35554,266,2611,6863,11059,7790,4409,1714,562,280
E07000076,67450,426,5441,21679,18820,12232,5196,2109,854,693
E07000077,36958,140,2593,6359,9109,7138,5051,3507,1731,1330
E07000078,52899,584,6879,11701,11767,12424,5238,2430,1021,855
E07000079,40598,103,3006,7701,10940,8364,4941,2699,1382,1462
E07000080,37218,85,2463,7264,10887,8780,4512,1844,790,593
E07000081,55407,414,5729,11964,13429,13973,6404,2250,881,363
E07000082,52376,242,3971,10362,13629,12579,6304,2984,1188,1117
E07000083,40931,196,3151,7913,11353,8920,5317,2607,940,534
E07000084,76645,602,6453,16157,22421,15704,8267,4086,1747,1208
E07000085,52718,461,3757,9985,15567,9614,6639,3862,1536,1297
E07000086,56924,298,4213,12762,16661,13954,5510,2439,835,252
E07000087,48639,266,3145,9167,14162,11612,6331,2547,932,477
E07000088,35923,327,3952,7678,10313,10138,2252,799,282,182
E07000089,39965,102,2717,7117,10322,7177,6215,3717,1596,1002
E07000090,53589,663,4565,12352,17398,11335,4692,1739,576,269
E07000091,77566,582,5316,16154,24428,16894,8220,3560,1375,1037
E07000092,39303,454,4821,9203,10756,9669,2878,1056,293,173
E07000093,54709,250,3957,10135,16763,10742,6955,3449,1448,1010
E07000094,51717,398,4584,10605,12703,10208,6017,3759,1860,1583
E07000095,39850,656,4056,9660,11541,9087,2913,1070,565,302
E07000096,63412,557,7303,13856,17061,13360,6070,2879,1318,1008
E07000098,42682,473,4618,10778,10391,9967,3220,1590,866,779
