LTLA,ts0360001,ts0360002,ts0360003
W06000001,67086,24601,42485
W06000002,114307,37290,77017
W06000003,111805,73413,38392
W06000004,93062,65952,27110
W06000005,150562,126854,23708
W06000006,131085,108956,22129
W06000008,69911,34037,35874
W06000009,120208,93496,26712
W06000010,182719,95503,87216
W06000011,231889,195740,36149
W06000012,138320,112672,25648
W06000013,141294,123259,18035
W06000014,128080,109645,18435
W06000015,351240,299490,51750
W06000016,230318,193783,36535
W06000018,170687,148842,21845
W06000019,64796,59804,4992
W06000020,89380,80837,8543
W06000021,90687,81319,9368
W06000022,153877,140120,13757
W06000023,129902,101370,28532
W06000024,56957,50057,6900
