LTLA,ts0550001,ts0550002,ts0550003,ts0550004,ts0550005,ts0550006,ts0550007,ts0550008,ts0550009,ts0550010
E06000001,3212,101,401,421,20,196,1424,259,390,0
E06000002,5943,113,503,492,27,1428,2080,481,819,0
E06000003,4431,171,504,674,40,55,1939,358,690,0
E06000004,7513,195,833,1212,46,139,3208,703,1177,0
E06000005,3990,145,375,697,14,72,1670,395,622,0
E06000006,4155,67,263,787,16,81,1966,432,543,0
E06000007,9224,128,572,2221,33,225,3749,890,1406,0
E06000008,4703,66,315,747,40,339,1877,462,857,0
E06000009,4796,147,368,580,27,109,2146,496,923,0
E06000010,13132,196,580,927,109,3603,5068,1122,1527,0
E06000011,14336,317,1110,2907,118,467,5791,1375,2251,0
E06000012,5562,167,487,678,46,152,2595,547,890,0
E06000013,6286,152,555,1046,52,112,2750,598,1021,0
E06000014,24451,143,658,1534,60,13188,5689,1444,1735,0
E06000015,13079,124,625,1073,83,3514,4822,1184,1654,0
E06000016,26232,60,891,1140,146,12223,6774,1734,3264,0
E06000017,3680,96,215,514,24,949,1092,286,504,0
E06000018,48876,90,741,1232,108,31055,10681,2322,2647,0
E06000019,7985,272,865,1194,98,357,2769,836,1594,0
E06000020,8370,232,494,1033,51,1607,3265,715,973,0
E06000021,10826,142,461,899,65,2365,4489,1027,1378,0
E06000022,23668,130,798,2099,49,11552,5906,1357,1777,0
E06000023,45005,139,1285,2970,116,20325,12709,3455,4006,0
E06000024,9308,136,566,1798,72,533,3785,959,1459,0
E06000025,15085,147,681,2028,55,3178,5663,1416,1917,0
E06000026,19549,643,841,1272,72,7120,6484,1309,1808,0
E06000027,5098,144,422,655,58,141,2159,507,1012,0
E06000030,8979,172,637,1112,84,230,4017,1111,1616,0
E06000031,7701,114,547,1117,61,177,3120,856,1709,0
E06000032,7541,29,494,873,86,633,2396,903,2127,0
E06000033,6529,46,412,995,35,392,2670,789,1190,0
E06000034,5559,37,410,697,38,378,2088,696,1215,0
E06000035,11040,129,645,1359,42,1350,4336,1213,1966,0
E06000036,6492,65,387,946,32,897,2400,631,1134,0
E06000037,8875,77,608,1602,33,1270,2805,940,1540,0
E06000038,15206,55,622,961,35,5918,4250,1272,2093,0
E06000039,5044,7,375,552,38,206,1644,649,1573,0
E06000040,10243,72,752,2197,43,1696,2613,920,1950,0
E06000041,9242,61,651,1765,29,1442,2892,878,1524,0
E06000042,11613,91,905,1656,87,325,4706,1363,2480,0
E06000043,28924,47,991,1869,42,11268,9361,2252,3094,0
E06000044,19515,199,517,867,41,8818,5962,1294,1817,0
E06000045,23979,77,624,1056,43,11705,6576,1688,2210,0
E06000046,5846,93,678,738,46,143,2102,619,1427,0
E06000047,31443,504,1446,3334,94,11679,9553,1909,2924,0
E06000049,19511,225,1324,5032,77,734,7173,1854,3092,0
E06000050,19045,232,1199,3509,87,3195,6642,1747,2434,0
E06000051,16187,371,1337,2829,168,1596,6000,1498,2388,0
E06000052,27913,714,2296,2329,255,4924,10131,2451,4813,0
E06000053,172,1,19,30,1,12,26,15,68,0
E06000054,27225,659,2407,3916,170,2143,10222,2910,4798,0
E06000055,7744,66,514,1323,35,610,2889,840,1467,0
E06000056,11500,177,694,2113,56,364,4781,1419,1896,0
E06000057,12935,360,1349,2574,62,242,4952,1254,2142,0
E06000058,26593,264,1239,2068,98,8903,8268,2180,3573,0
E06000059,18250,417,1856,2644,137,1801,5900,1930,3565,0
E06000060,26831,232,1889,6393,156,2145,8352,2681,4983,0
E06000061,13996,218,846,2322,101,903,5952,1310,2344,0
E06000062,20610,209,1224,3052,144,2848,7630,2055,3448,0
E07000008,28523,24,946,1655,37,16699,5227,1509,2426,0
E07000009,3768,49,269,739,18,145,1541,418,589,0
E07000010,3355,61,211,690,31,43,1328,397,594,0
E07000011,7418,127,506,1368,33,134,3086,894,1270,0
E07000012,7936,56,636,1687,66,440,2789,886,1376,0
E07000026,3574,74,360,524,16,57,1519,402,622,0
E07000027,2668,33,195,378,7,36,1296,291,432,0
E07000028,4756,113,370,556,22,638,1999,417,641,0
E07000029,2621,53,258,335,10,57,1144,271,493,0
E07000030,2132,27,296,350,19,57,696,246,441,0
E07000031,6129,70,602,990,19,753,1859,632,1204,0
E07000032,4761,86,279,929,38,79,2204,551,595,0
E07000033,2712,88,166,555,26,31,1246,257,343,0
E07000034,3895,76,240,653,38,42,1885,448,513,0
E07000035,3378,45,300,894,43,112,1024,363,597,0
E07000036,3954,89,200,735,18,96,1864,500,452,0
E07000037,4138,65,343,896,32,108,1690,448,556,0
E07000038,3693,72,203,808,25,55,1629,404,497,0
E07000039,4492,71,259,763,27,318,2047,461,546,0
E07000040,6292,206,647,857,67,302,2281,658,1274,0
E07000041,20820,96,427,623,34,12718,4721,1013,1188,0
E07000042,3210,59,324,423,20,172,1263,352,597,0
E07000043,3879,115,418,440,19,148,1505,435,799,0
E07000044,4716,140,592,838,29,71,1349,497,1200,0
E07000045,5257,134,532,640,54,107,2153,624,1013,0
E07000046,2580,80,288,251,22,128,999,276,536,0
E07000047,2555,77,293,369,19,156,858,277,506,0
E07000061,4921,41,304,659,25,700,1811,512,869,0
E07000062,3542,32,291,533,22,94,1392,440,738,0
E07000063,4233,47,353,795,21,213,1489,458,857,0
E07000064,4016,44,346,869,26,146,1163,410,1012,0
E07000065,7215,77,597,1567,36,345,2438,746,1409,0
E07000066,5729,46,328,1003,44,214,2448,607,1039,0
E07000067,5507,61,366,1007,33,62,2369,678,931,0
E07000068,3104,13,192,890,20,79,957,327,626,0
E07000069,2449,22,122,538,12,43,1007,310,395,0
E07000070,7945,47,439,1448,29,864,2885,871,1362,0
E07000071,12990,156,575,1265,65,3754,4435,1178,1562,0
E07000072,5428,16,375,1391,23,306,1603,571,1143,0
E07000073,2873,18,128,413,13,54,1239,367,641,0
E07000074,2580,37,155,739,16,24,843,280,486,0
E07000075,2844,43,162,558,21,42,1286,295,437,0
E07000076,4581,54,347,914,35,82,1709,553,887,0
E07000077,4529,44,330,1276,27,198,1498,393,763,0
E07000078,8912,98,441,1002,38,2820,2641,752,1120,0
E07000079,6029,67,678,1218,14,627,1548,512,1365,0
E07000080,4137,90,267,480,28,843,1467,382,580,0
E07000081,6125,95,316,443,35,1377,2394,665,800,0
E07000082,5583,77,482,1050,37,245,2034,659,999,0
E07000083,3940,86,276,654,31,96,1726,415,656,0
E07000084,7895,110,582,1374,32,224,3178,931,1464,0
E07000085,5889,83,536,1278,23,379,1921,619,1050,0
E07000086,5170,68,365,812,21,103,2441,601,759,0
E07000087,4847,160,355,704,21,267,1975,562,803,0
E07000088,3451,204,275,404,15,100,1452,422,579,0
E07000089,5122,82,294,1203,13,150,2046,540,794,0
E07000090,4126,98,315,611,11,65,1777,486,763,0
E07000091,7522,108,724,1478,41,280,2470,838,1583,0
E07000092,4306,146,274,468,19,165,1729,595,910,0
E07000093,5791,121,469,1051,32,256,2103,639,1120,0
E07000094,12312,102,617,1536,29,4555,3258,774,1441,0
E07000095,2933,16,168,607,17,47,1080,336,662,0
E07000096,6550,49,414,1356,33,293,2365,741,1299,0
E07000098,4834,16,304,1022,19,556,1385,476,1056,0
E07000099,5593,43,355,1227,35,214,2046,649,1024,0
E07000102,4116,21,358,1013,21,159,1218,429,897,0
E07000103,3894,16,263,645,22,77,1270,496,1105,0
E07000105,5134,99,461,863,25,125,2021,541,999,0
E07000106,19062,60,555,1151,42,9660,4910,1053,1631,0
E07000107,3733,24,297,625,23,104,1416,476,768,0
E07000108,5159,90,502,770,16,383,1977,490,931,0
E07000109,3521,19,250,622,36,76,1432,386,700,0
E07000110,6992,89,454,1097,27,239,2864,857,1365,0
E07000111,5416,35,412,1574,25,345,1541,514,970,0
E07000112,4698,81,453,829,26,95,1751,485,978,0
E07000113,5224,86,337,950,24,64,2300,564,899,0
E07000114,5364,62,495,734,23,268,2071,576,1135,0
E07000115,5663,45,334,1178,22,453,2098,626,907,0
E07000116,6228,48,459,1303,43,686,1981,614,1094,0
E07000117,3321,62,175,584,12,97,1494,331,566,0
E07000118,5006,90,303,1107,22,65,2254,493,672,0
E07000119,3944,88,352,973,15,88,1359,378,691,0
E07000120,2861,57,148,565,11,46,1322,281,431,0
E07000121,15778,128,565,865,42,8233,3896,843,1206,0
E07000122,3179,42,169,662,16,38,1283,317,652,0
E07000123,9808,88,368,673,22,3452,3326,716,1163,0
E07000124,3284,48,250,861,13,312,1098,270,432,0
E07000125,2763,63,187,638,16,22,1211,245,381,0
E07000126,4436,72,263,821,15,66,2139,475,585,0
E07000127,9445,85,355,1041,21,3853,2683,548,859,0
E07000128,5154,124,405,1043,19,503,1920,420,720,0
E07000129,3684,57,241,652,23,43,1761,413,494,0
E07000130,18804,96,523,1282,43,9472,5091,1037,1260,0
E07000131,4559,63,314,1107,26,93,1764,483,709,0
E07000132,4541,79,281,952,22,93,2049,455,610,0
E07000133,2348,54,196,493,14,72,967,268,284,0
E07000134,4851,82,284,744,45,793,1961,455,487,0
E07000135,3221,19,209,280,22,1184,917,217,373,0
E07000136,2200,59,193,306,43,37,853,213,496,0
E07000137,4948,150,441,660,37,75,1953,445,1187,0
E07000138,14502,108,300,400,25,8291,3808,775,795,0
E07000139,5410,371,535,607,29,90,2457,613,708,0
E07000140,2954,80,231,574,45,42,1128,338,516,0
E07000141,6152,190,544,1013,69,209,2604,601,922,0
E07000142,3766,111,341,629,19,66,1671,370,559,0
E07000143,5018,118,466,722,35,86,2119,562,910,0
E07000144,4805,92,368,790,18,57,2165,591,724,0
E07000145,3215,49,294,368,33,37,1318,423,693,0
E07000146,5883,119,563,823,52,71,2286,699,1270,0
E07000147,4486,77,438,712,32,242,1406,506,1073,0
E07000148,17335,35,405,722,34,8513,5043,1237,1346,0
E07000149,6429,100,514,894,35,588,2559,752,987,0
E07000163,2649,40,241,583,11,102,884,300,488,0
E07000164,4053,134,435,743,40,80,1544,421,656,0
E07000165,10025,186,715,1942,36,1658,3188,894,1406,0
E07000166,3397,162,329,418,10,164,1295,371,648,0
E07000167,2492,40,287,416,16,269,781,213,470,0
E07000168,4691,108,511,664,44,209,1703,494,958,0
E07000169,3729,88,245,793,14,132,1645,371,441,0
E07000170,3962,96,207,682,41,49,1932,460,495,0
E07000171,4380,93,312,855,42,69,1972,432,605,0
E07000172,6580,66,251,752,18,1922,2268,564,739,0
E07000173,4260,68,249,857,41,125,1847,486,587,0
E07000174,3759,98,246,613,38,97,1745,387,535,0
E07000175,5313,127,360,928,36,514,2105,468,775,0
E07000176,7419,63,401,1186,42,1832,2450,605,840,0
E07000177,7233,71,561,1125,37,575,2616,852,1396,0
E07000178,33174,27,1043,1537,48,20040,5994,1582,2903,0
E07000179,8080,82,654,1837,57,425,2496,859,1670,0
E07000180,8007,86,610,1307,35,1228,2576,837,1328,0
E07000181,6652,103,564,1027,31,268,2572,692,1395,0
E07000187,6400,86,544,966,39,983,2089,622,1071,0
E07000188,5046,102,386,690,39,227,2090,565,947,0
E07000189,8154,252,746,1034,74,388,3404,810,1446,0
E07000192,3216,71,127,648,37,53,1532,350,398,0
E07000193,4599,76,295,811,23,136,1966,487,805,0
E07000194,4465,93,292,1323,23,55,1620,429,630,0
E07000195,8533,93,262,891,45,3203,2785,589,665,0
E07000196,4090,66,236,1207,32,40,1497,407,605,0
E07000197,5939,175,372,1235,42,200,2583,580,752,0
E07000198,3477,60,267,720,33,49,1426,412,510,0
E07000199,2432,54,95,435,20,27,1232,241,328,0
E07000200,4011,72,319,778,33,290,1410,416,693,0
E07000202,5540,54,275,481,41,540,2547,713,889,0
E07000203,4192,65,382,742,23,99,1719,438,724,0
E07000207,7996,27,610,2632,28,247,2026,699,1727,0
E07000208,4040,18,283,837,16,612,1179,350,745,0
E07000209,16554,48,563,1848,37,7018,4326,989,1725,0
E07000210,4165,34,321,1218,14,182,1160,465,771,0
E07000211,6863,47,468,1667,27,352,2328,688,1286,0
E07000212,9350,25,279,979,26,4333,2200,568,940,0
E07000213,3859,31,264,707,19,78,1368,449,943,0
E07000214,4260,56,359,1058,19,239,1321,458,750,0
E07000215,4657,28,288,1152,37,647,1358,378,769,0
E07000216,9204,35,540,2014,21,2042,2519,709,1324,0
E07000217,4743,32,370,1115,22,99,1523,534,1048,0
