LTLA,ts0680001,ts0680002,ts0680003
E06000001,87356,17188,70168
E06000002,134996,32585,102411
E06000003,129717,23369,106348
E06000004,185862,37316,148546
E06000005,102305,18813,83492
E06000006,121524,23160,98364
E06000007,200343,36792,163551
E06000008,144682,35290,109392
E06000009,133676,23578,110098
E06000010,251060,54703,196357
E06000011,327528,52526,275002
E06000012,148511,27708,120803
E06000013,161235,28707,132528
E06000014,194206,48779,145427
E06000015,246144,55701,190443
E06000016,346272,98628,247644
E06000017,39406,7103,32303
E06000018,305813,102350,203463
E06000019,178605,28366,150239
E06000020,174976,35893,139083
E06000021,242744,52769,189975
E06000022,184389,46409,137980
E06000023,446523,108835,337688
E06000024,206068,36480,169588
E06000025,274306,53414,220892
E06000026,251490,54709,196781
E06000027,133264,21501,111763
E06000030,219784,42162,177622
E06000031,201510,43896,157614
E06000032,209302,54560,154742
E06000033,170444,31766,138678
E06000034,163739,36524,127215
E06000035,262465,53997,208468
E06000036,117490,22882,94608
E06000037,153138,28953,124185
E06000038,163986,38606,125380
E06000039,146728,37786,108942
E06000040,145476,29133,116343
E06000041,167650,35915,131735
E06000042,269327,59908,209419
E06000043,265352,62694,202658
E06000044,196723,49106,147617
E06000045,235126,60197,174929
E06000046,134907,20119,114788
E06000047,497316,98781,398535
E06000049,378842,65235,313607
E06000050,339532,62738,276794
E06000051,309184,49975,259209
E06000052,544773,94591,450182
E06000053,1958,259,1699
E06000054,484705,84967,399738
E06000055,174062,35138,138924
E06000056,276447,51892,224555
E06000057,306332,48826,257506
E06000058,381318,75143,306175
E06000059,364555,56110,308445
E06000060,522190,104524,417666
E06000061,339321,64856,274465
E06000062,401760,81263,320497
E07000008,139327,46205,93122
E07000009,83243,14966,68277
E07000010,97290,15783,81507
E07000011,171172,29428,141744
E07000012,153347,30094,123253
E07000026,91813,14409,77404
E07000027,63921,10275,53646
E07000028,104647,18030,86617
E07000029,63945,10037,53908
E07000030,52583,7743,44840
E07000031,100533,14814,85719
E07000032,120133,19518,100615
E07000033,76171,12677,63494
E07000034,98489,16294,82195
E07000035,68904,10421,58483
E07000036,107413,18052,89361
E07000037,86604,14464,72140
E07000038,97162,15461,81701
E07000039,101446,18748,82698
E07000040,144337,21957,122380
E07000041,124823,35774,89049
E07000042,78830,13656,65174
E07000043,94099,15381,78718
E07000044,85098,13407,71691
E07000045,128897,20107,108790
E07000046,65311,9868,55443
E07000047,54900,8556,46344
E07000061,96968,17430,79538
E07000062,86174,15245,70929
E07000063,95364,16250,79114
E07000064,89378,13112,76266
E07000065,152970,25297,127673
E07000066,175376,34264,141112
E07000067,146815,25971,120844
E07000068,72767,12909,59858
E07000069,85274,14016,71258
E07000070,171642,32304,139338
E07000071,181885,40421,141464
E07000072,127057,23184,103873
E07000073,87076,18051,69025
E07000074,63166,10036,53130
E07000075,81401,13854,67547
E07000076,141602,21516,120086
E07000077,86315,16457,69858
E07000078,112979,22051,90928
E07000079,86817,14183,72634
E07000080,83027,13893,69134
E07000081,124957,25155,99802
E07000082,115461,19807,95654
E07000083,89570,15604,73966
E07000084,174599,31458,143141
E07000085,119735,21017,98718
E07000086,128852,23707,105145
E07000087,109355,17946,91409
E07000088,77711,13594,64117
E07000089,94250,17900,76350
E07000090,118082,19713,98369
E07000091,168550,25763,142787
E07000092,93562,16651,76911
E07000093,123552,21480,102072
E07000094,121401,26971,94430
E07000095,93062,18104,74958
E07000096,145500,28188,117312
E07000098,101530,21418,80112
E07000099,125739,23200,102539
E07000102,88651,18172,70479
E07000103,95718,20305,75413
E07000105,125139,23902,101237
E07000106,150606,38832,111774
E07000107,108474,22916,85558
E07000108,110741,19171,91570
E07000109,100300,20610,79690
E07000110,165392,30146,135246
E07000111,113790,21976,91814
E07000112,104646,17229,87417
E07000113,142781,26480,116301
E07000114,133253,23442,109811
E07000115,124520,24429,100091
E07000116,109144,21649,87495
E07000117,88886,18368,70518
E07000118,111670,19887,91783
E07000119,78061,11965,66096
E07000120,77308,15851,61457
E07000121,136193,33065,103128
E07000122,89805,19632,70173
E07000123,138914,34784,104130
E07000124,58928,10015,48913
E07000125,67091,12900,54191
E07000126,105534,18527,87007
E07000127,112183,24485,87698
E07000128,107058,17512,89546
E07000129,97218,17722,79496
E07000130,174798,42658,132140
E07000131,92906,16742,76164
E07000132,107954,18235,89719
E07000133,49334,8315,41019
E07000134,99251,17806,81445
E07000135,54884,11800,43084
E07000136,66858,11993,54865
E07000137,136661,19744,116917
E07000138,98694,27544,71150
E07000139,112544,19114,93430
E07000140,90389,14343,76046
E07000141,136652,24024,112628
E07000142,90750,15234,75516
E07000143,134690,21323,113367
E07000144,125785,19936,105849
E07000145,94793,16017,78776
E07000146,147067,22925,124142
E07000147,99316,13114,86202
E07000148,136992,35161,101831
E07000149,134958,23055,111903
E07000163,54578,8220,46358
E07000164,86872,13046,73826
E07000165,155382,27517,127865
E07000166,47451,7334,40117
E07000167,52411,7935,44476
E07000168,104023,15982,88041
E07000169,87035,14998,72037
E07000170,119522,21265,98257
E07000171,111837,18630,93207
E07000172,105649,20288,85361
E07000173,111282,19613,91669
E07000174,104522,18312,86210
E07000175,116894,20046,96848
E07000176,113226,22864,90362
E07000177,151661,27233,124428
E07000178,154903,54356,100547
E07000179,141105,25424,115681
E07000180,131114,24595,106519
E07000181,108517,18791,89726
E07000187,110629,19389,91240
E07000188,119343,20113,99230
E07000189,164444,26517,137927
E07000192,94953,16158,78795
E07000193,117053,22002,95051
E07000194,101207,16756,84451
E07000195,117506,23848,93658
E07000196,105549,16212,89337
E07000197,130147,22041,108106
E07000198,91773,14625,77148
E07000199,74205,13634,60571
E07000200,88369,14487,73882
E07000202,131316,26287,105029
E07000203,98199,15546,82653
E07000207,130407,27881,102526
E07000208,76312,16062,60250
E07000209,136966,34130,102836
E07000210,83379,14652,68727
E07000211,141801,27764,114037
E07000212,83298,20277,63021
E07000213,96946,17751,79195
E07000214,85975,16069,69906
E07000215,82898,15795,67103
E07000216,121763,25391,96372
E07000217,97728,19330,78398
E07000218,61829,10348,51481
E07000219,126444,23439,103005
E07000220,107995,20961,87034
E07000221,128480,20722,107758
E07000222,141015,31116,109899
E07000223,61352,10937,50415
E07000224,157635,24534,133101
E07000225,118757,20789,97968
E07000226,110854,22790,88064
E07000227,139410,24503,114907
E07000228,144251,27018,117233
E07000229,105890,18058,87832
E07000234,94025,17145,76880
E07000235,76372,12553,63819
E07000236,82044,15242,66802
E07000237,98593,20328,78265
E07000238,126238,20339,105899
E07000239,96800,16037,80763
E07000240,139508,30534,108974
E07000241,113210,29171,84039
E07000242,141842,27050,114792
E07000243,83877,16523,67354
E07000244,235424,37529,197895
E07000245,170119,28527,141592
E07000246,150083,24579,125504
E08000001,277505,62169,215336
E08000002,182692,37629,145063
E08000003,517560,156241,361319
E08000004,226083,53952,172131
E08000005,209134,46508,162626
E08000006,252666,56815,195851
E08000007,278198,51652,226546
E08000008,217405,42719,174686
E08000009,221586,47421,174165
E08000010,311548,56786,254762
E08000011,144784,27501,117283
E08000012,459716,116175,343541
E08000013,173589,30578,143011
E08000014,265725,45894,219831
E08000015,303883,56342,247541
E08000016,231109,40541,190568
E08000017,291164,52064,239100
E08000018,251162,46766,204396
E08000019,526342,131048,395294
E08000021,284474,82809,201665
E08000022,197976,35069,162907
E08000023,139952,25400,114552
E08000024,260323,48863,211460
E08000025,1069896,295947,773949
E08000026,324882,89083,235799
E08000027,305312,57583,247729
E08000028,319656,75641,244015
E08000029,204546,39940,164606
E08000030,265931,58781,207150
E08000031,247402,55885,191517
E08000032,510315,124422,385893
E08000033,195314,38160,157154
E08000034,408072,89081,318991
E08000035,765154,184538,580616
E08000036,333296,59040,274256
E08000037,186097,33981,152116
E09000001,8369,1163,7206
E09000002,201617,57545,144072
E09000003,365238,83439,281799
E09000004,231441,49270,182171
E09000005,319846,74097,245749
E09000006,310500,60771,249729
E09000007,200104,49200,150904
E09000008,365548,79478,286070
E09000009,345600,78326,267274
E09000010,308725,74646,234079
E09000011,270041,61184,208857
E09000012,243011,53319,189692
E09000013,174082,35938,138144
E09000014,249306,52707,196599
E09000015,245503,54520,190983
E09000016,245561,48843,196718
E09000017,286028,67281,218747
E09000018,269960,60510,209450
E09000019,205378,42097,163281
E09000020,137204,27957,109247
E09000021,158504,36481,122023
E09000022,302389,56936,245453
E09000023,281426,60841,220585
E09000024,201655,41350,160305
E09000025,327180,85833,241347
E09000026,289066,71082,217984
E09000027,184176,39352,144824
E09000028,291275,64309,226966
E09000029,196843,41794,155049
E09000030,291216,71270,219946
E09000031,259441,56165,203276
E09000032,308802,56176,252626
E09000033,195734,41184,154550
W06000001,65667,11540,54127
W06000002,112045,23962,88083
W06000003,109711,18226,91485
W06000004,91048,16394,74654
W06000005,147336,26331,121005
W06000006,128119,24704,103415
W06000008,68766,15480,53286
W06000009,117777,19834,97943
W06000010,178840,31974,146866
W06000011,227063,51845,175218
W06000012,135244,26187,109057
W06000013,138145,24957,113188
W06000014,125088,23694,101394
W06000015,343239,94734,248505
W06000016,225117,44578,180539
W06000018,166734,31122,135612
W06000019,63361,10967,52394
W06000020,87275,15972,71303
W06000021,88995,14419,74576
W06000022,149859,30401,119458
W06000023,127438,19699,107739
W06000024,55539,10568,44971
