LTLA,ts0620001,ts0620002,ts0620003,ts0620004,ts0620005,ts0620006,ts0620007,ts0620008,ts0620009,ts0620010
E06000001,74686,5272,12650,8244,5595,5062,11056,11738,10531,4538
E06000002,113938,7687,17342,12235,7900,6759,15840,17160,17460,11555
E06000003,112341,8273,19920,12435,8897,8961,17123,16788,13910,6034
E06000004,158010,16007,30972,19209,11857,10090,20134,22280,17954,9507
E06000005,88105,9125,17147,10890,7303,5230,11383,13399,8992,4636
E06000006,103948,9262,18408,13520,7862,7548,14339,16996,10391,5622
E06000007,172718,24517,36555,22347,15086,9591,19062,23893,12453,9214
E06000008,119509,9177,19058,14205,10439,6432,14882,17933,17203,10180
E06000009,116339,7226,18549,13893,13867,7311,17431,17382,14403,6277
E06000010,213877,11743,30582,21466,14692,15852,32397,43768,25766,17611
E06000011,288141,34013,61751,33989,33106,18196,35335,37213,21313,13225
E06000012,127521,8411,20582,13107,10592,10348,18145,26033,13546,6757
E06000013,139467,11866,24289,14409,12451,11307,19313,25716,13133,6983
E06000014,172083,25340,34324,17934,14612,8597,17145,18306,9131,26694
E06000015,209191,21070,36857,23127,16091,13301,25705,32809,21366,18865
E06000016,291016,19606,35492,26379,20246,13012,32502,61136,39098,43545
E06000017,34298,5618,8024,3907,4459,1776,3180,3423,1908,2003
E06000018,264323,21358,35308,22236,17690,12018,27814,38671,28219,61009
E06000019,157133,18855,32831,16872,23658,8810,20076,19343,9741,6947
E06000020,148674,15554,26972,17132,12886,10033,20161,23533,12746,9657
E06000021,205900,12422,29351,22019,17538,13670,29635,43173,22086,16006
E06000022,161618,25670,33828,16353,17181,7323,15270,15046,7266,23681
E06000023,389708,61263,78452,39249,32948,17002,37927,44234,26458,52175
E06000024,178565,26381,39836,22311,20013,9610,22135,19518,9721,9040
E06000025,237366,35126,51723,32883,23026,13120,26470,26622,11843,16553
E06000026,218624,19042,40217,26861,18811,13751,29555,30785,17684,21918
E06000027,117032,9869,21931,13399,16510,7275,17627,15515,9598,5308
E06000030,187151,23697,35487,24340,16839,11485,24331,28091,13294,9587
E06000031,167573,16734,29027,20060,15268,9720,20153,31035,15495,10081
E06000032,172698,13326,26380,18471,18909,8984,20054,25778,22700,18096
E06000033,146410,18251,30977,19443,17277,7404,17717,15135,12416,7790
E06000034,136361,12224,24982,17420,15277,8521,17186,20474,11062,9215
E06000035,222757,22032,43535,29481,24732,13284,27880,28888,18551,14374
E06000036,99933,17493,23689,13256,10571,5405,10163,8764,5242,5350
E06000037,130736,25182,29104,16438,14605,6695,13465,12258,6403,6586
E06000038,141360,23551,27262,14620,11754,6341,14939,16004,10863,16026
E06000039,118935,12483,19919,13262,13327,6257,13293,16295,14030,10069
E06000040,123675,27104,29858,14254,14335,5291,9681,8250,7537,7365
E06000041,140819,33892,34869,17504,13968,5304,11043,8461,6658,9120
E06000042,224830,34912,46210,28064,20465,11211,23733,29423,15306,15506
E06000043,235367,37549,52914,22480,27861,8807,20668,16923,15368,32797
E06000044,170820,16787,32091,18753,16759,9166,20428,20292,13274,23270
E06000045,204370,20512,35258,21073,18879,10840,24706,27546,16029,29527
