LTLA,ts0750001,ts0750002,ts0750003,ts0750004,ts0750005,ts0750006,ts0750007
E07000106,63792,19046,1193,18202,14240,10231,880
E07000107,45696,11827,833,16320,9645,6437,634
E07000108,50548,15658,857,14753,11329,7577,374
E07000109,41724,11212,748,16106,7276,5796,586
E07000110,71210,18800,1331,23185,16009,11139,746
E07000111,49013,12990,985,15867,10522,8185,464
E07000112,48338,15728,822,13957,10447,6951,433
E07000113,60495,15957,1022,18009,15574,9505,428
E07000114,62199,20839,1060,16719,14182,8888,511
E07000115,53573,13698,993,16646,12939,8863,434
E07000116,48223,14198,933,14592,10535,7471,494
E07000117,39872,13126,687,14271,6453,5105,230
E07000118,50132,14660,767,19292,7678,7442,293
E07000119,37606,12863,574,13396,5391,5144,238
E07000120,34792,11434,571,13220,4888,4464,215
E07000121,59980,19526,1064,18796,11427,8652,515
E07000122,38066,11824,666,14701,6193,4436,246
E07000123,59607,19400,910,23855,7702,7070,670
E07000124,26747,7807,424,11200,3320,3818,178
E07000125,30561,9708,485,9273,6329,4577,189
E07000126,48584,14496,819,18627,7390,6981,271
E07000127,48533,13989,806,18731,7387,7314,306
E07000128,50768,16346,748,18189,8381,6826,278
E07000129,42575,11095,781,13396,10194,6675,434
E07000130,73785,20860,1234,23492,16351,10883,965
E07000131,40411,10514,705,13753,8429,6624,386
E07000132,49446,13972,822,15661,11052,7582,357
E07000133,22599,6363,392,7520,4761,3448,115
E07000134,44973,12497,680,13618,10880,7042,256
E07000135,22616,6347,374,9112,3835,2567,381
E07000136,29404,8089,668,11839,4923,3690,195
E07000137,64754,19800,1371,21733,13045,8453,352
E07000138,42507,14137,723,10728,10657,5892,370
E07000139,50989,13989,947,17209,10790,7759,295
E07000140,40701,11051,916,15759,7281,5425,269
E07000141,62855,18226,1143,21499,12200,9417,370
E07000142,42345,12680,785,14415,8403,5840,222
E07000143,60359,16550,1296,19151,14137,8822,403
E07000144,57760,16238,1203,17266,14349,8390,314
E07000145,44544,14488,891,12472,10657,5745,291
E07000146,67464,19829,1435,22313,14266,9159,462
E07000147,48374,16319,1000,14838,9704,6232,281
E07000148,64459,25098,1050,11767,18013,7708,823
E07000149,61382,16990,1308,18241,15466,8950,427
E07000163,26069,8440,454,8302,5148,3612,113
E07000164,40800,12176,701,14935,7012,5785,191
E07000165,71170,21845,1191,23628,13376,10596,534
E07000166,20945,6108,327,7465,3847,3065,133
E07000167,24714,7550,488,8863,4363,3336,114
E07000168,51123,18216,911,15296,10013,6404,283
E07000169,39558,10556,688,13659,8296,6144,215
E07000170,54509,16048,1035,14130,15700,7332,264
E07000171,51458,15492,898,17764,10177,6865,262
E07000172,48361,14581,833,12948,12690,6913,396
E07000173,51551,15514,926,13631,13860,7269,351
E07000174,48030,14471,800,13985,12171,6349,254
E07000175,53331,15746,964,16966,11916,7483,256
E07000176,49883,13822,828,14333,12426,7959,515
E07000177,65894,17339,1254,21966,13990,10567,778
