LTLA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012
E09000014,134381,55767,21629,5273,15341,626,1107,18436,1457,5226,7920,1599
E09000015,125037,45175,15605,4721,8673,516,590,37918,3223,915,6146,1555
E09000016,124781,41654,8363,8721,6949,739,609,45890,3357,848,6101,1550
E09000017,142805,45193,9362,3714,13357,670,772,55421,3711,1627,7226,1752
E09000018,138802,45047,10046,5086,18538,635,1199,40771,3043,4056,8614,1767
E09000019,114971,64530,11099,3063,9346,689,620,7871,552,6133,9922,1146
E09000020,69438,40010,6659,1164,4057,1003,568,5331,487,2377,6820,962
E09000021,84148,39251,1457,4946,5519,228,705,21101,1396,2379,6364,802
E09000022,182818,91770,18743,8531,21125,809,1464,16994,1013,9711,10713,1945
E09000023,155712,69977,10775,14407,17148,628,1011,24709,1529,5569,8146,1813
E09000024,112065,48419,12159,5293,9251,385,1152,22618,1630,3237,6683,1238
E09000025,163446,47737,38371,14011,14821,802,1063,28349,2373,3757,9818,2344
E09000026,141627,49406,20627,8539,8172,850,638,40221,2978,1566,6768,1862
E09000027,97566,57322,2897,4319,3929,276,649,17106,962,3888,5386,832
E09000028,166948,80842,14000,7054,23288,791,1132,14701,882,9537,12998,1723
E09000029,104224,38024,3815,6442,6899,436,952,36070,2412,1561,6484,1129
E09000030,155395,78219,21452,7111,9010,896,787,14106,985,7208,13900,1721
E09000031,140372,52765,25097,6810,10142,762,858,27532,1974,4975,7773,1684
E09000032,190441,107639,16503,7948,13863,821,1747,17724,1041,9146,12338,1671
E09000033,101743,56766,9768,2080,7075,993,569,6703,542,3600,12238,1409
W06000001,29202,6573,6,119,463,92,115,17915,1354,279,2005,281
W06000002,51820,12259,24,198,1266,125,135,29336,2268,532,5292,385
W06000003,48726,11381,28,291,1441,170,170,28296,1971,540,3895,543
W06000004,40846,8600,13,236,989,189,159,24399,2032,504,3349,376
W06000005,73822,16269,27,258,1674,356,365,45411,3769,1126,3996,571
W06000006,61807,11277,14,223,1525,687,238,38061,4361,683,4242,496
W06000008,30122,9524,21,65,394,91,102,15398,1000,269,3007,251
W06000009,52766,12179,30,145,542,200,183,32274,2326,333,4001,553
W06000010,81949,19243,39,361,879,304,241,50785,3790,463,5138,706
W06000011,100611,25495,53,440,2859,812,334,56355,5259,1101,6984,919
W06000012,59187,12464,20,445,976,274,250,37320,3079,548,3294,517
W06000013,63984,14375,24,655,939,355,225,39608,3131,380,3776,516
W06000014,59918,20395,38,1363,925,222,214,30055,2064,626,3510,506
W06000015,160439,57855,101,1962,7568,1018,453,64333,5581,4664,15381,1523
W06000016,103390,22563,38,1906,2752,246,283,62494,6183,402,5742,781
W06000018,77439,18473,17,1190,1680,360,288,46223,4229,394,4038,547
W06000019,28799,4036,8,137,437,142,113,19735,2129,118,1746,198
W06000020,40654,9051,14,189,896,359,182,25181,2129,199,2184,270
W06000021,42832,14708,30,238,202,99,141,22432,1349,333,2964,336
W06000022,72789,20385,22,716,2004,1093,250,37870,4040,969,4784,656
W06000023,61725,18698,20,147,297,87,154,33599,1961,536,5669,557
W06000024,25637,4666,11,278,744,327,46,15547,2040,81,1682,215
