LTLA,ts0450001,ts0450002,ts0450003,ts0450004,ts0450005
E07000115,53573,6593,21333,18366,7281
E07000116,48223,7483,20576,14517,5647
E07000117,39872,11667,16992,8730,2483
E07000118,50134,7342,20479,16810,5503
E07000119,37606,6313,16657,11094,3542
E07000120,34792,8818,15012,8434,2528
E07000121,59980,13632,25899,15486,4963
E07000122,38071,8858,16502,9577,3134
E07000123,59607,16536,24674,14219,4178
E07000124,26747,3056,10611,9396,3684
E07000125,30562,5605,12736,9303,2918
E07000126,48586,6965,20751,15861,5009
E07000127,48533,8728,19291,14953,5561
E07000128,50764,9345,21940,14430,5049
E07000129,42575,4867,16747,15421,5540
E07000130,73784,11495,29910,24215,8164
E07000131,40413,4035,14719,15384,6275
E07000132,49446,6292,19683,17020,6451
E07000133,22599,2963,8881,7595,3160
E07000134,44973,5670,17109,15937,6257
E07000135,22617,3798,9345,6993,2481
E07000136,29404,5733,12557,7933,3181
E07000137,64754,10810,28696,17931,7317
E07000138,42507,12062,18960,9068,2417
E07000139,50989,5824,21045,17674,6446
E07000140,40703,5247,16507,13166,5783
E07000141,62850,9176,25864,20562,7248
E07000142,42345,5982,17448,13645,5270
E07000143,60359,8021,24381,19542,8415
E07000144,57760,6342,23971,19792,7655
E07000145,44544,11314,18749,10672,3809
E07000146,67464,10150,27738,20496,9080
E07000147,48374,7061,21133,14100,6080
E07000148,64459,21077,29916,10818,2648
E07000149,61382,6440,24599,21552,8791
E07000163,26069,3819,11469,7882,2899
E07000164,40802,4970,16422,13809,5601
E07000165,71169,10509,30168,22766,7726
E07000166,20944,2441,8925,6988,2590
E07000167,24714,3152,10300,8006,3256
E07000168,51123,13222,22682,11357,3862
E07000169,39560,4989,15342,14153,5076
E07000170,54510,11228,22927,15244,5111
E07000171,51458,8833,20939,15744,5942
E07000172,48361,9609,21091,13598,4063
E07000173,51551,9760,22450,14961,4380
E07000174,48028,10501,19866,13409,4252
E07000175,53330,8620,21812,16541,6357
E07000176,49883,6710,20078,17683,5412
E07000177,65895,9699,26671,21461,8064
E07000178,55239,17735,25086,9559,2859
E07000179,61496,6644,23693,22172,8987
E07000180,57499,7040,22898,20223,7338
E07000181,47980,5516,19098,16656,6710
E07000187,50294,6658,20287,16252,7097
E07000188,53904,7800,21547,16872,7685
E07000189,75938,9514,31177,24590,10657
E07000192,43457,7354,17181,13784,5138
E07000193,51293,9483,20419,15635,5756
E07000194,45630,5767,17521,15992,6350
E07000195,53423,10374,22175,15400,5474
E07000196,46121,5619,17272,16186,7044
E07000197,60047,8920,24490,19766,6871
E07000198,42355,5538,16805,14013,5999
E07000199,32896,6004,13169,10260,3463
E07000200,40200,4683,15517,13729,6271
E07000202,59507,14764,26122,14281,4340
E07000203,44343,4333,16221,15994,7795
E07000207,55590,6192,24688,17976,6734
E07000208,31319,4466,14170,9370,3313
E07000209,55758,7711,21650,18744,7653
E07000210,37139,4286,14540,12379,5934
E07000211,59849,8056,24582,19603,7608
E07000212,34838,4837,13960,11452,4589
E07000213,41805,6156,17558,13082,5009
E07000214,36008,3562,12347,13784,6315
E07000215,35623,4016,14045,11774,5788
E07000216,52448,5875,19972,18739,7862
E07000217,41437,6101,17306,13047,4983
E07000218,27580,3716,10555,9295,4014
E07000219,56586,10992,23027,16756,5811
E07000220,47013,6859,19087,15491,5576
E07000221,59464,6587,22272,21384,9221
E07000222,62619,10396,25702,19929,6592
E07000223,27679,5111,12276,7719,2573
E07000224,72661,12254,31062,21278,8067
E07000225,54118,7618,22122,16768,7610
E07000226,45502,9370,19224,12653,4255
E07000227,62370,7010,23954,22055,9351
E07000228,63349,7838,26644,20853,8014
E07000229,49538,10818,21836,12697,4187
E07000234,41262,4692,14919,15399,6252
E07000235,34892,4133,13233,11804,5722
E07000236,36375,6408,14342,11445,4180
E07000237,44722,9152,18907,12542,4121
E07000238,57356,6784,21162,20279,9131
E07000239,45320,7366,18392,14028,5534
E07000240,58990,7571,26007,19103,6309
E07000241,46209,8126,19210,13626,5247
E07000242,62021,7695,25159,20908,8259
E07000243,36510,7387,15176,10532,3415
E07000244,110747,17565,47199,32899,13084
E07000245,78746,11730,32829,24971,9216
E07000246,69986,10961,29914,20689,8422
E08000001,118790,29427,50816,29967,8580
E08000002,80695,17829,35125,21845,5896
E08000003,214732,83770,92267,31611,7084
E08000004,93140,25744,39646,21541,6209
E08000005,90223,23697,38272,22067,6187
E08000006,115116,38206,49424,22239,5247
E08000007,126648,24889,54538,36885,10336
E08000008,99527,25969,43226,23781,6551
E08000009,96269,18555,41742,28427,7545
E08000010,143105,30519,60609,40335,11642
E08000011,66073,20621,27218,14663,3571
E08000012,207491,83142,83796,33311,7242
E08000013,81010,18785,34286,21931,6008
E08000014,123071,32455,52487,29715,8414
E08000015,143252,35911,60728,36052,10561
E08000016,108054,24580,44800,29576,9098
E08000017,133480,32560,55681,34412,10827
E08000018,113924,26186,45465,31785,10488
E08000019,231950,67843,98577,51149,14381
E08000021,122795,44961,50078,22425,5331
E08000022,96232,26766,42878,21637,4951
E08000023,68287,22372,28630,13785,3500
E08000024,122177,37778,49971,26926,7502
E08000025,423456,134123,176325,86325,26683
E08000026,134140,37047,55958,31334,9801
E08000027,137069,28090,55799,39332,13848
E08000028,130246,38092,54728,28286,9140
E08000029,89483,15754,35180,28347,10202
E08000030,112226,28002,45286,28621,10317
E08000031,105141,29951,43012,24054,8124
E08000032,209867,57910,88910,48227,14820
E08000033,90476,22177,38826,22646,6827
E08000034,177989,40356,73901,48622,15110
E08000035,341466,98083,142676,79730,20977
E08000036,153075,34928,63894,41956,12297
E08000037,89000,28836,37139,18463,4562
E09000001,4913,3793,954,123,43
E09000002,73902,25682,33190,11911,3119
E09000003,148917,44580,66990,29077,8270
E09000004,95300,21327,43224,22652,8097
E09000005,118612,52297,46316,15294,4705
E09000006,135827,31084,62960,30995,10788
E09000007,92759,59037,27983,4809,930
E09000008,152944,51422,66099,26551,8872
E09000009,133661,49188,58513,20211,5749
E09000010,120924,37517,53617,22358,7432
E09000011,114052,49186,48404,13007,3455
E09000012,106081,68832,32322,4167,760
E09000013,81243,46679,28753,4944,867
E09000014,105092,55410,39894,8177,1611
E09000015,89642,22165,39651,21088,6738
E09000016,101277,21806,44708,25232,9531
E09000017,109228,24353,48056,27117,9702
E09000018,102964,33724,45507,17934,5799
E09000019,96496,64536,27722,3606,632
E09000020,66884,39003,21860,4926,1095
E09000021,65626,16866,31444,13381,3935
E09000022,134688,78136,46524,8257,1771
E09000023,122392,58369,50109,11201,2713
E09000024,81726,27009,38843,12570,3304
E09000025,115507,59697,43647,9919,2244
E09000026,103713,28527,47181,21071,6934
E09000027,80705,20516,41739,14790,3660
E09000028,130818,78851,43420,7177,1370
E09000029,82348,18782,38668,18785,6113
E09000030,120540,80018,34571,5057,894
E09000031,102901,43337,43943,12198,3423
E09000032,137393,65756,57727,11711,2199
E09000033,94815,62789,26309,4670,1047
W06000001,30822,4617,12724,9399,4082
W06000002,51102,9027,21391,14345,6339
W06000003,52235,9676,22451,14392,5716
W06000004,42389,7969,17662,11910,4848
W06000005,66911,9750,26684,21847,8630
W06000006,57914,11033,23494,16886,6501
W06000008,30894,4861,12949,9017,4067
W06000009,55488,8432,23490,16317,7249
W06000010,81759,12594,33731,24722,10712
W06000011,104962,23767,44670,26886,9639
W06000012,62375,13059,26396,16978,5942
W06000013,62358,11366,26108,18425,6459
W06000014,57450,9529,24389,17612,5920
W06000015,147333,38293,63557,35256,10227
W06000016,103338,22958,43205,27517,9658
W06000018,76257,15502,31897,21106,7752
W06000019,30340,6969,12872,7663,2836
W06000020,40241,7899,16687,11436,4219
W06000021,40924,5297,15666,13870,6091
W06000022,66054,14920,26859,18145,6130
W06000023,60182,7886,24592,18687,9017
W06000024,25783,6455,10778,6350,2200
