LTLA,ts0450001,ts0450002,ts0450003,ts0450004,ts0450005
E06000001,40930,12102,16635,9259,2934
E06000002,60263,19964,24144,12572,3583
E06000003,61638,15288,26089,15288,4973
E06000004,83756,18713,34299,23675,7069
E06000005,48918,12253,21342,11906,3417
E06000006,55951,13309,23683,14834,4125
E06000007,90538,15776,37383,28681,8698
E06000008,58767,15814,24748,13939,4266
E06000009,64789,22019,27318,12017,3435
E06000010,115472,40476,49284,21034,4678
E06000011,152066,23997,64070,47338,16661
E06000012,69826,18794,29470,16725,4837
E06000013,73173,13503,29967,21659,8044
E06000014,85456,20470,39307,20190,5489
E06000015,105651,27420,44463,25841,7927
E06000016,127388,42083,52325,24968,8012
E06000017,16694,1723,6644,6050,2277
E06000018,124745,47399,51357,20474,5515
E06000019,82827,11963,33072,26168,11624
E06000020,76510,14326,31773,22513,7898
E06000021,110400,30166,48001,25101,7132
E06000022,79250,15796,32994,22271,8189
E06000023,191640,50141,87781,41397,12321
E06000024,94648,14156,38878,30335,11279
E06000025,118101,14585,47411,40325,15780
E06000026,114558,28534,49883,28065,8076
E06000027,62992,14635,27302,15426,5629
E06000030,95862,18549,39961,28411,8941
E06000031,84533,19149,36755,22088,6541
E06000032,78940,19720,33927,18584,6709
E06000033,78346,19246,34739,18412,5949
E06000034,66376,11474,28100,19504,7298
E06000035,111458,21449,45564,32204,12241
E06000036,50248,5772,19256,18865,6355
E06000037,66658,8043,25521,23419,9675
E06000038,67680,19206,29992,14293,4189
E06000039,52422,10634,22358,14121,5309
E06000040,60932,7737,24350,20650,8195
E06000041,69164,6242,25935,27309,9678
E06000042,113102,19349,49077,34030,10646
E06000043,121402,45460,51874,19070,4998
E06000044,86157,26107,37458,17917,4675
E06000045,102291,28018,45272,22324,6677
E06000046,64775,13449,28768,16255,6303
E06000047,234761,56658,99248,59963,18892
E06000049,174856,25367,71640,58151,19698
E06000050,155156,25909,63368,49589,16290
E06000051,139579,19280,55999,44709,19591
E06000052,250534,37623,105520,76073,31318
E06000053,941,393,360,144,44
E06000054,215081,28198,84809,73170,28904
E06000055,74952,13631,30160,22875,8286
E06000056,120756,13609,46621,43924,16602
E06000057,146922,28969,63283,41349,13321
E06000058,173842,33692,75280,47819,17051
E06000059,169261,23132,69142,53854,23133
E06000060,220328,25285,82470,79464,33109
E06000061,148918,23793,60120,47703,17302
E06000062,172640,27457,67278,56520,21385
E07000008,52471,18032,24451,7872,2116
E07000009,37203,4474,14531,13000,5198
E07000010,44083,7029,18308,13194,5552
E07000011,76880,10040,30862,26363,9615
E07000012,66996,7329,27335,23849,8483
E07000026,43973,8151,18415,12840,4567
E07000027,31259,8402,14054,6780,2023
E07000028,50663,10988,21990,13441,4244
E07000029,30787,6352,13076,8466,2893
E07000030,24613,3063,9822,8219,3509
E07000031,47657,6730,20661,14672,5594
E07000032,56276,9450,22531,17695,6600
E07000033,35262,6528,14327,10605,3802
E07000034,48059,11496,20227,12447,3889
E07000035,32286,4206,12652,10809,4619
E07000036,50334,9763,21124,14863,4584
E07000037,40772,6881,17634,12057,4200
E07000038,45987,7415,18511,14458,5603
E07000039,45240,5029,17746,16552,5913
E07000040,66788,9065,28160,21248,8315
E07000041,52554,13346,23839,11833,3536
E07000042,35633,4653,14074,11583,5323
E07000043,43197,7331,17936,12743,5187
E07000044,39335,4607,15753,13311,5664
E07000045,59838,8626,24603,18787,7822
E07000046,30456,4182,12784,9311,4179
E07000047,24818,3007,10047,8118,3646
E07000061,45610,12098,20431,9993,3088
E07000062,40452,11798,17381,8482,2791
E07000063,43688,8210,19286,11808,4384
E07000064,42102,6742,17830,12183,5347
E07000065,68269,7222,25578,23994,11475
E07000066,76362,14300,32037,22118,7907
E07000067,64986,8932,25026,21572,9456
E07000068,32342,4443,13950,9945,4004
E07000069,37389,5593,14637,11731,5428
E07000070,75401,11215,31551,23342,9293
E07000071,79710,14540,33699,23202,8269
E07000072,54555,7641,23036,16618,7260
E07000073,37857,8219,15791,10430,3417
E07000074,27900,3148,9784,9814,5154
E07000075,35557,4607,13761,11737,5452
E07000076,67453,13583,29208,17384,7278
E07000077,36958,3232,13025,14035,6666
E07000078,52899,10621,23994,14221,4063
E07000079,40597,4462,15783,14370,5982
E07000080,37217,4533,13981,12448,6255
E07000081,55407,11192,23135,15848,5232
E07000082,52378,6218,19666,18390,8104
E07000083,40931,4711,16391,14531,5298
E07000084,76645,11090,29552,26274,9729
E07000085,52718,5106,18843,19740,9029
E07000086,56924,6748,22621,20516,7039
E07000087,48639,5893,18538,17433,6775
E07000088,35922,7418,15909,9569,3026
E07000089,39964,3136,13984,16092,6752
E07000090,53589,9678,21254,16299,6358
E07000091,77566,9039,30145,26423,11959
E07000092,39303,6421,15875,12516,4491
E07000093,54708,6520,20437,19967,7784
E07000094,51715,6996,19839,17715,7165
E07000095,39850,6596,16635,11648,4971
E07000096,63412,9195,25860,20483,7874
E07000098,42682,6619,18044,13248,4771
E07000099,56732,8781,24339,17366,6246
E07000102,36858,4601,14673,12428,5156
E07000103,39628,8884,17628,10015,3101
E07000105,53583,7706,21372,17129,7376
E07000106,63792,13291,27208,16907,6386
E07000107,45696,7700,20577,13036,4383
E07000108,50548,10146,21507,13688,5207
E07000109,41725,8204,17094,11616,4811
E07000110,71211,10401,28004,23251,9555
E07000111,49016,5606,19700,16334,7376
E07000112,48337,9912,20668,12795,4962
E07000113,60495,10064,24288,18454,7689
E07000114,62200,16219,26812,14210,4959
