LTLA,ts0260001,ts0260002,ts0260003,ts0260004,ts0260005,ts0260006
E06000001,40930,13616,26795,193,209,117
E06000002,60262,19964,37577,889,933,899
E06000003,61636,20663,40508,110,248,107
E06000004,83757,25980,55893,610,749,525
E06000005,48918,16714,31158,356,461,229
E06000006,55950,17702,37450,200,376,222
E06000007,90538,27364,60565,818,1150,641
E06000008,58767,17578,34843,2029,2575,1742
E06000009,64788,24588,38736,460,626,378
E06000010,115472,39446,71103,1680,1682,1561
E06000011,152066,45678,104096,603,1176,513
E06000012,69826,22718,45768,443,547,350
E06000013,73173,21366,49535,752,858,662
E06000014,85459,26640,55966,604,1316,933
E06000015,105651,33054,64066,2778,2876,2877
E06000016,127388,35173,69732,9334,5994,7155
E06000017,16696,4786,11637,67,156,50
E06000018,124745,41971,71544,3777,3544,3909
E06000019,82827,25434,55290,630,947,526
E06000020,76510,21205,52392,941,1123,849
E06000021,110400,36179,68350,2118,2204,1549
E06000022,79250,23077,53099,539,1354,1181
E06000023,191638,57862,119647,3667,5254,5208
E06000024,94649,29090,63105,648,1229,577
E06000025,118101,30747,83119,1127,1824,1284
E06000026,114558,37338,73955,1005,1283,977
E06000027,62994,21883,39764,355,640,352
E06000030,95862,27219,62977,1942,2050,1674
E06000031,84533,23516,51079,3438,3119,3381
E06000032,78940,21068,43484,4954,4560,4874
E06000033,78344,26102,48869,1132,1401,840
E06000034,66377,16180,45384,1805,1485,1523
E06000035,111458,30462,75794,1744,1917,1541
E06000036,50248,13465,33969,828,1239,747
E06000037,66658,18008,46274,630,1166,580
E06000038,67683,19262,40476,2153,2937,2855
E06000039,52423,11948,28631,4473,3464,3907
E06000040,60933,16715,39628,1145,2083,1362
E06000041,69164,16265,48435,1603,1866,995
E06000042,113102,29795,73596,3588,3415,2708
E06000043,121401,42101,70639,1694,3862,3105
E06000044,86155,27607,53413,1547,1741,1847
E06000045,102291,33711,60002,2673,2986,2919
E06000046,64776,22484,41346,213,487,246
E06000047,234759,79529,152555,666,1312,697
E06000049,174856,53136,117573,1125,1995,1027
E06000050,155154,46887,104633,960,1852,822
E06000051,139579,41428,95822,483,1185,661
E06000052,250536,76862,169829,716,2038,1091
E06000053,942,307,620,0,13,2
E06000054,215083,60574,149210,1474,2578,1247
E06000055,74950,21448,47361,2097,2266,1778
E06000056,120755,31171,85398,1126,1972,1088
E06000057,146922,48149,97475,320,733,245
E06000058,173842,56531,107925,2397,4091,2898
E06000059,169261,51741,114828,619,1450,623
