LTLA,ts0010001,ts0010002,ts0010003
E06000001,92338,91471,867
E06000002,143926,141421,2505
E06000003,136531,135300,1231
E06000004,196595,193780,2815
E06000005,107799,106818,981
E06000047,522068,508762,13306
E06000057,320567,316102,4465
E08000021,300125,282879,17246
E08000022,208967,207717,1250
E08000023,147776,146598,1178
E08000024,274172,270386,3786
E08000037,196151,193596,2555
E06000006,128478,127597,881
E06000007,210974,207852,3122
E06000008,154738,153245,1493
E06000009,141036,138016,3020
E06000049,398772,394367,4405
E06000050,357150,352087,5063
E07000026,96157,95173,984
E07000027,67407,66877,530
E07000028,110024,108840,1184
E07000029,67076,66374,702
E07000030,54735,54416,319
E07000031,104450,101842,2608
E07000117,94646,93747,899
E07000118,117732,115032,2700
E07000119,81374,79781,1593
E07000120,82234,81479,755
E07000121,142934,134704,8230
E07000122,95757,95218,539
E07000123,147835,141777,6058
E07000124,61561,60562,999
E07000125,70871,70101,770
E07000126,111035,110251,784
E07000127,117429,112818,4611
E07000128,111946,110300,1646
E08000001,295963,293703,2260
E08000002,193851,192043,1808
E08000003,551938,530136,21802
E08000004,242088,240652,1436
E08000005,223773,221889,1884
E08000006,269923,264237,5686
E08000007,294773,292555,2218
E08000008,231071,229686,1385
E08000009,235052,233668,1384
E08000010,329330,326849,2481
E08000011,154519,153686,833
E08000012,486088,463875,22213
E08000013,183248,182025,1223
E08000014,279233,275697,3536
E08000015,320199,317403,2796
E06000010,267014,262426,4588
E06000011,342215,336040,6175
E06000012,156966,155461,1505
E06000013,169680,168002,1678
E06000014,202821,191572,11249
E07000163,56927,56221,706
E07000164,90690,89584,1106
E07000165,162666,158140,4526
E07000166,49776,46936,2840
E07000167,54707,53962,745
E07000168,108736,107270,1466
E07000169,91988,91377,611
E08000016,244572,242877,1695
E08000017,308106,303172,4934
E08000018,265807,263955,1852
E08000019,556521,535893,20628
E08000032,546412,540549,5863
E08000033,206631,205315,1316
E08000034,433216,427649,5567
E08000035,811956,790515,21441
E08000036,353368,349825,3543
E06000015,261364,256961,4403
E06000016,368571,355353,13218
E06000017,41049,37439,3610
E06000018,323632,301065,22567
E06000061,359525,356096,3429
E06000062,425725,419229,6496
E07000032,126206,125196,1010
E07000033,80272,79628,644
E07000034,103569,102646,923
E07000035,71540,70429,1111
E07000036,112906,112129,777
E07000037,90933,90274,659
E07000038,102001,101291,710
E07000039,107205,105881,1324
E07000129,102926,102512,414
E07000130,183971,175238,8733
E07000131,97625,96295,1330
E07000132,113642,112857,785
E07000133,51752,51372,380
E07000134,104706,104252,454
E07000135,57747,55910,1837
E07000136,70502,69727,775
E07000137,142296,139926,2370
E07000138,103813,96559,7254
E07000139,118075,116050,2025
E07000140,95122,94342,780
E07000141,143404,142186,1218
E07000142,95156,94032,1124
E07000170,126300,125185,1115
E07000171,117804,115553,2251
E07000172,110940,108922,2018
E07000173,117264,116655,609
E07000174,110482,109697,785
E07000175,122956,120606,2350
E07000176,119077,116531,2546
E06000019,187034,184651,2383
E06000020,185541,183633,1908
E06000021,258366,254839,3527
E06000051,323606,316277,7329
E07000192,100519,100018,501
E07000193,124020,122048,1972
E07000194,106436,105042,1394
E07000195,123299,120082,3217
E07000196,110472,106646,3826
E07000197,136867,134656,2211
E07000198,95845,94929,916
E07000199,78646,78316,330
E07000218,65035,64369,666
E07000219,134197,133473,724
E07000220,114363,112667,1696
E07000221,134725,133589,1136
E07000222,148453,144575,3878
E07000234,99183,97206,1977
E07000235,79486,77675,1811
E07000236,87036,86708,328
E07000237,103872,102059,1813
E07000238,132492,131014,1478
E07000239,101607,100609,998
E08000025,1144919,1117851,27068
E08000026,345325,332606,12719
E08000027,323486,321496,1990
E08000028,341832,339791,2041
E08000029,216240,214970,1270
E08000030,284124,282392,1732
E08000031,263727,260321,3406
E06000031,215671,213464,2207
E06000032,225262,222961,2301
E06000033,180686,178647,2039
E06000034,176001,175327,674
E06000055,185225,182866,2359
E06000056,294252,291784,2468
E07000008,145674,126382,19292
E07000009,87762,87000,762
E07000010,102462,101057,1405
E07000011,180832,178376,2456
E07000012,162118,160792,1326
E07000066,187571,186783,788
E07000067,155268,154035,1233
E07000068,77047,76421,626
E07000069,89587,89153,434
E07000070,181523,179087,2436
E07000071,192715,187617,5098
E07000072,134980,133959,1021
E07000073,93329,92972,357
E07000074,66208,65719,489
E07000075,85661,85369,292
E07000076,148291,146636,1655
E07000077,91341,90473,868
E07000095,99009,98778,231
E07000096,155081,152851,2230
E07000098,107827,106812,1015
E07000099,133210,132148,1062
E07000102,93771,93083,688
E07000103,102246,101534,712
E07000143,141476,139070,2406
E07000144,131721,130407,1314
E07000145,99748,98793,955
E07000146,154325,152559,1766
