LTLA,ts0010001,ts0010002,ts0010003
E07000147,102980,100869,2111
E07000148,143922,137487,6435
E07000149,141948,140165,1783
E07000200,92341,91163,1178
E07000202,139642,137973,1669
E07000203,102699,101464,1235
E07000240,148167,146953,1214
E07000241,119836,114710,5126
E07000242,150158,148223,1935
E07000243,89495,88830,665
E07000244,246058,242404,3654
E07000245,179948,175502,4446
E09000001,8583,8373,210
E09000002,218869,217949,920
E09000003,389344,385950,3394
E09000004,246472,245266,1206
E09000005,339816,335806,4010
E09000006,329992,328202,1790
E09000007,210136,202702,7434
E09000008,390719,387377,3342
E09000009,367115,362907,4208
E09000010,329984,328106,1878
E09000011,289068,284650,4418
E09000012,259146,256633,2513
E09000013,183157,180589,2568
E09000014,264238,262070,2168
E09000015,261203,259007,2196
E09000016,262052,260555,1497
E09000017,305909,300420,5489
E09000018,288181,286381,1800
E09000019,216589,211332,5257
E09000020,143375,141067,2308
E09000021,168063,164689,3374
E09000022,317654,313264,4390
E09000023,300553,297876,2677
E09000024,215186,214115,1071
E09000025,351036,348410,2626
E09000026,310260,308491,1769
E09000027,195278,193417,1861
E09000028,307637,302498,5139
E09000029,209639,208425,1214
E09000030,310306,303679,6627
E09000031,278426,276688,1738
E09000032,327506,322998,4508
E09000033,204236,199943,4293
E06000035,279773,276024,3749
E06000036,124607,122106,2501
E06000037,161448,158585,2863
E06000038,174224,169163,5061
E06000039,158500,157929,571
E06000040,153496,149418,4078
E06000041,177503,174677,2826
E06000042,287060,284994,2066
E06000043,277103,268598,8505
E06000044,208003,201362,6641
E06000045,248922,238765,10157
E06000046,140459,137516,2943
E06000060,553078,545796,7282
E07000061,101686,99669,2017
E07000062,90995,89637,1358
E07000063,99905,98403,1502
E07000064,93108,91308,1800
E07000065,160152,157822,2330
E07000084,185154,183878,1276
E07000085,125744,124111,1633
E07000086,136443,135458,985
E07000087,114511,112702,1809
E07000088,81952,80836,1116
E07000089,99408,97643,1765
E07000090,124208,123099,1109
E07000091,175785,173386,2399
E07000092,99756,98306,1450
E07000093,130492,128864,1628
E07000094,127444,121804,5640
E07000105,132747,131781,966
E07000106,157432,148198,9234
E07000107,116753,116023,730
E07000108,116410,114383,2027
E07000109,106900,106387,513
E07000110,175782,173457,2325
E07000111,120514,119401,1113
E07000112,109758,107862,1896
E07000113,151676,148676,3000
E07000114,140587,138859,1728
E07000115,132201,131084,1117
E07000116,115311,113380,1931
E07000177,161016,158826,2190
E07000178,162040,140818,21222
E07000179,149085,146743,2342
E07000180,138913,135950,2963
E07000181,114237,111783,2454
E07000207,138754,137252,1502
E07000208,80938,80045,893
E07000209,143650,135272,8378
E07000210,87386,86114,1272
E07000211,150846,147544,3302
E07000212,88079,84214,3865
E07000213,102956,102184,772
E07000214,90453,88901,1552
E07000215,87876,86072,1804
E07000216,128229,124354,3875
E07000217,103943,103230,713
E07000223,64544,63852,692
E07000224,164889,161434,3455
E07000225,124068,120153,3915
E07000226,118493,117928,565
E07000227,146778,144257,2521
E07000228,152566,150616,1950
E07000229,111338,109661,1677
E06000022,193409,185438,7971
E06000023,472465,457848,14617
E06000024,216726,214297,2429
E06000025,290424,285030,5394
E06000026,264695,257494,7201
E06000027,139324,137286,2038
E06000030,233407,232231,1176
E06000052,570305,562448,7857
E06000053,2053,2028,25
E06000054,510333,498138,12195
E06000058,400196,389667,10529
E06000059,379579,371738,7841
E07000040,150828,148369,2459
E07000041,130709,120940,9769
E07000042,82852,82184,668
E07000043,98611,97116,1495
E07000044,88627,87717,910
E07000045,134803,132699,2104
E07000046,68114,67324,790
E07000047,57096,55650,1446
E07000078,118836,115283,3553
E07000079,90832,89768,1064
E07000080,87004,85090,1914
E07000081,132416,130621,1795
E07000082,121104,119884,1220
E07000083,94884,94272,612
E07000187,116089,113818,2271
E07000188,125343,123933,1410
E07000189,172671,170026,2645
E07000246,157445,154259,3186
W06000001,68878,68184,694
W06000002,117393,113682,3711
W06000003,114741,112917,1824
W06000004,95817,94182,1635
W06000005,154962,153947,1015
W06000006,135117,132182,2935
W06000008,71475,67845,3630
W06000009,123360,121781,1579
W06000010,187897,185595,2302
W06000011,238490,233322,5168
W06000012,142289,139114,3175
W06000013,145488,142860,2628
W06000014,131939,130281,1658
W06000015,362308,346893,15415
W06000016,237651,235586,2065
W06000018,175952,175055,897
W06000019,66904,66552,352
W06000020,92276,91725,551
W06000021,92957,91515,1442
W06000022,159592,158205,1387
W06000023,133169,131737,1432
W06000024,58836,58386,450
