LTLA,ts0580001,ts0580002,ts0580003,ts0580004,ts0580005,ts0580006,ts0580007,ts0580008,ts0580009,ts0580010,ts0580011
E07000086,69516,6028,6547,10766,7069,1448,943,706,858,23893,11258
E07000087,55631,4823,6727,7411,6224,1303,407,543,827,19206,8160
E07000088,38484,5381,6902,5920,2511,1104,253,324,725,8865,6499
E07000089,50445,3618,3261,5885,4723,1694,939,1139,501,22579,6106
E07000090,56368,5906,7283,7894,6391,1521,687,623,875,14413,10775
E07000091,78702,8646,6763,8965,9347,4553,1382,769,1367,23960,12950
E07000092,53010,6472,7275,5801,5362,2188,910,1253,671,15301,7777
E07000093,65862,6595,6064,5424,5365,4178,1761,1158,1279,23856,10182
E07000094,60574,5881,4266,4010,6404,2900,1365,943,1319,26249,7237
E07000095,48306,4519,4051,5772,6216,3297,649,329,251,14218,9004
E07000096,77198,7714,6400,5823,7784,3398,2562,1027,484,30226,11780
E07000098,52762,4266,3947,5725,6330,2517,449,258,319,21051,7900
E07000099,67161,6942,4815,5147,5435,3240,1928,2229,556,28689,8180
E07000102,46948,2855,4427,4903,4334,2635,747,306,284,19608,6849
E07000103,52859,7829,5725,3948,4570,3336,572,323,327,17899,8330
E07000105,63615,7209,9105,3845,5100,3927,1822,981,2081,19120,10425
E07000106,66162,8881,5781,7221,5817,3654,1238,1114,2154,20109,10193
E07000107,58823,5077,6882,5740,5828,5010,1190,450,458,18217,9971
E07000108,50926,6324,4147,4550,7953,3701,768,595,1357,12291,9240
E07000109,49762,4899,4749,5286,6081,2681,2254,684,535,13037,9556
E07000110,86409,8336,9418,7898,8894,4094,1949,2739,959,26842,15280
E07000111,56385,3639,2946,4496,6575,3556,1860,477,366,23775,8695
E07000112,47814,6157,4587,3275,5644,2947,739,924,1391,13770,8380
E07000113,69200,8371,6864,5859,9022,3807,1584,1796,1570,17587,12740
E07000114,59189,8201,10407,6272,2742,3210,709,781,1728,14408,10731
E07000115,64428,4803,4826,6659,6854,3207,1725,2098,513,23812,9931
E07000116,55899,5948,5323,4058,4068,1984,1211,1708,512,23633,7454
E07000117,40036,7291,7492,5092,4692,1298,900,359,324,6738,5850
E07000118,57242,5585,6679,7009,8412,2480,1481,473,524,16580,8019
E07000119,35716,4000,3821,4912,4147,1053,586,533,517,11361,4786
E07000120,35627,4846,5984,6600,3675,1450,560,360,301,6309,5542
E07000121,62401,10066,9487,7808,3502,2570,2309,741,1290,15430,9198
E07000122,39623,7013,5656,5008,4699,1723,860,549,344,7461,6310
E07000123,66634,9913,13642,7130,5440,2590,928,881,706,16614,8790
E07000124,30387,3181,2210,3776,5008,1578,931,636,297,9005,3765
E07000125,33113,3369,3256,4053,6006,2214,600,266,316,8036,4997
E07000126,54711,5530,8161,8779,4762,2213,1139,571,439,15731,7386
E07000127,53547,6095,5659,6571,8783,3211,927,586,569,13497,7649
E07000128,47835,5355,6295,6105,5910,2008,514,552,768,12479,7849
E07000129,51446,3569,6593,8760,5410,1665,816,769,535,15526,7803
E07000130,84800,9411,9467,11568,11684,2974,1066,933,1221,25638,10838
E07000131,48771,4361,2408,4890,7269,3412,1154,803,788,17474,6212
E07000132,55886,5652,5111,6108,9419,2721,1040,701,647,16666,7821
E07000133,25465,3886,1805,1854,3012,2310,805,496,398,7261,3638
E07000134,51958,4923,4986,5269,8516,3455,1329,773,735,14874,7098
E07000135,25989,2713,4057,5103,1491,688,406,357,385,7477,3312
E07000136,33631,6152,4610,3463,4954,3263,717,907,647,3558,5360
E07000137,55578,9354,3248,5070,6968,4471,2646,1856,1300,10993,9672
E07000138,46718,9136,8837,4552,1924,3385,605,949,1167,9451,6712
E07000139,56892,4736,4960,7709,6687,4813,1446,1255,1542,15406,8338
E07000140,45234,5767,6530,3940,7114,4003,1255,691,1003,7959,6972
E07000141,68192,9925,5534,3580,8680,4921,2751,2018,1622,19428,9733
E07000142,42136,4416,2628,4282,5913,3978,1550,1038,876,10950,6505
E07000143,65638,8792,3994,4348,10063,6965,2911,1780,1281,14404,11100
E07000144,62589,4389,6771,9343,8164,2512,921,517,771,18934,10267
E07000145,41139,6941,6238,3835,3411,2592,1744,1205,942,6813,7418
E07000146,69223,8613,7801,6107,9400,4454,2300,2292,1951,14162,12143
E07000147,41659,5157,2148,3720,5574,3321,1897,739,848,10106,8149
E07000148,65720,11212,13127,5567,2713,1810,1426,476,1229,19468,8692
E07000149,67748,4999,4759,8486,9656,4064,2013,1081,1020,21339,10331
E07000163,27134,3619,1414,2636,2649,1641,984,714,538,8833,4106
E07000164,43404,5507,2039,3020,6197,3045,1802,1491,917,13303,6083
E07000165,79685,11092,8891,5610,8137,4021,1741,922,1210,28233,9828
