LTLA,ts0160001,ts0160002,ts0160003,ts0160004,ts0160005,ts0160006
E07000036,112906,106972,3883,1032,634,385
E07000037,90933,87157,2717,490,338,231
E07000038,102001,98829,2187,490,268,227
E07000039,107208,100786,4173,1210,672,367
E07000129,102924,93029,6817,1507,957,614
E07000130,183971,159857,15121,3257,2543,3193
E07000131,97625,90617,4886,914,674,534
E07000132,113640,106587,4540,1359,733,421
E07000133,51752,48514,2224,546,290,178
E07000134,104707,98326,3816,1295,799,471
E07000135,57747,46568,8232,1125,955,867
E07000136,70502,53830,7600,4559,2649,1864
E07000137,142296,136421,4187,780,513,395
E07000138,103814,88152,7443,3239,2454,2526
E07000139,118074,110835,5322,902,578,437
E07000140,95122,81215,7329,3592,1962,1024
E07000141,143404,130616,8439,2344,1235,770
E07000142,95153,90468,3417,595,370,303
E07000170,126300,119087,4129,1643,848,593
E07000171,117805,109896,4425,1823,1097,564
E07000172,110940,99589,6516,1894,1427,1514
E07000173,117263,108337,6175,1380,829,542
E07000174,110481,98571,5325,3244,1965,1376
E07000175,122956,114028,5144,1912,1194,678
E07000176,119077,109177,6702,1237,1008,953
E06000019,187034,170958,9362,3207,1917,1590
E06000020,185541,164432,10890,4254,3578,2387
E06000021,258369,224531,16485,6871,6165,4317
E06000051,323606,304471,11108,3172,2396,2459
E07000192,100519,96919,2213,647,452,288
E07000193,124019,106755,8316,4113,3048,1787
E07000194,106431,101308,3467,750,574,332
E07000195,123299,114929,4844,1495,1089,942
E07000196,110475,106840,2840,370,239,186
E07000197,136867,126625,6036,1880,1488,838
E07000198,95846,93393,1785,343,195,130
E07000199,78646,73339,2435,1263,1096,513
E07000218,65035,62234,1644,522,434,201
E07000219,134195,118758,9023,3200,1972,1242
E07000220,114363,93470,11016,4673,3305,1899
E07000221,134725,123358,6966,2021,1487,893
E07000222,148453,124265,11836,4115,4267,3970
E07000234,99183,94380,3535,515,375,378
E07000235,79486,74872,3050,570,475,519
E07000236,87036,77100,5639,2280,1226,791
E07000237,103873,90586,6890,2574,2025,1798
E07000238,132492,121686,6005,2423,1463,915
E07000239,101607,96555,3398,836,549,269
E08000025,1144919,838959,187017,48664,37797,32482
E08000026,345324,248991,47774,17054,15302,16203
E08000027,323489,297930,16181,3915,3347,2116
E08000028,341832,261213,47319,14738,10962,7600
E08000029,216239,193991,14997,3194,2264,1793
E08000030,284127,242162,25755,7317,5482,3411
E08000031,263727,203312,33878,10517,9081,6939
E06000031,215673,154787,33222,13447,8400,5817
E06000032,225262,138675,49785,14672,11910,10220
E06000033,180689,158100,14927,3484,2295,1883
E06000034,176000,139059,22752,7544,4086,2559
E06000055,185225,145586,24126,7011,4898,3604
E06000056,294252,261763,20596,5600,3306,2987
E07000008,145675,90388,21000,10583,11257,12447
E07000009,87760,77395,5954,1942,1420,1049
E07000010,102462,89691,7139,3170,1540,922
E07000011,180832,158430,12971,4050,2994,2387
E07000012,162119,135924,15123,4946,3437,2689
E07000066,187571,165407,13711,4093,2494,1866
E07000067,155268,144076,7701,1998,917,576
E07000068,77047,68392,5678,1340,915,722
E07000069,89587,85303,3307,465,299,213
E07000070,181523,159914,12675,3746,2594,2594
E07000071,192716,164707,15531,4994,3629,3855
E07000072,134980,116277,13165,2644,1672,1222
E07000073,93328,76255,9582,3470,2281,1740
E07000074,66208,63255,2244,338,205,166
E07000075,85661,82203,2711,381,237,129
E07000076,148292,140821,5744,867,548,312
E07000077,91340,83396,5297,1294,741,612
E07000095,99009,81314,12522,2620,1594,959
E07000096,155081,132881,13998,3995,2452,1755
E07000098,107827,83151,16641,3840,2406,1789
E07000099,133210,117793,10805,2197,1451,964
E07000102,93771,75953,13140,2268,1369,1041
E07000103,102246,67527,20098,6274,4862,3485
E07000143,141476,126175,8723,3292,1877,1409
E07000144,131721,124296,5273,1082,663,407
E07000145,99750,89995,4845,2204,1455,1251
E07000146,154324,138376,8960,2890,2151,1947
E07000147,102980,98291,3466,590,333,300
E07000148,143922,118600,11600,5039,4326,4357
E07000149,141948,131950,6498,1634,1072,794
E07000200,92341,87057,3881,724,424,255
E07000202,139642,114863,12219,5617,4233,2710
E07000203,102699,96911,3919,744,511,614
E07000240,148168,122959,16271,3984,2896,2058
E07000241,119836,93466,14201,4184,3239,4746
E07000242,150158,133893,9694,2742,2196,1633
E07000243,89495,74744,8932,2522,1826,1471
E07000244,246057,231386,10093,2134,1476,968
E07000245,179948,149325,11662,4061,6541,8359
E09000001,8583,4327,1690,745,838,983
E09000002,218871,128483,54916,17197,10893,7382
E09000003,389344,221293,104882,27670,20652,14847
E09000004,246473,194714,36134,8099,4441,3085
E09000005,339816,149239,114217,33145,24671,18544
E09000006,329991,263052,45400,10349,6656,4534
E09000007,210136,114647,50482,14085,14132,16790
E09000008,390719,254536,92122,21030,13550,9481
E09000009,367115,180561,114277,31490,23673,17114
E09000010,329984,196824,91954,19515,13189,8502
E09000011,289068,180578,64103,20497,13601,10289
E09000012,259146,156219,62759,16947,13065,10156
E09000013,183157,99818,44057,14372,13213,11697
E09000014,264238,143117,72112,21941,16308,10760
E09000015,261203,127612,86751,20690,14959,11191
E09000016,262053,211166,32710,9085,5357,3735
E09000017,305909,188260,73764,18355,14038,11492
E09000018,288181,145556,82025,24722,20605,15273
E09000019,216589,130213,46060,14064,13560,12692
E09000020,143375,66063,41136,12457,11494,12225
E09000021,168061,111412,34729,9210,6806,5904
E09000022,317654,195091,74439,19775,15609,12740
E09000023,300551,193483,67979,18646,12051,8392
E09000024,215185,127245,54478,15491,10659,7312
E09000025,351035,162447,101180,35229,29139,23040
E09000026,310260,174963,83717,21811,17368,12401
E09000027,195276,139053,33638,9235,7344,6006
E09000028,307638,182392,71822,21052,16975,15397
E09000029,209638,151447,39540,9443,5379,3829
E09000030,310306,165081,70066,26808,24248,24103
E09000031,278426,171070,66599,19580,13262,7915
E09000032,327506,203322,68220,23762,18270,13932
E09000033,204236,90702,57108,17692,17883,20851
E06000035,279773,241119,25051,6354,3831,3418
E06000036,124607,102964,13331,3706,2579,2027
E06000037,161448,141996,11847,3229,2433,1943
E06000038,174224,115894,26825,11530,10385,9590
E06000039,158499,88806,44658,10878,7886,6271
E06000040,153496,120245,20566,5287,4156,3242
E06000041,177502,143891,20951,5569,3883,3208
E06000042,287060,213215,42087,14481,10136,7141
E06000043,277103,222760,28524,9674,8219,7926
E06000044,208003,172763,17578,6749,5199,5714
E06000045,248922,188823,28758,11793,9356,10192
E06000046,140459,131851,5989,1036,777,806
E06000060,553080,461030,62634,13819,8751,6846
E07000061,101686,86238,9476,2687,1945,1340
E07000062,90995,80653,6605,1597,1184,956
E07000063,99905,91059,6486,1143,742,475
E07000064,93110,86089,5084,804,602,531
E07000065,160151,147986,8913,1474,955,823
E07000084,185157,157505,16546,4706,3393,3007
E07000085,125744,113737,8498,1567,1087,855
E07000086,136442,123713,8450,2045,1306,928
E07000087,114513,106737,5562,1021,651,542
E07000088,81952,75997,4165,868,509,413
E07000089,99408,87770,7965,1611,1071,991
E07000090,124206,116201,5752,1070,688,495
E07000091,175785,163689,8659,1531,1147,759
E07000092,99756,75967,13922,4472,2996,2399
E07000093,130492,115982,9444,2466,1516,1084
E07000094,127444,113477,8525,1965,1660,1817
E07000105,132747,114942,10784,3101,2269,1651
E07000106,157429,137129,10762,3250,2721,3567
E07000107,116753,93777,14797,4211,2366,1602
E07000108,116410,106575,6754,1560,876,645
E07000109,106900,86328,13105,3933,2196,1338
E07000110,175785,151237,13715,5059,3387,2387
E07000111,120514,107235,8891,1959,1397,1032
E07000112,109758,98281,7732,1672,1258,815
E07000113,151677,139533,7834,2183,1351,776
E07000114,140587,126862,9102,2295,1261,1067
E07000115,132204,120359,7968,1856,1131,890
E07000116,115310,99728,9653,2681,1752,1496
E07000177,161016,132685,14702,5795,4617,3217
E07000178,162040,105387,23957,10145,10076,12475
E07000179,149085,130136,11713,3216,2304,1716
E07000180,138913,119245,11423,3605,2478,2162
E07000181,114237,102123,7624,2033,1486,971
E07000207,138754,109048,18820,4634,3457,2795
E07000208,80937,63540,12050,2423,1570,1354
E07000209,143650,116160,14609,4200,3803,4878
E07000210,87386,76578,7434,1507,1031,836
E07000211,150848,126218,15837,3526,2864,2403
E07000212,88079,70554,9721,2832,2342,2630
E07000213,102956,81469,13922,3549,2256,1760
E07000214,90453,75028,10426,2192,1537,1270
E07000215,87874,78193,7089,1188,742,662
E07000216,128227,111898,10628,2400,1696,1605
E07000217,103943,78797,14624,4262,3520,2740
E07000223,64544,59300,3730,763,437,314
E07000224,164889,147218,11013,3328,1962,1368
E07000225,124069,111578,8024,1861,1415,1191
E07000226,118493,86743,18486,5907,4618,2739
E07000227,146780,131674,9764,2242,1712,1388
E07000228,152566,134395,11629,2752,1999,1791
E07000229,111338,97846,8592,2346,1502,1052
E06000022,193409,170090,11637,4042,3331,4309
E06000023,472465,383497,45434,17039,13612,12883
E06000024,216728,198533,10878,3380,2396,1541
E06000025,290424,259756,16321,6070,4430,3847
E06000026,264694,240345,13861,4621,2984,2883
E06000027,139324,129424,6495,1564,931,910
E06000030,233410,185756,24181,9854,8093,5526
E06000052,570307,540148,19798,4456,3071,2834
E06000053,2057,1940,56,21,18,22
E06000054,510333,459802,32662,7692,5574,4603
E06000058,400196,338248,33763,12263,8712,7210
E06000059,379579,354852,17849,2941,2049,1888
E07000040,150828,141530,6265,1390,937,706
E07000041,130709,111104,8574,3493,3057,4481
E07000042,82850,77676,3302,884,604,384
E07000043,98607,93196,3457,675,612,667
E07000044,88629,83086,3919,600,540,484
E07000045,134803,127824,5204,846,543,386
E07000046,68114,65384,1938,321,228,243
E07000047,57096,53989,2161,385,294,267
E07000078,118836,101541,9527,3212,2494,2062
E07000079,90833,82833,5056,1183,955,806
E07000080,87004,82569,2813,722,459,441
E07000081,132417,113343,11479,3629,2360,1606
E07000082,121103,113160,5787,1061,662,433
E07000083,94884,87116,4966,1324,980,498
E07000187,116091,106933,5653,1586,1000,919
E07000188,125344,114721,5593,2578,1405,1047
E07000189,172669,158140,8376,2709,2019,1425
E07000246,157444,142957,8040,2380,1901,2166
W06000001,68877,66583,1727,246,190,131
W06000002,117393,111034,3226,908,935,1290
W06000003,114741,108801,4158,802,586,394
W06000004,95817,91306,3036,581,415,479
W06000005,154962,144952,5561,2206,1436,807
W06000006,135117,124476,5911,2092,1610,1028
W06000008,71475,66430,2683,609,763,990
W06000009,123360,117408,4207,701,584,460
W06000010,187897,178385,6120,1657,944,791
W06000011,238490,216019,12185,3893,2960,3433
W06000012,142289,137115,3363,715,560,536
W06000013,145488,139225,4339,885,535,504
W06000014,131939,124315,5343,889,681,711
W06000015,362308,302460,31076,10196,8329,10247
W06000016,237652,228753,5083,1253,1054,1509
W06000018,175952,170772,3624,890,400,266
W06000019,66904,64757,1291,425,274,157
W06000020,92273,88990,2288,496,318,181
W06000021,92957,87843,3509,650,505,450
W06000022,159591,140174,11170,3634,2617,1996
W06000023,133171,126711,4336,999,700,425
W06000024,58839,55553,1892,649,374,371
