LTLA,ts0390001,ts0390002,ts0390003,ts0390004,ts0390005,ts0390006,ts0390007,ts0390008,ts0390009
E07000109,100299,91313,4141,2933,1208,1876,898,978,2969
E07000110,165392,151210,7370,5484,1886,2567,1200,1367,4245
E07000111,113792,103809,5538,4234,1304,1648,776,872,2797
E07000112,104645,93823,4983,3537,1446,2168,1033,1135,3671
E07000113,142781,128852,6061,4339,1722,2884,1308,1576,4984
E07000114,133253,119406,5872,4100,1772,2899,1295,1604,5076
E07000115,124520,113690,5725,4341,1384,1947,963,984,3158
E07000116,109144,100529,4952,3825,1127,1410,676,734,2253
E07000117,88886,80446,3604,2463,1141,2057,957,1100,2779
E07000118,111670,101129,5539,4050,1489,1996,941,1055,3006
E07000119,78061,70107,4090,3021,1069,1485,741,744,2379
E07000120,77308,69637,3349,2273,1076,1781,790,991,2541
E07000121,136193,123638,6303,4591,1712,2470,1144,1326,3782
E07000122,89805,81653,3647,2559,1088,1959,861,1098,2546
E07000123,138914,126770,5660,3892,1768,2834,1307,1527,3650
E07000124,58928,53583,3159,2376,783,885,473,412,1301
E07000125,67091,60778,3000,2136,864,1344,614,730,1969
E07000126,105534,95178,5494,4075,1419,1948,917,1031,2914
E07000127,112183,100874,5533,3931,1602,2215,1107,1108,3561
E07000128,107056,95099,5609,4008,1601,2341,1083,1258,4007
E07000129,97218,88167,4840,3597,1243,1702,851,851,2509
E07000130,174798,159858,8093,6032,2061,2682,1365,1317,4165
E07000131,92906,84831,4773,3605,1168,1326,711,615,1976
E07000132,107954,97712,5514,4097,1417,1760,820,940,2968
E07000133,49334,44829,2490,1876,614,757,348,409,1258
E07000134,99251,90048,4732,3487,1245,1718,779,939,2753
E07000135,54884,49594,2713,1933,780,1090,520,570,1487
E07000136,66855,61028,2505,1747,758,1280,578,702,2042
E07000137,136661,120431,6344,4363,1981,3500,1628,1872,6386
E07000138,98694,90852,3513,2495,1018,1675,741,934,2654
E07000139,112544,101916,5171,3792,1379,1973,991,982,3484
E07000140,90389,81863,3849,2724,1125,1692,779,913,2985
E07000141,136653,124404,6274,4682,1592,2239,1070,1169,3736
E07000142,90750,81664,4428,3182,1246,1738,837,901,2920
E07000143,134691,122244,5853,4282,1571,2513,1180,1333,4081
E07000144,125785,114033,6506,4876,1630,1975,990,985,3271
E07000145,94797,84908,3917,2647,1270,2346,959,1387,3626
E07000146,147066,132732,6601,4710,1891,2794,1351,1443,4939
E07000147,99316,89097,5043,3721,1322,1875,950,925,3301
E07000148,136989,126355,5328,3973,1355,2212,1016,1196,3094
E07000149,134958,122698,6814,5116,1698,2047,1018,1029,3399
E07000163,54578,49480,2971,2253,718,875,441,434,1252
E07000164,86872,78526,4733,3567,1166,1310,667,643,2303
E07000165,155380,142317,7642,5865,1777,2035,1054,981,3386
E07000166,47451,43330,2217,1657,560,731,357,374,1173
E07000167,52410,47510,2757,2071,686,808,404,404,1335
E07000168,104023,93578,4906,3557,1349,2127,1029,1098,3412
E07000169,87036,79286,4109,3035,1074,1433,679,754,2208
E07000170,119523,105694,6293,4437,1856,2963,1359,1604,4573
E07000171,111837,100525,5338,3720,1618,2342,1065,1277,3632
E07000172,105646,95192,5649,4199,1450,1873,912,961,2932
E07000173,111282,99567,6316,4668,1648,2195,1068,1127,3204
E07000174,104522,92450,5581,3948,1633,2605,1126,1479,3886
E07000175,116894,104518,6226,4513,1713,2398,1113,1285,3752
E07000176,113226,102812,6246,4811,1435,1648,851,797,2520
E07000177,151661,140064,6205,4605,1600,2177,1043,1134,3215
E07000178,154903,144613,5763,4480,1283,1986,944,1042,2541
E07000179,141105,129880,6649,5200,1449,1683,849,834,2893
E07000180,131114,120519,6143,4803,1340,1797,877,920,2655
E07000181,108518,99551,5135,3960,1175,1500,722,778,2332
E07000187,110629,100739,5462,4141,1321,1622,781,841,2806
E07000188,119343,108100,5633,4105,1528,2158,1083,1075,3452
E07000189,164443,149484,7752,5789,1963,2691,1255,1436,4516
E07000192,94955,85023,4642,3213,1429,2129,925,1204,3161
E07000193,117052,107352,4967,3708,1259,1907,844,1063,2826
E07000194,101207,91492,5233,3900,1333,1688,859,829,2794
E07000195,117506,105498,6059,4315,1744,2295,1109,1186,3654
E07000196,105549,94619,5835,4285,1550,2082,992,1090,3013
E07000197,130149,117538,6899,5160,1739,2156,1115,1041,3556
E07000198,91773,81935,5316,3927,1389,1715,866,849,2807
E07000199,74205,67156,3209,2248,961,1431,624,807,2409
E07000200,88369,80328,4388,3268,1120,1339,639,700,2314
E07000202,131315,120045,5421,3944,1477,2399,1122,1277,3450
E07000203,98199,89309,5074,3838,1236,1419,692,727,2397
E07000207,130408,120891,5669,4385,1284,1531,736,795,2317
E07000208,76312,70302,3408,2622,786,1019,491,528,1583
E07000209,136965,126502,6195,4879,1316,1611,822,789,2657
E07000210,83377,76123,4389,3408,981,1064,548,516,1801
E07000211,141801,130648,6216,4778,1438,1984,995,989,2953
E07000212,83295,76686,3581,2761,820,1165,566,599,1863
E07000213,96946,88683,4388,3228,1160,1559,745,814,2316
E07000214,85975,79377,3773,2867,906,1125,528,597,1700
E07000215,82898,75825,4097,3121,976,1104,591,513,1872
E07000216,121763,112122,5849,4601,1248,1448,741,707,2344
E07000217,97728,89817,4400,3314,1086,1448,706,742,2063
E07000218,61827,55696,2988,2182,806,1184,576,608,1959
E07000219,126444,114090,5619,3932,1687,2650,1195,1455,4085
E07000220,107995,98986,4850,3586,1264,1693,807,886,2466
E07000221,128480,117460,6319,4881,1438,1750,912,838,2951
E07000222,141015,129906,6424,5011,1413,1930,963,967,2755
E07000223,61352,55476,3076,2267,809,1054,551,503,1746
E07000224,157635,143066,7337,5402,1935,2693,1333,1360,4539
