LTLA,ts0330001,ts0330002,ts0330003
W06000001,67086,29673,37413
W06000002,114307,40747,73560
W06000003,111805,82805,29000
W06000004,93062,72116,20946
W06000005,150562,133134,17428
W06000006,131085,115132,15953
W06000008,69911,38233,31678
W06000009,120206,99580,20626
W06000010,182719,109881,72838
W06000011,231889,205903,25986
W06000012,138320,119658,18662
W06000013,141294,128257,13037
W06000014,128082,113345,14737
W06000015,351240,308483,42757
W06000016,230318,201762,28556
W06000018,170687,152850,17837
W06000019,64796,60761,4035
W06000020,89380,82014,7366
W06000021,90687,82835,7852
W06000022,153877,142283,11594
W06000023,129902,108544,21358
W06000024,56957,51878,5079
