LTLA,ts0590001,ts0590002,ts0590003,ts0590004,ts0590005,ts0590006,ts0590007
E06000001,37749,11962,3441,8521,25787,22207,3580
E06000002,56434,19024,5683,13341,37410,32556,4854
E06000003,55621,18000,5232,12768,37621,31940,5681
E06000004,86443,25685,7625,18060,60758,52004,8754
E06000005,49296,14008,4185,9823,35288,30500,4788
E06000006,58706,15668,4613,11055,43038,37863,5175
E06000007,103191,27988,9162,18826,75203,65546,9657
E06000008,63557,20574,5863,14711,42983,38715,4268
E06000009,59362,19645,6223,13422,39717,34638,5079
E06000010,117789,34692,9459,25233,83097,73103,9994
E06000011,156120,48127,15938,32189,107993,87911,20082
E06000012,68849,21821,6588,15233,47028,38913,8115
E06000013,76223,22202,7082,15120,54021,45246,8775
E06000014,96198,32671,12037,20634,63527,54704,8823
E06000015,116201,35031,10896,24135,81170,72096,9074
E06000016,154934,53344,16608,36736,101590,92168,9422
E06000017,18783,5725,2177,3548,13058,10061,2997
E06000018,128867,42906,15071,27835,85961,76165,9796
E06000019,88511,28622,9839,18783,59889,47742,12147
E06000020,85497,22631,7164,15467,62866,54198,8668
E06000021,112580,32209,9224,22985,80371,70790,9581
E06000022,89812,30884,12067,18817,58928,49585,9343
E06000023,238510,71006,24727,46279,167504,147056,20448
E06000024,102702,32965,11232,21733,69737,58675,11062
E06000025,147612,43784,14192,29592,103828,90398,13430
E06000026,121018,38126,11999,26127,82892,71595,11297
E06000027,58935,21164,6943,14221,37771,32078,5693
E06000030,117866,30231,9588,20643,87635,77579,10056
E06000031,100968,28172,8768,19404,72796,62866,9930
E06000032,98721,31020,10454,20566,67701,59062,8639
E06000033,83259,25753,9518,16235,57506,48451,9055
E06000034,85948,22981,7878,15103,62967,53072,9895
E06000035,132609,36872,12782,24090,95737,79935,15802
E06000036,66397,16572,5918,10654,49825,42029,7796
E06000037,82307,22350,8512,13838,59957,49764,10193
E06000038,88863,22665,8681,13984,66198,57921,8277
E06000039,73700,20972,7492,13480,52728,46355,6373
E06000040,76302,20072,8051,12021,56230,44700,11530
E06000041,89467,23196,9149,14047,66271,55608,10663
E06000042,143378,36586,12397,24189,106792,92935,13857
E06000043,139291,47254,18422,28832,92037,79077,12960
