LTLA,ts0190001,ts0190002,ts0190003,ts0190004,ts0190005
E06000001,91419,83133,181,7834,271
E06000002,142303,126756,755,12548,2244
E06000003,135355,125080,148,9796,331
E06000004,194676,177449,286,16088,853
E06000005,106759,96392,177,9672,518
E06000047,517442,462522,5712,46551,2657
E06000057,317992,291002,468,25539,983
E08000021,297152,240278,9539,42598,4737
E08000022,206989,190192,288,15707,802
E08000023,146322,135692,142,9952,536
E08000024,271555,249207,585,19957,1806
E08000037,194268,177265,425,15672,906
E06000006,127217,117889,150,8678,500
E06000007,209028,190568,428,16686,1346
E06000008,152814,140262,212,11091,1249
E06000009,139630,126403,180,12146,901
E06000049,395124,354252,874,37352,2646
E06000050,353870,319027,1940,30596,2307
E07000026,95311,88032,124,6891,264
E07000027,66775,61220,74,5144,337
E07000028,109029,97954,343,10139,593
E07000029,66477,61154,97,5000,226
E07000030,54332,49710,99,4297,226
E07000031,103743,94110,261,8704,668
E07000117,93594,85154,111,7438,891
E07000118,116625,106963,181,9121,360
E07000119,80795,72522,141,7404,728
E07000120,81342,74961,108,5986,287
E07000121,141698,120294,3417,16105,1882
E07000122,94652,86759,130,6781,982
E07000123,146079,126872,1573,15246,2388
E07000124,61097,54987,146,5650,314
E07000125,70183,64697,103,5202,181
E07000126,110010,101308,182,8232,288
E07000127,116502,102626,1459,11861,556
E07000128,111014,100183,189,10231,411
E08000001,292420,269720,498,19935,2267
E08000002,191726,177523,298,12908,997
E08000003,545356,447364,12519,72814,12659
E08000004,239108,222759,277,14576,1496
E08000005,220985,204136,263,15131,1455
E08000006,266379,227662,2561,32266,3890
E08000007,291590,267289,535,22314,1452
E08000008,228544,212108,232,15205,999
E08000009,232669,212379,633,17528,2129
E08000010,325974,300468,360,23839,1307
E08000011,152726,141962,119,10037,608
E08000012,481074,407929,10464,55467,7214
E08000013,181422,167624,231,12945,622
E08000014,276781,255274,411,19702,1394
E08000015,317221,292547,570,22925,1179
E06000010,263926,234760,2152,25002,2012
E06000011,339593,309075,621,28723,1174
E06000012,155432,141536,186,13036,674
E06000013,168118,153715,224,13291,888
E06000014,201133,166270,5847,26453,2563
E07000163,56538,51083,126,5036,293
E07000164,90035,80885,213,8520,417
E07000165,161371,142407,410,17350,1204
E07000166,49343,42979,142,5564,658
E07000167,54290,48979,156,4884,271
E07000168,107849,97629,212,9428,580
E07000169,91045,82737,138,7883,287
E08000016,242061,223187,253,17815,806
E08000017,304821,278593,367,24405,1456
E08000018,263051,243523,270,18458,800
E08000019,550803,477724,9793,56577,6709
E08000032,539790,495209,973,39799,3809
E08000033,204525,187491,320,15936,778
E08000034,428456,391644,1552,32473,2787
E08000035,803137,689265,12684,91596,9592
E08000036,349514,322086,445,25627,1356
E06000015,258433,230959,1865,23436,2173
E06000016,364369,316173,5526,35640,7030
E06000017,40773,36049,201,4239,284
E06000018,320466,254460,13344,46417,6245
E06000061,355810,321142,631,31508,2529
E06000062,421264,374988,1657,40392,4227
E07000032,125112,115187,200,9395,330
E07000033,79458,72636,84,6459,279
E07000034,102618,94291,153,7857,317
E07000035,71062,64594,154,6005,309
E07000036,111922,103179,153,8304,286
E07000037,90150,82590,212,7061,287
