LTLA,ts0190001,ts0190002,ts0190003,ts0190004,ts0190005
E07000038,101091,93191,128,7539,233
E07000039,106113,95900,188,9692,333
E07000129,101895,93855,162,7554,324
E07000130,182307,155352,3472,21576,1907
E07000131,96757,86565,241,9460,491
E07000132,112619,103369,220,8733,297
E07000133,51317,46603,89,4417,208
E07000134,103653,93680,436,9180,357
E07000135,57254,51280,189,5313,472
E07000136,69859,62453,81,6539,786
E07000137,141247,127824,200,12708,515
E07000138,102778,82373,3697,15426,1282
E07000139,117090,105242,280,11029,539
E07000140,94225,84679,131,8934,481
E07000141,142140,128896,338,12273,633
E07000142,94374,85375,169,8491,339
E07000170,125059,115556,143,9027,333
E07000171,116688,106232,164,9937,355
E07000172,109983,98718,921,9462,882
E07000173,116124,106723,267,8769,365
E07000174,109379,99885,134,8744,616
E07000175,121754,109646,234,11390,484
E07000176,118038,104980,1083,11257,718
E06000019,185518,167356,388,16646,1128
E06000020,183556,164089,720,17563,1184
E06000021,255333,231158,1273,21130,1772
E06000051,320950,288903,757,29506,1784
E07000192,99424,91531,119,7569,205
E07000193,122678,111408,191,10337,742
E07000194,105474,96068,200,8883,323
E07000195,122183,109233,1214,11174,562
E07000196,109541,100713,157,8482,189
E07000197,135642,122506,254,12317,565
E07000198,95052,88008,135,6717,192
E07000199,77792,70962,82,6503,245
E07000218,64436,59145,81,5049,161
E07000219,132722,121508,197,10411,606
E07000220,113175,100482,312,11471,910
E07000221,133528,118631,317,13889,691
E07000222,147081,124703,2946,17299,2133
E07000234,98294,90084,233,7642,335
E07000235,78937,71392,244,6898,403
E07000236,86082,79035,120,6543,384
E07000237,102886,90364,920,10657,945
E07000238,131334,119801,265,10720,548
E07000239,100724,92606,161,7765,192
E08000025,1130647,1007977,11559,97469,13642
E08000026,341397,292035,4739,37500,7123
E08000027,320023,297540,420,21006,1057
E08000028,337588,312638,343,21985,2622
E08000029,214166,196307,455,16248,1156
E08000030,280790,260529,322,18539,1400
E08000031,260637,237068,593,20179,2797
E06000031,212972,190028,383,20245,2316
E06000032,222128,199322,446,18604,3756
E06000033,178726,161568,348,15802,1008
E06000034,173713,158909,260,13548,996
E06000055,183062,163567,472,17351,1672
E06000056,290943,262318,638,26095,1892
E07000008,144450,110415,4807,23033,6195
E07000009,86968,78690,194,7455,629
E07000010,101492,92077,120,8857,438
E07000011,179080,160514,376,16926,1264
E07000012,160527,144233,520,14382,1392
E07000066,185321,170213,268,13962,878
E07000067,153823,139393,268,13709,453
E07000068,76249,68905,174,6685,485
E07000069,88786,82097,101,6405,183
E07000070,179718,161260,557,16544,1357
E07000071,190709,165751,1986,21010,1962
E07000072,133470,121777,251,10795,647
E07000073,92137,83476,119,7878,664
E07000074,65648,59564,95,5780,209
E07000075,84867,78219,124,6346,178
E07000076,147033,133062,169,13469,333
E07000077,90508,81835,233,7972,468
E07000095,97890,89918,181,7401,390
E07000096,153295,138732,388,13200,975
E07000098,106635,96587,399,8866,783
E07000099,131798,119595,357,11243,603
E07000102,92794,84831,300,7032,631
E07000103,100976,89925,220,9450,1381
E07000143,140252,126541,188,12684,839
E07000144,130706,119805,175,10342,384
E07000145,98826,89483,99,8625,619
E07000146,152961,138317,203,13309,1132
E07000147,102352,92794,158,9028,372
E07000148,142582,115730,3621,21162,2069
E07000149,140688,127198,315,12529,646
E07000200,91628,82819,185,8308,316
E07000202,138113,124491,275,12269,1078
E07000203,101833,91729,208,9348,548
E07000240,146674,131177,528,13535,1434
E07000241,118599,101621,1753,12904,2321
E07000242,148598,133114,467,14050,967
E07000243,88437,80556,203,6901,777
E07000244,244185,222085,449,20825,826
E07000245,178102,156811,293,16888,4110
E09000001,8539,6237,190,1564,548
E09000002,215713,197250,296,15985,2182
E09000003,384733,340971,1433,36413,5916
E09000004,243657,223929,638,17709,1381
E09000005,335841,292263,1158,36744,5676
E09000006,326334,296805,815,26456,2258
E09000007,208100,166134,3580,30190,8196
E09000008,385634,348079,977,33085,3493
E09000009,362969,318949,1318,36599,6103
E09000010,326263,297540,673,25041,3009
E09000011,285296,251011,985,29314,3986
E09000012,255752,216060,1153,34476,4063
E09000013,181274,144727,2233,29333,4981
E09000014,261207,225526,877,30884,3920
E09000015,258169,231463,822,22218,3666
E09000016,258955,236791,414,20281,1469
E09000017,302098,268925,1777,27072,4324
E09000018,284652,251493,696,27232,5231
E09000019,214131,171898,2244,34129,5860
E09000020,142105,116001,1704,18751,5649
E09000021,166261,145077,1492,16861,2831
E09000022,314504,257601,2284,48866,5753
E09000023,296711,261095,1313,30875,3428
E09000024,212447,187420,683,21384,2960
E09000025,346246,300631,1070,36924,7621
E09000026,306198,276586,648,25016,3948
E09000027,193255,169369,921,19686,3279
E09000028,304407,253020,2916,41633,6838
E09000029,207336,188785,413,16466,1672
E09000030,306333,242588,3125,50084,10536
E09000031,274510,244815,497,26569,2629
E09000032,323482,259074,2317,55848,6243
E09000033,202375,159868,2168,30456,9883
E06000035,276499,249090,739,24959,1711
E06000036,123256,109157,339,12693,1067
E06000037,159939,144162,518,14175,1084
E06000038,172244,143154,2913,22263,3914
E06000039,156334,141153,308,12691,2182
E06000040,152037,135155,597,14382,1903
E06000041,175782,155971,872,17081,1858
E06000042,283804,251495,704,28441,3164
E06000043,274902,222496,5784,42456,4166
E06000044,205770,172537,3639,26792,2802
E06000045,246207,205697,4628,30917,4965
E06000046,139468,125058,234,13499,677
E06000060,547432,491751,1771,50074,3836
E07000061,100798,89697,360,9947,794
E07000062,90095,81213,123,8196,563
E07000063,99106,89710,175,8756,465
E07000064,92433,83474,181,8340,438
E07000065,158853,143026,346,14792,689
E07000084,183165,163495,443,17616,1611
E07000085,124659,112021,323,11597,718
E07000086,135059,121898,251,12303,607
E07000087,113615,103551,221,9347,496
E07000088,81130,73403,93,7295,339
E07000089,98480,88143,238,9421,678
E07000090,123079,112860,158,9666,395
E07000091,174491,158810,287,14658,736
E07000092,98491,87478,218,9872,923
E07000093,129276,115949,306,12284,737
E07000094,126359,107218,1634,16181,1326
E07000105,131339,117597,265,12515,962
E07000106,156192,128984,4209,20843,2156
E07000107,115154,104492,185,9699,778
E07000108,115350,104385,201,10213,551
E07000109,105631,97035,166,7896,534
E07000110,173855,154597,354,17716,1188
E07000111,119271,108586,317,9604,764
E07000112,108809,98606,197,9446,560
E07000113,150090,136340,171,13101,478
E07000114,139188,125590,195,12693,710
E07000115,130847,119508,264,10490,585
E07000116,114180,100877,347,11976,980
E07000177,159242,140866,397,16450,1529
E07000178,160656,119351,6696,28019,6590
E07000179,147607,130899,541,15088,1079
E07000180,137517,120360,586,15180,1391
E07000181,113160,99582,320,12359,899
E07000207,137227,121875,436,13211,1705
E07000208,80071,72489,291,6517,774
E07000209,142407,116855,2914,19855,2783
E07000210,86657,78505,290,7304,558
E07000211,149165,133758,421,13764,1222
E07000212,87194,73125,2042,10740,1287
E07000213,101813,91931,196,8888,798
E07000214,89621,80540,253,8052,776
E07000215,86960,79205,259,6993,503
E07000216,127128,112092,720,13182,1134
E07000217,102765,91294,311,9777,1383
E07000223,64005,58791,93,4888,233
E07000224,163542,147241,352,15148,801
E07000225,123136,107642,805,13826,863
E07000226,116993,104672,202,11044,1075
E07000227,145456,130226,386,13823,1021
E07000228,151060,135506,401,14043,1110
E07000229,110313,99053,217,10433,610
E06000022,191640,157779,4918,26137,2806
E06000023,467299,384986,10860,64789,6664
E06000024,214786,194056,508,19133,1089
E06000025,287359,256214,1642,27407,2096
E06000026,262245,228569,3233,28731,1712
E06000027,138241,125210,271,12087,673
E06000030,230905,207187,411,21058,2249
E06000052,565579,504540,3048,55339,2652
E06000053,2035,1844,3,175,13
E06000054,505776,451885,1357,49204,3330
E06000058,396518,341555,3334,47821,3808
E06000059,376915,339034,830,35223,1828
E07000040,149636,133747,362,14785,742
E07000041,129546,101262,5648,20068,2568
E07000042,82099,73913,168,7668,350
E07000043,97822,87346,191,9740,545
E07000044,88046,78377,192,8945,532
E07000045,133761,120897,241,12136,487
E07000046,67597,60863,113,6320,301
E07000047,56679,51150,145,5097,287
E07000078,117809,101105,1225,14236,1243
E07000079,90085,79614,384,9406,681
E07000080,86280,78416,204,7314,346
E07000081,131012,117446,764,12130,672
E07000082,120109,109126,288,10207,488
E07000083,93912,84936,191,8327,458
E07000187,115095,103717,367,10249,762
E07000188,124256,112143,195,11340,578
E07000189,171094,153590,366,16172,966
E07000246,156044,140164,374,14197,1309
W06000001,68308,62787,166,5210,145
W06000002,116409,103294,1675,10723,717
W06000003,113809,104581,243,8592,393
W06000004,94955,86655,172,7817,311
W06000005,153539,141881,222,10955,481
W06000006,133861,123205,278,9851,527
W06000008,70971,60417,1760,8278,516
W06000009,122358,111751,248,9851,508
W06000010,186219,171250,348,14021,600
W06000011,236479,208797,3622,22292,1768
W06000012,141023,130003,361,10189,470
W06000013,144142,132884,205,10582,471
W06000014,130711,118965,299,10796,651
W06000015,358757,298765,8319,46492,5181
W06000016,235347,217430,782,16211,924
W06000018,174345,163176,205,10729,235
W06000019,66241,61611,76,4449,105
W06000020,91361,84981,107,6115,158
W06000021,92222,84351,226,7248,397
W06000022,157753,144997,345,11350,1061
W06000023,132120,120584,285,10779,472
W06000024,58232,54365,51,3573,243
