LTLA,ts0400001,ts0400002,ts0400003,ts0400004
E06000001,40930,24700,12660,3570
E06000002,60262,37850,17717,4695
E06000003,61638,38039,18560,5039
E06000004,83757,54323,22977,6457
E06000005,48918,32403,13283,3232
E06000006,55951,34172,16725,5054
E06000007,90538,62081,22706,5751
E06000008,58767,37063,16911,4793
E06000009,64789,38044,20908,5837
E06000010,115472,74379,32763,8330
E06000011,152066,103392,38887,9787
E06000012,69826,45046,19631,5149
E06000013,73173,47873,19698,5602
E06000014,85459,59441,21101,4917
E06000015,105650,68691,28687,8272
E06000016,127388,85516,32364,9508
E06000017,16694,11898,3911,885
E06000018,124743,79960,35464,9319
E06000019,82827,55695,21806,5326
E06000020,76512,48859,21113,6540
E06000021,110400,68681,32444,9275
E06000022,79250,54991,19632,4627
E06000023,191637,129906,48960,12771
E06000024,94648,63326,25108,6214
E06000025,118101,81794,28810,7497
E06000026,114559,71436,33487,9636
E06000027,62994,38229,19193,5572
E06000030,95862,66887,23016,5959
E06000031,84533,57836,20888,5809
E06000032,78939,55383,18393,5163
E06000033,78344,53041,20096,5207
E06000034,66377,46785,15148,4444
E06000035,111458,74749,28248,8461
E06000036,50248,37077,10576,2595
E06000037,66658,48204,14918,3536
E06000038,67683,49352,14645,3686
E06000039,52423,38615,10810,2998
E06000040,60932,46176,12162,2594
E06000041,69163,52028,13859,3276
E06000042,113102,80128,26204,6770
E06000043,121402,81781,31861,7760
E06000044,86155,57920,22533,5702
E06000045,102291,68838,26565,6888
E06000046,64775,40110,19417,5248
E06000047,234761,143487,71333,19941
E06000049,174856,122084,42570,10202
E06000050,155156,104375,40016,10765
E06000051,139579,93595,36594,9390
E06000052,250535,158445,71789,20301
E06000053,942,706,194,42
E06000054,215081,148062,53468,13551
E06000055,74950,52872,17743,4335
E06000056,120755,86186,27479,7090
E06000057,146922,94983,41216,10723
E06000058,173842,117229,45433,11180
E06000059,169261,111458,45815,11988
E06000060,220328,162025,47271,11032
E06000061,148918,101104,37387,10427
E06000062,172640,122699,39936,10005
E07000008,52472,37666,11893,2913
E07000009,37203,26086,8852,2265
E07000010,44083,28361,12155,3567
E07000011,76880,53965,18294,4621
E07000012,66996,48056,15367,3573
E07000026,43973,28912,12101,2960
E07000027,31259,19744,9202,2313
E07000028,50663,34107,13460,3096
E07000029,30789,19743,8737,2309
E07000030,24611,17152,6061,1398
E07000031,47657,33126,11888,2643
E07000032,56277,36904,15212,4161
E07000033,35262,21419,10463,3380
E07000034,48058,29625,14512,3921
E07000035,32283,21973,8276,2034
E07000036,50334,33151,13422,3761
E07000037,40772,27483,10764,2525
E07000038,45987,29127,13157,3703
E07000039,45238,31182,10946,3110
E07000040,66788,44159,18035,4594
E07000041,52553,35135,13892,3526
E07000042,35633,23726,9392,2515
E07000043,43197,28353,11768,3076
E07000044,39335,26330,10304,2701
E07000045,59838,38869,16577,4392
E07000046,30455,19532,8444,2479
E07000047,24818,16015,6864,1939
E07000061,45610,29083,13071,3456
E07000062,40453,25145,11949,3359
E07000063,43688,28353,12091,3244
E07000064,42102,26952,11965,3185
E07000065,68266,46948,17038,4280
E07000066,76362,52152,18778,5432
E07000067,64986,44749,16000,4237
E07000068,32342,23818,6912,1612
E07000069,37389,25040,9653,2696
E07000070,75403,54773,16702,3928
E07000071,79710,54891,19592,5227
E07000072,54557,39581,12155,2821
E07000073,37857,25851,9575,2431
E07000074,27900,19009,7029,1862
E07000075,35559,24657,8696,2206
E07000076,67451,40650,20617,6184
E07000077,36959,27207,7953,1799
E07000078,52899,38101,12291,2507
E07000079,40597,29376,9233,1988
E07000080,37217,24405,10077,2735
E07000081,55407,37646,14199,3562
E07000082,52378,36331,12983,3064
E07000083,40930,28837,9781,2312
E07000084,76645,55007,17282,4356
E07000085,52718,37767,11976,2975
E07000086,56924,39976,13480,3468
E07000087,48639,33711,11984,2944
E07000088,35922,23127,10003,2792
E07000089,39964,29651,8467,1846
E07000090,53589,34630,14788,4171
E07000091,77566,52695,19803,5068
E07000092,39304,28088,9039,2177
E07000093,54710,38884,12767,3059
E07000094,51715,36976,11961,2778
E07000095,39850,28335,9288,2227
E07000096,63412,45191,14585,3636
E07000098,42682,30989,9448,2245
E07000099,56732,40063,13501,3168
E07000102,36858,26742,8197,1919
E07000103,39628,29541,8124,1963
E07000105,53581,36408,13252,3921
E07000106,63792,41445,17371,4976
E07000107,45696,33170,9842,2684
E07000108,50548,32040,14315,4193
E07000109,41724,28367,10279,3078
E07000110,71208,49892,16837,4479
E07000111,49013,34990,11189,2834
E07000112,48338,30568,13685,4085
E07000113,60495,39121,16029,5345
E07000114,62200,38136,18516,5548
E07000115,53573,37778,12494,3301
E07000116,48223,34772,10974,2477
E07000117,39872,24935,11729,3208
E07000118,50132,33831,12882,3419
E07000119,37606,24863,10233,2510
E07000120,34790,21690,10268,2832
