LTLA,ts0400001,ts0400002,ts0400003,ts0400004
E07000121,59980,38412,17110,4458
E07000122,38067,24968,10318,2781
E07000123,59607,39563,16053,3991
E07000124,26747,19409,6000,1338
E07000125,30561,19784,8585,2192
E07000126,48583,32685,12646,3252
E07000127,48533,31647,13131,3755
E07000128,50767,31637,14984,4146
E07000129,42575,29732,10178,2665
E07000130,73785,51042,17958,4785
E07000131,40412,28900,9348,2164
E07000132,49446,33804,12420,3222
E07000133,22599,15674,5567,1358
E07000134,44973,30593,11332,3048
E07000135,22617,15200,5830,1587
E07000136,29404,19843,7413,2148
E07000137,64754,38510,19553,6691
E07000138,42506,27252,11937,3317
E07000139,50989,34237,12989,3763
E07000140,40703,27199,10368,3136
E07000141,62850,42986,15718,4146
E07000142,42347,27583,11482,3282
E07000143,60359,39630,16062,4667
E07000144,57763,38903,15010,3850
E07000145,44544,27592,12956,3996
E07000146,67464,43776,18134,5554
E07000147,48374,30664,14039,3671
E07000148,64459,41642,18370,4447
E07000149,61381,41885,15480,4016
E07000163,26069,18312,6357,1400
E07000164,40802,28200,10237,2365
E07000165,71169,51097,16468,3604
E07000166,20944,14537,5223,1184
E07000167,24714,17138,6111,1465
E07000168,51123,32547,14827,3749
E07000169,39560,27718,9454,2388
E07000170,54510,33516,16040,4954
E07000171,51458,33402,14057,3999
E07000172,48361,32225,12704,3432
E07000173,51553,34323,13609,3621
E07000174,48030,29573,14053,4404
E07000175,53331,34899,14384,4048
E07000176,49885,35320,11757,2808
E07000177,65894,47573,14859,3462
E07000178,55240,39213,12746,3281
E07000179,61500,45074,13368,3058
E07000180,57498,41508,12944,3046
E07000181,47982,34533,10925,2524
E07000187,50294,34096,13086,3112
E07000188,53904,35538,14430,3936
E07000189,75936,51141,19791,5004
E07000192,43457,27764,12093,3600
E07000193,51293,35386,12567,3340
E07000194,45630,30963,11597,3070
E07000195,53423,33892,15212,4319
E07000196,46121,30982,11955,3184
E07000197,60048,40871,15237,3940
E07000198,42356,27855,11365,3136
E07000199,32895,21677,8630,2588
E07000200,40200,27636,9997,2567
E07000202,59507,39983,15567,3957
E07000203,44343,30651,10922,2770
E07000207,55590,42641,10718,2231
E07000208,31324,23150,6645,1529
E07000209,55759,41114,11797,2848
E07000210,37139,26923,8370,1846
E07000211,59850,44254,12620,2976
E07000212,34838,25247,7683,1908
E07000213,41805,30397,9217,2191
E07000214,36008,26696,7549,1763
E07000215,35623,25766,7968,1889
E07000216,52448,38444,11465,2539
E07000217,41435,30498,8783,2154
E07000218,27580,18384,7199,1997
E07000219,56587,36812,15280,4495
E07000220,47013,33003,11139,2871
E07000221,59464,42422,13785,3257
E07000222,62619,45248,14061,3310
E07000223,27678,17969,7618,2091
E07000224,72661,48137,19507,5017
E07000225,54118,37912,13215,2991
E07000226,45502,31615,11017,2870
E07000227,62370,45136,14182,3052
E07000228,63349,45972,14250,3127
E07000229,49538,33431,12934,3173
E07000234,41265,28971,9808,2486
E07000235,34892,23341,9222,2329
E07000236,36378,24407,9410,2561
E07000237,44722,30487,11495,2740
E07000238,57356,39509,14219,3628
E07000239,45320,29505,12462,3353
E07000240,58990,43951,12309,2730
E07000241,46209,32661,10812,2736
E07000242,62021,45896,13210,2915
E07000243,36511,24695,9276,2540
E07000244,110747,71793,30751,8203
E07000245,78746,56010,18282,4454
E07000246,69986,46787,18621,4578
E08000001,118790,76920,33153,8717
E08000002,80695,53128,21740,5827
E08000003,214732,142392,56704,15636
E08000004,93140,59397,26111,7632
E08000005,90223,57652,25443,7128
E08000006,115116,77019,30228,7869
E08000007,126648,84821,33571,8256
E08000008,99524,63460,28400,7664
E08000009,96268,66778,23671,5819
E08000010,143105,92118,39748,11239
E08000011,66073,39345,20471,6257
E08000012,207491,127974,62127,17390
E08000013,81011,49647,24160,7204
E08000014,123072,76903,36188,9981
E08000015,143250,87561,43349,12340
E08000016,108053,66736,31709,9608
E08000017,133480,86105,36880,10495
E08000018,113925,70988,33024,9913
E08000019,231950,148972,65182,17796
E08000021,122797,79871,34305,8621
E08000022,96232,63131,26605,6496
E08000023,68287,42023,20898,5366
E08000024,122177,72900,38128,11149
E08000025,423456,277497,112069,33890
E08000026,134140,90541,34421,9178
E08000027,137069,88510,37913,10646
E08000028,130246,83758,35689,10799
E08000029,89483,60725,22602,6156
E08000030,112226,71052,31290,9884
E08000031,105139,68425,28738,7976
E08000032,209867,138142,56308,15417
E08000033,90476,60278,24619,5579
E08000034,177989,119160,47020,11809
E08000035,341466,235565,85835,20066
E08000036,153074,98578,42260,12236
E08000037,88999,55866,26291,6842
E09000001,4912,4120,718,74
E09000002,73902,51858,17050,4994
E09000003,148917,109680,32030,7207
E09000004,95300,67388,21962,5950
E09000005,118612,86526,25821,6265
E09000006,135828,99395,29617,6816
E09000007,92760,67119,21501,4140
E09000008,152945,110761,33725,8459
E09000009,133659,98799,28101,6759
E09000010,120923,86127,27788,7008
E09000011,114052,82104,25517,6431
E09000012,106081,76291,24587,5203
E09000013,81244,62445,15949,2850
E09000014,105092,76016,23905,5171
E09000015,89643,65791,18748,5104
E09000016,101278,71536,23561,6181
E09000017,109228,79045,23792,6391
E09000018,102961,75443,21860,5658
E09000019,96496,68653,23054,4789
E09000020,66884,51999,12727,2158
E09000021,65626,48692,13727,3207
E09000022,134688,101202,27933,5553
E09000023,122391,88311,27697,6383
E09000024,81727,61612,16102,4013
E09000025,115506,83696,24354,7456
E09000026,103713,75465,22157,6091
E09000027,80705,61802,15814,3089
E09000028,130818,97043,27927,5848
E09000029,82348,59542,18070,4736
E09000030,120541,89480,24750,6311
E09000031,102900,74238,22819,5843
E09000032,137393,107866,24564,4963
E09000033,94815,72306,18826,3683
W06000001,30822,19664,8821,2337
W06000002,51105,33914,13782,3409
W06000003,52235,32583,15433,4219
W06000004,42387,25775,12765,3847
W06000005,66911,43932,18063,4916
W06000006,57912,37380,15987,4545
W06000008,30893,19190,9155,2548
W06000009,55488,34697,16259,4532
W06000010,81756,49239,24845,7672
W06000011,104961,64240,31858,8863
W06000012,62375,35495,20401,6479
W06000013,62360,37806,18732,5822
W06000014,57450,37183,15964,4303
W06000015,147333,96264,40516,10553
W06000016,103338,60451,32784,10103
W06000018,76257,44494,23968,7795
W06000019,30340,17356,10064,2920
W06000020,40241,23700,12672,3869
W06000021,40925,26950,11189,2786
W06000022,66052,42062,18627,5363
W06000023,60182,39063,16782,4337
W06000024,25785,15066,8216,2503
