LTLA,ts0350001,ts0350002,ts0350003
W06000001,67086,33119,33967
W06000002,114309,45664,68645
W06000003,111806,84452,27354
W06000004,93062,73201,19861
W06000005,150562,133346,17216
W06000006,131085,115181,15904
W06000008,69911,40342,29569
W06000009,120208,100898,19310
W06000010,182719,116974,65745
W06000011,231889,205088,26801
W06000012,138319,119737,18582
W06000013,141294,126790,14504
W06000014,128080,113082,14998
W06000015,351240,306330,44910
W06000016,230318,200301,30017
W06000018,170686,152541,18145
W06000019,64796,60742,4054
W06000020,89380,82051,7329
W06000021,90687,82771,7916
W06000022,153878,142368,11510
W06000023,129902,109287,20615
W06000024,56958,51496,5462
