LTLA,ts0340001,ts0340002,ts0340003
W06000001,67086,35607,31479
W06000002,114307,48668,65639
W06000003,111805,87795,24010
W06000004,93062,75621,17441
W06000005,150562,136247,14315
W06000006,131085,117717,13368
W06000008,69911,42774,27137
W06000009,120208,103547,16661
W06000010,182719,123834,58885
W06000011,231889,210022,21867
W06000012,138320,123082,15238
W06000013,141294,129909,11385
W06000014,128080,115278,12802
W06000015,351240,312674,38566
W06000016,230318,205072,25246
W06000018,170687,154941,15746
W06000019,64796,61282,3514
W06000020,89380,82945,6435
W06000021,90687,83871,6816
W06000022,153877,143939,9938
W06000023,129902,112379,17523
W06000024,56957,52504,4453
