LTLA,ts0560001,ts0560002,ts0560003,ts0560004
E07000188,125343,120297,4120,926
E07000189,172671,164519,6898,1254
E07000192,100519,97303,2830,386
E07000193,124019,119418,3589,1012
E07000194,106436,101971,3590,875
E07000195,123299,114766,7660,873
E07000196,110470,106382,3468,620
E07000197,136867,130928,4984,955
E07000198,95847,92371,2902,574
E07000199,78647,76215,2064,368
E07000200,92341,88331,3256,754
E07000202,139642,134103,4457,1082
E07000203,102699,98511,3470,718
E07000207,138755,130758,4827,3170
E07000208,80937,76898,2789,1250
E07000209,143650,127096,12951,3603
E07000210,87386,83221,2937,1228
E07000211,150846,143985,4843,2018
E07000212,88079,78729,7064,2286
E07000213,102956,99097,2675,1184
E07000214,90453,86193,3059,1201
E07000215,87874,83217,3444,1213
E07000216,128229,119022,6864,2343
E07000217,103943,99202,2932,1809
E07000218,65035,62729,1942,364
E07000219,134197,129622,3819,756
E07000220,114363,109230,4006,1127
E07000221,134725,128142,5070,1513
E07000222,148451,134867,10221,3363
E07000223,64544,62214,1820,510
E07000224,164889,158286,4908,1695
E07000225,124068,114740,7357,1971
E07000226,118494,114302,2840,1352
E07000227,146778,139395,5286,2097
E07000228,152566,145403,5166,1997
E07000229,111338,107060,3268,1010
E07000234,99183,94746,3577,860
E07000235,79486,75551,3077,858
E07000236,87035,84252,2338,445
E07000237,103872,97390,5541,941
E07000238,132494,127135,4236,1123
E07000239,101607,97790,3276,541
E07000240,148167,140925,5123,2119
E07000241,119836,109748,7731,2357
E07000242,150158,143099,5104,1955
E07000243,89495,86308,2444,743
E07000244,246058,235484,8686,1888
E07000245,179950,172511,5782,1657
E07000246,157444,149836,6113,1495
E08000001,295963,285759,8032,2172
E08000002,193851,186509,5780,1562
E08000003,551938,499818,40339,11781
E08000004,242088,235335,5345,1408
E08000005,223773,216940,5358,1475
E08000006,269922,253994,12924,3004
E08000007,294773,282780,9591,2402
E08000008,231070,223433,6338,1299
E08000009,235052,224661,7773,2618
E08000010,329330,317532,10051,1747
E08000011,154519,150806,3117,596
E08000012,486088,442326,37310,6452
E08000013,183247,177136,5199,912
E08000014,279233,269821,7243,2169
E08000015,320198,309040,9112,2046
E08000016,244572,235766,7569,1237
E08000017,308106,297702,8581,1823
E08000018,265808,257125,7520,1163
E08000019,556519,511326,38383,6810
E08000021,300125,263293,31820,5012
E08000022,208967,201130,6499,1338
E08000023,147777,142786,4169,822
E08000024,274172,264701,7867,1604
E08000025,1144921,1083243,50011,11667
E08000026,345324,318070,20940,6314
E08000027,323488,313681,8527,1280
E08000028,341832,333691,6601,1540
E08000029,216237,207938,6393,1906
E08000030,284124,276595,6302,1227
E08000031,263725,255127,6940,1658
E08000032,546411,528302,14467,3642
E08000033,206632,198337,6843,1452
E08000034,433216,414678,15100,3438
E08000035,811953,748805,53388,9760
E08000036,353370,340513,10943,1914
E08000037,196151,188916,6038,1197
E09000001,8583,6942,875,766
E09000002,218869,212226,3736,2907
E09000003,389345,369133,10073,10139
E09000004,246472,238084,6025,2363
E09000005,339816,322134,9182,8500
E09000006,329991,316709,8962,4320
E09000007,210138,182198,14463,13477
E09000008,390719,376507,9053,5159
E09000009,367115,347907,10293,8915
E09000010,329982,318646,6423,4913
E09000011,289068,274561,9112,5395
