LTLA,ts0250001,ts0250002,ts0250003,ts0250004,ts0250005
E07000164,40803,40069,341,108,285
E07000165,71171,68444,1122,348,1257
E07000166,20944,20449,192,83,220
E07000167,24714,24092,237,57,328
E07000168,51123,49468,510,180,965
E07000169,39559,38255,432,156,716
E07000170,54508,52519,637,300,1052
E07000171,51457,49136,577,304,1440
E07000172,48361,45501,1189,336,1335
E07000173,51551,49447,935,281,888
E07000174,48030,44234,825,476,2495
E07000175,53331,50940,712,326,1353
E07000176,49883,47827,1086,285,685
E07000177,65894,58698,2649,910,3637
E07000178,55238,42337,5881,1288,5732
E07000179,61497,57795,1745,484,1473
E07000180,57498,53327,1859,576,1736
E07000181,47981,45703,1074,244,960
E07000187,50294,48555,807,229,703
E07000188,53904,51069,870,397,1568
E07000189,75936,72408,1165,423,1940
E07000192,43457,42523,403,105,426
E07000193,51293,45513,1819,749,3212
E07000194,45630,44507,520,128,475
E07000195,53424,51260,787,265,1112
E07000196,46122,45433,408,57,224
E07000197,60047,57642,843,367,1195
E07000198,42355,41841,262,56,196
E07000199,32895,31334,492,165,904
E07000200,40201,39274,507,98,322
E07000202,59507,52202,1977,1067,4261
E07000203,44343,43483,412,100,348
E07000207,55590,50326,2578,684,2002
E07000208,31321,27686,1751,551,1333
E07000209,55760,50352,2511,591,2306
E07000210,37139,35297,987,198,657
E07000211,59849,54906,2271,710,1962
E07000212,34838,31293,1666,403,1476
E07000213,41805,36697,2045,749,2314
E07000214,36006,33051,1426,396,1133
E07000215,35624,34133,860,166,465
E07000216,52448,49916,1350,252,930
E07000217,41437,35599,2615,751,2472
E07000218,27580,26900,276,67,337
E07000219,56586,52097,1469,641,2379
E07000220,47013,41152,1731,799,3331
E07000221,59464,57040,1046,280,1098
E07000222,62619,56495,2476,620,3028
E07000223,27678,26542,628,142,366
E07000224,72661,68124,1456,668,2413
E07000225,54119,51970,1055,256,838
E07000226,45502,37053,3353,1348,3748
E07000227,62370,59638,1394,305,1033
E07000228,63349,59907,1735,404,1303
E07000229,49538,46218,1410,355,1555
E07000234,41265,40452,451,96,266
E07000235,34892,34112,426,88,266
E07000236,36378,33249,1069,372,1688
E07000237,44722,40775,1419,507,2021
E07000238,57356,54459,849,442,1606
E07000239,45320,43997,538,147,638
E07000240,58990,53644,2791,662,1893
