LTLA,ts0290001,ts0290002,ts0290003,ts0290004,ts0290005,ts0290006,ts0290007
E06000001,89420,87544,1876,633,658,475,110
E06000002,138817,128306,10511,3724,4111,2281,395
E06000003,132655,131197,1458,536,513,330,79
E06000004,190452,184786,5666,2451,1883,1099,233
E06000005,104602,100200,4402,1807,1690,785,120
E06000006,124434,121114,3320,1271,1282,617,150
E06000007,204703,193572,11131,4783,4339,1762,247
E06000008,148716,130160,18556,5258,7133,5049,1116
E06000009,136703,130665,6038,2421,2479,985,153
E06000010,257576,231761,25815,8630,9652,6292,1241
E06000011,333816,326484,7332,3155,2581,1353,243
E06000012,152057,146176,5881,1962,2501,1287,131
E06000013,164787,154264,10523,3354,4419,2396,354
E06000014,197734,187680,10054,5176,3620,1147,111
E06000015,252288,219616,32672,12624,11811,6781,1456
E06000016,355572,248771,106801,36216,38545,24541,7499
E06000017,40158,39386,772,460,212,90,10
E06000018,313270,268420,44850,18434,16945,8092,1379
E06000019,182163,173475,8688,3345,3514,1551,278
E06000020,179310,167409,11901,4729,4723,2097,352
E06000021,248992,227019,21973,8124,9009,4166,674
E06000022,188178,178953,9225,5498,2793,783,151
E06000023,456938,410701,46237,22748,16342,6195,952
E06000024,210519,202255,8264,3948,3099,1035,182
E06000025,280905,265801,15104,7835,5161,1829,279
E06000026,256934,245374,11560,5556,4188,1569,247
E06000027,135817,131835,3982,1948,1461,489,84
E06000030,225532,202988,22544,10415,8117,3322,690
E06000031,207414,166028,41386,14957,17027,8029,1373
E06000032,215750,165995,49755,17556,20225,10203,1771
E06000033,174698,164381,10317,5031,3640,1419,227
E06000034,168818,149725,19093,8087,7862,2700,444
E06000035,269651,252098,17553,8060,6392,2704,397
E06000036,120401,111127,9274,5053,3091,924,206
E06000037,156687,149182,7505,4191,2378,793,143
E06000038,168171,136436,31735,15464,11135,4167,969
E06000039,151654,110212,41442,17754,15836,6733,1119
E06000040,148868,135982,12886,7778,3619,1303,186
E06000041,171953,158226,13727,8715,3572,1194,246
E06000042,276869,241997,34872,17378,12745,4158,591
E06000043,270191,245614,24577,13957,7502,2732,386
E06000044,201275,182731,18544,8806,6639,2694,405
E06000045,240647,203603,37044,16807,14078,5398,761
E06000046,137289,134738,2551,1388,787,306,70
E06000047,507667,498104,9563,4760,3296,1243,264
E06000049,387330,370917,16413,7066,6143,2748,456
E06000050,346930,335329,11601,5802,3847,1664,288
E06000051,315321,307064,8257,3582,2938,1425,312
E06000052,555571,545343,10228,5384,3256,1327,261
E06000053,1986,1940,46,27,14,4,1
E06000054,495550,478350,17200,8454,6265,2133,348
E06000055,178689,156968,21721,8565,8347,4156,653
E06000056,283716,269941,13775,6930,5066,1503,276
E06000057,312457,308943,3514,1620,1134,604,156
E06000058,389187,356973,32214,16402,11476,3777,559
E06000059,371010,364215,6795,3553,2374,740,128
E06000060,535315,496435,38880,19722,13084,5168,906
E06000061,347675,314820,32855,12735,13957,5391,772
E06000062,411716,366766,44950,17494,18528,7783,1145
E07000008,141884,113476,28408,18120,7777,2177,334
E07000009,85172,80970,4202,2025,1449,643,85
E07000010,99428,90632,8796,2635,3681,2146,334
E07000011,175176,165858,9318,4352,3434,1330,202
E07000012,157074,146396,10678,6928,2796,801,153
E07000026,93657,92585,1072,525,372,136,39
E07000027,65365,64323,1042,465,354,182,41
E07000028,106859,103048,3811,1561,1448,702,100
E07000029,65312,64652,660,346,206,87,21
E07000030,53453,52197,1256,508,519,183,46
E07000031,102195,99599,2596,1269,982,316,29
E07000032,122723,120874,1849,819,686,282,62
E07000033,77788,74883,2905,842,1177,764,122
E07000034,100602,98352,2250,1020,762,394,74
E07000035,70028,69373,655,343,212,85,15
E07000036,109744,107146,2598,1206,989,346,57
E07000037,88455,87308,1147,631,324,177,15
E07000038,99235,98124,1111,563,375,130,43
E07000039,103770,100580,3190,1711,1010,374,95
E07000040,147072,144297,2775,1495,888,305,87
E07000041,127221,117312,9909,5304,3389,1047,169
E07000042,80492,78357,2135,876,791,405,63
E07000043,96061,94235,1826,911,640,234,41
E07000044,86651,85427,1224,768,340,94,22
E07000045,131356,129550,1806,979,584,187,56
