LTLA,ts0290001,ts0290002,ts0290003,ts0290004,ts0290005,ts0290006,ts0290007
E07000046,66489,65812,677,327,226,103,21
E07000047,55880,55119,761,383,263,100,15
E07000061,98947,91681,7266,3454,2658,977,177
E07000062,88123,83505,4618,2183,1684,649,102
E07000063,97332,94527,2805,1648,811,290,56
E07000064,90941,89169,1772,979,565,183,45
E07000065,156024,152877,3147,1839,953,302,53
E07000066,180335,171066,9269,4721,3224,1138,186
E07000067,150418,145977,4441,2177,1594,575,95
E07000068,74509,71495,3014,1839,851,271,53
E07000069,87084,85609,1475,654,533,241,47
E07000070,175884,166881,9003,5107,2756,996,144
E07000071,186405,174049,12356,6873,4013,1241,229
E07000072,130187,122312,7875,3968,2669,1063,175
E07000073,89666,80315,9351,4022,3778,1348,203
E07000074,64465,63685,780,378,251,125,26
E07000075,83201,82281,920,525,261,112,22
E07000076,144426,142078,2348,1052,841,391,64
E07000077,88465,85775,2690,1590,776,272,52
E07000078,115440,107474,7966,3971,2900,956,139
E07000079,88513,86541,1972,1131,666,157,18
E07000080,84678,83112,1566,648,542,301,75
E07000081,128075,117816,10259,4399,3871,1703,286
E07000082,117872,115710,2162,1214,684,219,45
E07000083,91788,88713,3075,1619,1061,345,50
E07000084,178986,166352,12634,6530,4316,1462,326
E07000085,122308,118808,3500,1889,1150,383,78
E07000086,132021,127157,4864,2741,1503,506,114
E07000087,111630,109469,2161,1244,633,229,55
E07000088,79448,77655,1793,846,671,235,41
E07000089,96420,92848,3572,2032,1144,336,60
E07000090,120665,118081,2584,1368,856,311,49
E07000091,171624,168250,3374,1865,1134,312,63
E07000092,95973,81544,14429,5764,5139,2397,1129
E07000093,126500,121171,5329,2731,1850,629,119
E07000094,124011,119744,4267,2461,1306,405,95
E07000095,95526,86883,8643,3396,3451,1584,212
E07000096,149502,140193,9309,4735,3312,1086,176
E07000098,104101,93399,10702,5464,3836,1210,192
E07000099,128770,123183,5587,3183,1619,671,114
E07000102,90746,83721,7025,4120,2152,659,94
E07000103,98355,79640,18715,9425,6650,2298,342
E07000105,128375,119669,8706,3998,3067,1234,407
E07000106,153460,145109,8351,4686,2617,886,162
E07000107,111822,101365,10457,5411,3589,1239,218
E07000108,113126,109088,4038,1897,1424,574,143
E07000109,103037,90755,12282,4949,4697,2230,406
E07000110,169697,156418,13279,5884,5225,1740,430
E07000111,116659,112707,3952,2500,1037,362,53
E07000112,106774,101622,5152,2439,1852,666,195
E07000113,146479,140922,5557,2221,2288,902,146
E07000114,136278,129876,6402,2583,2311,1234,274
E07000115,127817,123859,3958,2244,1172,449,93
E07000116,111758,105831,5927,3329,1883,621,94
E07000117,91239,83069,8170,2208,3231,2245,486
E07000118,114326,111825,2501,1039,920,451,91
E07000119,79461,77708,1753,802,591,309,51
E07000120,79345,74580,4765,1300,1906,1311,248
E07000121,138937,131571,7366,3510,2594,1103,159
E07000122,92245,80846,11399,2377,4728,3471,823
E07000123,142526,124868,17658,7086,6715,3299,558
E07000124,60051,59209,842,413,281,136,12
E07000125,68706,67172,1534,510,546,394,84
E07000126,107879,105660,2219,971,797,375,76
E07000127,114396,110645,3751,1394,1530,706,121
E07000128,109087,107709,1378,581,483,247,67
E07000129,99642,94369,5273,2566,1803,748,156
E07000130,178671,166768,11903,5847,4063,1711,282
E07000131,94858,92200,2658,1497,784,322,55
E07000132,110370,107229,3141,1506,1112,451,72
E07000133,50368,48933,1435,618,584,207,26
E07000134,101485,98440,3045,1357,1147,480,61
E07000135,56159,50500,5659,2970,1745,798,146
E07000136,68430,54259,14171,4188,5472,3779,732
E07000137,139033,136945,2088,836,785,402,65
E07000138,100763,90922,9841,3777,3964,1805,295
E07000139,114968,112662,2306,1070,794,366,76
E07000140,92346,81955,10391,3212,4495,2380,304
E07000141,139560,133578,5982,2506,2442,886,148
E07000142,92640,91185,1455,768,481,185,21
E07000143,137536,128814,8722,2954,3529,1917,322
E07000144,128340,125893,2447,1296,804,288,59
E07000145,96892,90758,6134,2166,2328,1362,278
E07000146,150077,141439,8638,3292,3354,1715,277
E07000147,100929,99615,1314,591,502,176,45
E07000148,139828,125783,14045,6614,5162,2016,253
E07000149,137981,134429,3552,1964,1090,417,81
E07000163,55588,54685,903,452,315,117,19
E07000164,88517,87178,1339,623,469,205,42
E07000165,158543,153513,5030,2424,1870,643,93
E07000166,48425,46839,1586,786,662,115,23
E07000167,53362,52203,1159,460,414,249,36
E07000168,106001,102837,3164,1296,1148,612,108
E07000169,89111,86596,2515,981,1015,460,59
E07000170,122406,118470,3936,1702,1565,571,98
E07000171,114376,109625,4751,1623,1972,1022,134
E07000172,107891,102537,5354,2730,1850,663,111
E07000173,113783,110090,3693,1876,1234,514,69
E07000174,107007,98681,8326,2771,3670,1653,232
E07000175,119427,114535,4892,1969,2000,816,107
E07000176,115716,112214,3502,2209,915,331,47
E07000177,155493,141071,14422,6664,5577,1882,299
E07000178,157724,129117,28607,16087,8914,3129,477
E07000179,144470,137542,6928,3931,2153,721,123
E07000180,134376,126892,7484,4586,2143,648,107
E07000181,110834,106785,4049,2157,1393,431,68
E07000187,112898,109713,3185,1587,1173,356,69
E07000188,121881,116143,5738,2291,2382,891,174
E07000189,167854,160744,7110,3084,2725,1132,169
E07000192,97180,95458,1722,762,650,257,53
E07000193,119949,107976,11973,4275,5278,2094,326
E07000194,103438,101315,2123,1031,752,290,50
E07000195,119929,115774,4155,2133,1442,502,78
E07000196,107646,106341,1305,629,414,213,49
E07000197,132896,128218,4678,2481,1586,522,89
E07000198,93484,92663,821,404,275,113,29
E07000199,76050,72762,3288,1393,1433,405,57
E07000200,90053,88494,1559,807,547,174,31
E07000202,134773,118944,15829,5989,6205,3091,544
E07000203,100065,98582,1483,766,498,197,22
E07000207,133986,124800,9186,5395,2782,896,113
E07000208,78321,71308,7013,3804,2187,856,166
E07000209,139726,128423,11303,6639,3557,986,121
E07000210,85068,81957,3111,1722,1001,331,57
E07000211,145569,136506,9063,5333,2690,894,146
E07000212,85237,78275,6962,4045,2160,651,106
E07000213,99370,89348,10022,5501,3272,1094,155
E07000214,87877,82147,5730,3125,1769,686,150
E07000215,84957,82330,2627,1614,735,234,44
E07000216,124582,120024,4558,2657,1426,392,83
E07000217,100260,89042,11218,5700,3754,1485,279
E07000218,63166,61897,1269,621,486,130,32
E07000219,129600,120055,9545,4113,3690,1460,282
E07000220,110656,97906,12750,5661,5158,1716,215
E07000221,131138,126693,4445,2281,1527,547,90
E07000222,144044,131957,12087,7202,3390,1278,217
E07000223,62724,60751,1973,1009,628,291,45
E07000224,160666,151197,9469,3542,3683,1905,339
E07000225,120974,116962,4012,2005,1352,542,113
E07000226,113913,96070,17843,8135,6784,2512,412
E07000227,142548,137720,4828,2844,1435,469,80
E07000228,147833,141876,5957,3530,1726,608,93
E07000229,108133,102364,5769,2990,1969,698,112
E07000234,96248,94769,1479,902,366,179,32
E07000235,77730,76251,1479,757,481,192,49
E07000236,84112,77713,6399,2370,2866,1017,146
E07000237,100690,92870,7820,3534,3043,1069,174
E07000238,128895,122824,6071,2268,2608,1019,176
E07000239,98863,96531,2332,968,972,339,53
E07000240,143198,134129,9069,5310,2565,1026,168
E07000241,115972,103815,12157,6275,4339,1396,147
E07000242,145282,138584,6698,3888,2077,633,100
E07000243,86201,79174,7027,3732,2370,802,123
E07000244,239998,235021,4977,2425,1752,693,107
E07000245,174131,164367,9764,4520,3765,1295,184
E07000246,153155,146313,6842,3385,2489,865,103
E08000001,285084,253869,31215,9764,12303,7590,1558
E08000002,187212,174961,12251,4485,4590,2631,545
E08000003,531481,434289,97192,40168,35592,17854,3578
E08000004,232730,207898,24832,6692,9247,7246,1647
E08000005,215162,194800,20362,6225,7872,5278,987
E08000006,259369,229864,29505,12290,10804,5532,879
E08000007,285040,272788,12252,5746,4107,2010,389
E08000008,223042,209879,13163,4738,4819,2991,615
E08000009,227383,211103,16280,8555,5017,2349,359
E08000010,319101,307912,11189,4365,4450,2067,307
E08000011,148762,144261,4501,1961,1631,760,149
E08000012,470440,425452,44988,17762,16314,9306,1606
E08000013,177607,172666,4941,1860,1962,948,171
E08000014,271418,261763,9655,3519,3790,2036,310
E08000015,310688,303454,7234,3326,2378,1242,288
E08000016,236705,226571,10134,3626,4439,1793,276
E08000017,297971,276387,21584,7260,9287,4295,742
E08000018,257307,246654,10653,3900,4062,2292,399
E08000019,538810,491478,47332,18228,18070,9322,1712
E08000021,290963,260069,30894,13352,10933,5653,956
E08000022,202571,197592,4979,2397,1487,896,199
E08000023,143311,140074,3237,1298,1114,677,148
E08000024,266238,259351,6887,3125,2357,1152,253
E08000025,1100907,929445,171462,57964,62499,42140,8859
E08000026,333212,274880,58332,25437,21505,9874,1516
E08000027,312870,298942,13928,4968,5211,3097,652
E08000028,328748,274709,54039,17226,20420,13420,2973
E08000029,209530,200119,9411,5435,2617,1151,208
E08000030,273406,246705,26701,9413,9780,6248,1260
E08000031,254174,215986,38188,13082,14738,8677,1691
E08000032,525118,459904,65214,18591,24829,17951,3843
E08000033,200060,190762,9298,3244,3313,2267,474
E08000034,418493,386069,32424,10235,12192,8405,1592
E08000035,784392,713111,71281,30199,26188,12776,2118
E08000036,341492,322562,18930,6706,7658,3885,681
E08000037,190305,182293,8012,3187,2864,1581,380
E09000001,8450,6624,1826,1305,386,116,19
E09000002,208900,158652,50248,19341,20302,9296,1309
E09000003,375102,289057,86045,38886,31657,13502,2000
E09000004,237637,214970,22667,11147,7639,3324,557
E09000005,327771,217371,110400,43039,42680,20618,4063
E09000006,318609,292904,25705,14952,7604,2707,442
E09000007,204034,160655,43379,25430,11891,5198,860
E09000008,375572,315336,60236,27514,21728,9490,1504
E09000009,354356,244855,109501,45696,40933,19432,3440
E09000010,317640,242839,74801,25292,28460,17997,3052
E09000011,277592,227031,50561,24449,16854,7724,1534
E09000012,249197,199667,49530,23015,14674,9972,1869
E09000013,177638,139670,37968,22711,10975,3737,545
E09000014,255132,185666,69466,25880,24854,15762,2970
E09000015,251844,174443,77401,34239,29168,11974,2020
E09000016,252282,227346,24936,11539,9198,3567,632
E09000017,294238,229263,64975,30038,23689,9509,1739
E09000018,277408,198853,78555,36348,28032,11898,2277
E09000019,209638,169831,39807,22659,10992,5286,870
E09000020,139648,106682,32966,20887,8669,2998,412
E09000021,162502,134395,28107,14243,9451,3880,533
E09000022,308298,253317,54981,25584,18080,9452,1865
E09000023,288893,242028,46865,22055,15373,7987,1450
E09000024,206967,162563,44404,20874,15867,6715,948
E09000025,336598,220022,116576,43497,45802,23756,3521
E09000026,297637,218924,78713,32968,30036,13705,2004
E09000027,188888,167514,21374,13209,5731,2087,347
E09000028,297729,244002,53727,27450,16058,8603,1616
E09000029,202254,173379,28875,15289,9709,3363,514
E09000030,298754,218131,80623,37285,24671,15566,3101
E09000031,266638,206863,59775,22586,24055,11456,1678
E09000032,315844,261751,54093,30641,16100,6292,1060
E09000033,198988,146375,52613,30418,14911,6296,988
W06000001,67086,66462,624,305,196,101,22
W06000002,114307,111446,2861,1437,935,413,76
W06000003,111805,109757,2048,1018,662,304,64
W06000004,93062,91451,1611,737,574,241,59
W06000005,150560,145037,5523,1954,2142,1197,230
W06000006,131084,124402,6682,2307,2627,1490,258
W06000008,69910,67848,2062,1208,602,225,27
W06000009,120208,118571,1637,780,500,285,72
W06000010,182720,178287,4433,1695,1425,1041,272
W06000011,231889,220870,11019,4669,3852,2092,406
W06000012,138321,136319,2002,907,633,359,103
W06000013,141292,138807,2485,1100,859,421,105
W06000014,128080,125798,2282,1348,615,248,71
W06000015,351240,320150,31090,13717,10673,5698,1002
W06000016,230317,226867,3450,1642,1136,554,118
W06000018,170688,168653,2035,950,694,316,75
W06000019,64796,63594,1202,429,464,254,55
W06000020,89379,88059,1320,565,515,182,58
W06000021,90691,89231,1460,786,489,159,26
W06000022,153876,143840,10036,3911,3807,1962,356
W06000023,129902,127410,2492,1002,952,439,99
W06000024,56957,54784,2173,778,765,514,116
