LTLA,ts0370001,ts0370002,ts0370003,ts0370004,ts0370005,ts0370006
E07000147,102981,40520,38727,17522,4821,1391
E07000148,143921,63232,52223,20346,6382,1738
E07000149,141948,66743,50340,18701,4877,1287
E07000163,56927,27225,19981,7305,1886,530
E07000164,90690,43195,31946,11542,3121,886
E07000165,162667,82888,54506,18981,4971,1321
E07000166,49777,24862,16864,6058,1550,443
E07000167,54707,25123,19488,7563,1952,581
E07000168,108737,44934,39080,17296,5775,1652
E07000169,91988,44845,31791,11351,3138,863
E07000170,126300,53556,43876,19912,6947,2009
E07000171,117804,51679,40938,17862,5618,1707
E07000172,110940,51331,38407,15476,4462,1264
E07000173,117263,53976,40850,16183,4840,1414
E07000174,110482,47123,38004,17302,6249,1804
E07000175,122956,54954,43072,17806,5553,1571
E07000176,119077,63235,38139,13096,3629,978
E07000177,161018,81759,55298,17966,4699,1296
E07000178,162039,88767,52154,15703,4221,1194
E07000179,149085,79641,49194,15408,3831,1011
E07000180,138913,72726,46700,14989,3585,913
E07000181,114237,58560,38834,12766,3198,879
E07000187,116090,55396,40072,15165,4312,1145
E07000188,125343,55925,44639,17763,5484,1532
E07000189,172671,79386,61211,23507,6637,1930
E07000192,100520,43559,35779,14742,4955,1485
E07000193,124019,57717,43989,16319,4637,1357
E07000194,106436,50143,37056,13924,4162,1151
E07000195,123300,54189,43520,17878,5972,1741
E07000196,110472,49718,39468,15421,4538,1327
E07000197,136867,64032,47929,18200,5203,1503
E07000198,95847,42805,33976,13660,4144,1262
E07000199,78647,35798,27433,10922,3434,1060
E07000200,92338,42772,33135,12352,3225,854
E07000202,139642,63728,49957,18905,5562,1490
E07000203,102699,48205,36960,13204,3454,876
E07000207,138755,81741,40971,12067,3038,938
E07000208,80938,43925,26427,8110,1940,536
E07000209,143650,78671,46690,13717,3531,1041
E07000210,87386,45952,28806,9411,2501,716
E07000211,150846,81155,49031,15541,3979,1140
E07000212,88079,46128,29446,9344,2487,674
E07000213,102956,51913,35432,11642,3072,897
E07000214,90453,48670,29656,9208,2249,670
E07000215,87877,45917,28955,9685,2570,750
E07000216,128229,70073,41167,12883,3236,870
E07000217,103942,55399,34440,10559,2776,768
E07000218,65034,29587,22596,9157,2864,830
E07000219,134197,59458,47478,19379,6075,1807
E07000220,114363,55844,39851,13777,3887,1004
E07000221,134725,66877,46177,16193,4275,1203
E07000222,148453,77332,49195,16306,4393,1227
E07000223,64544,29272,22573,9108,2800,791
E07000224,164889,71215,60303,24419,7110,1842
E07000225,124068,60839,42522,15366,4178,1163
E07000226,118493,58152,41451,13754,3975,1161
E07000227,146778,75551,49827,16218,4067,1115
E07000228,152566,80741,50460,16029,4180,1156
E07000229,111340,50406,39682,15418,4526,1308
E07000234,99183,50253,32850,11705,3329,1046
E07000235,79486,36926,27733,10843,3096,888
E07000236,87038,40480,30616,11431,3547,964
E07000237,103872,49220,36463,13209,3882,1098
E07000238,132492,62836,46380,17163,4829,1284
E07000239,101607,44004,36337,15024,4818,1424
E07000240,148167,85242,44893,13557,3520,955
E07000241,119836,61896,40200,13130,3664,946
E07000242,150155,81057,48853,15274,3916,1055
E07000243,89495,42673,31339,11298,3298,887
E07000244,246056,106604,88502,36851,11148,2951
E07000245,179948,85843,63799,22468,6150,1688
E07000246,157445,72178,55069,22010,6513,1675
E08000001,295963,142076,96785,38905,13968,4229
E08000002,193850,93456,63919,25700,8416,2359
E08000003,551938,280547,173458,64955,24915,8063
E08000004,242088,113590,79548,33754,11724,3472
E08000005,223773,104957,73713,30753,11214,3136
E08000006,269923,134447,86140,33249,12406,3681
E08000007,294773,145602,96317,37255,12017,3582
E08000008,231071,104704,77895,33204,11821,3447
E08000009,235052,124806,72803,26515,8406,2522
E08000010,329331,152373,110193,46214,16085,4466
E08000011,154519,73079,46569,21561,10037,3273
E08000012,486088,231830,150332,65142,29077,9707
E08000013,183245,82747,59974,26762,10591,3171
E08000014,279233,129449,90164,40057,14953,4610
E08000015,320199,148845,102703,45385,17840,5426
E08000016,244572,106010,82192,38001,14252,4117
E08000017,308104,136540,105090,45337,16192,4945
E08000018,265807,117359,90450,39277,14400,4321
E08000019,556522,259654,187759,75541,25998,7570
E08000021,300126,145219,96614,39307,14525,4461
E08000022,208965,96170,69597,30204,10188,2806
E08000023,147778,64656,48869,22930,8709,2614
E08000024,274171,118258,90486,43507,16834,5086
E08000025,1144919,544500,380993,150801,51755,16870
E08000026,345325,167651,116149,43030,14126,4369
E08000027,323488,141846,114604,47402,15299,4337
E08000028,341833,153337,116762,49048,17472,5214
E08000029,216240,106508,72191,26816,8293,2432
E08000030,284124,126170,97681,41567,14222,4484
E08000031,263727,118244,90690,38056,12953,3784
E08000032,546408,252136,188664,73124,24904,7580
E08000033,206631,96309,70657,27913,9057,2695
E08000034,433217,201705,149441,58024,18669,5378
E08000035,811953,402056,270304,98856,31621,9116
E08000036,353370,157984,121164,51084,17900,5238
E08000037,196151,85811,65777,30117,11120,3326
E09000001,8583,4937,2726,687,186,47
E09000002,218869,111929,71978,24295,8169,2498
E09000003,389344,213576,120802,39317,11724,3925
E09000004,246473,125181,82371,28260,8128,2533
E09000005,339814,176793,111300,36871,11158,3692
E09000006,329991,176211,106977,34265,9694,2844
E09000007,210136,116692,61665,21109,8013,2657
E09000008,390719,200050,130711,43327,12733,3898
E09000009,367115,192559,120388,38868,11619,3681
E09000010,329984,167119,108918,37822,12150,3975
E09000011,289068,152415,92418,30949,10134,3152
E09000012,259146,146836,73626,25710,9467,3507
E09000013,183157,108069,51238,16301,5603,1946
E09000014,264238,140184,83809,27408,9562,3275
E09000015,261203,134553,88594,27907,7715,2434
E09000016,262052,130764,89013,30642,8941,2692
E09000017,305909,156976,103725,33088,9244,2876
E09000018,288181,149624,96314,30323,9017,2903
E09000019,216589,118690,63421,22469,8901,3108
E09000020,143375,85462,38302,13191,4806,1614
E09000021,168063,90958,54724,16710,4367,1304
E09000022,317654,178535,96211,30240,9582,3086
E09000023,300550,159645,96291,31609,9891,3114
E09000024,215182,118140,68979,20760,5599,1704
E09000025,351036,180480,116872,37801,11823,4060
E09000026,310258,159202,105549,33011,9467,3029
E09000027,195278,115959,57054,16331,4574,1360
E09000028,307637,171620,93329,30002,9552,3134
E09000029,209639,107792,71329,22304,6322,1892
E09000030,310306,164359,99697,31182,11172,3896
E09000031,278426,143437,93169,29590,9277,2953
E09000032,327506,198576,91919,26746,7868,2397
E09000033,204236,115033,58977,19840,7404,2982
W06000001,68878,32788,21937,10216,3059,878
W06000002,117391,58620,37038,15668,4741,1324
W06000003,114742,51092,38345,17780,5819,1706
W06000004,95817,43115,31254,14621,5179,1648
W06000005,154962,73431,51838,20920,6716,2057
W06000006,135117,61404,45998,19316,6588,1811
W06000008,71475,32195,24054,10881,3328,1017
W06000009,123360,55187,41206,18605,6375,1987
W06000010,187897,84785,59550,29491,10554,3517
W06000011,238490,113823,73789,33363,13061,4454
W06000012,142289,64583,43219,21961,9388,3138
W06000013,145488,66751,46142,21589,8254,2752
W06000014,131939,63999,42548,17533,5906,1953
W06000015,362308,181604,115195,44144,16193,5172
W06000016,237651,105823,75427,36863,14925,4613
W06000018,175952,76930,56471,27645,11275,3631
W06000019,66904,27465,21865,11210,4785,1579
W06000020,92276,39335,31301,14340,5584,1716
W06000021,92955,43165,31887,12655,4060,1188
W06000022,159592,74351,52689,21937,8159,2456
W06000023,133169,59313,45946,20078,6040,1792
W06000024,58839,26718,17786,8837,4112,1386
