LTLA,ts0370001,ts0370002,ts0370003,ts0370004,ts0370005,ts0370006
E06000001,92338,39817,30749,14415,5625,1732
E06000002,143924,67207,46382,19821,7969,2545
E06000003,136531,58085,46416,21633,7916,2481
E06000004,196595,91479,65521,27307,9392,2896
E06000005,107800,48749,37324,15383,5016,1328
E06000006,128480,59066,41455,18088,7491,2380
E06000007,210974,105613,69138,25599,8265,2359
E06000008,154738,73950,50010,20507,7826,2445
E06000009,141036,56933,47255,23963,9777,3108
E06000010,267014,115776,93150,39851,13999,4238
E06000011,342215,153547,121117,49161,14088,4302
E06000012,156966,67586,54939,24237,7911,2293
E06000013,169680,72786,60954,25702,8003,2235
E06000014,202821,98610,71033,24604,6788,1786
E06000015,261364,119809,90551,35857,11542,3605
E06000016,368571,179719,123425,46156,14749,4522
E06000017,41049,20666,14063,4869,1169,282
E06000018,323632,153956,108292,41863,14787,4734
E06000019,187034,85521,65655,26040,7641,2177
E06000020,185541,85273,63231,25683,8812,2542
E06000021,258369,110241,90840,38276,14546,4466
E06000022,193409,100186,63514,21853,6121,1735
E06000023,472465,240060,154643,54311,18032,5419
E06000024,216727,103098,73421,28789,8897,2522
E06000025,290424,144395,99207,34595,9529,2698
E06000026,264695,121117,89371,37196,13109,3902
E06000027,139324,58842,47697,22578,7894,2313
E06000030,233410,112213,82155,28667,8185,2190
E06000031,215673,99550,77378,27730,8582,2433
E06000032,225261,109654,77855,27073,8162,2517
E06000033,180686,84380,62139,24096,7793,2278
E06000034,176001,89350,58689,20323,5904,1735
E06000035,279775,132845,96739,35907,11171,3113
E06000036,124610,65829,42515,12273,3147,846
E06000037,161449,82413,55946,17685,4319,1086
E06000038,174224,89196,60019,18627,5018,1364
E06000039,158500,81941,53816,16804,4625,1314
E06000040,153496,85594,48793,14471,3636,1002
E06000041,177500,97553,58866,16372,3676,1033
E06000042,287060,146636,96796,31721,9239,2668
E06000043,277103,139078,91878,32118,10757,3272
E06000044,208003,98505,72447,26740,8000,2311
E06000045,248922,118703,87353,30497,9536,2833
E06000046,140459,56014,51903,23077,7386,2079
E06000047,522068,224293,176980,81624,30167,9004
E06000049,398769,198755,132827,48431,14513,4243
E06000050,357150,174349,118810,45293,14499,4199
E06000051,323606,150899,112330,43932,12796,3649
E06000052,570305,260855,191185,82985,26972,8308
E06000053,2054,1054,677,240,66,17
E06000054,510333,252803,173908,62034,16995,4593
E06000055,185225,90419,64772,21942,6357,1735
E06000056,294252,148210,101486,33332,8817,2407
E06000057,320567,140289,110887,49447,15644,4300
E06000058,400196,190242,136523,52466,16230,4735
E06000059,379579,170366,135867,54010,15166,4170
E06000060,553079,293915,183564,57178,14525,3897
E06000061,359524,166047,128657,47271,13718,3831
E06000062,425725,209457,149226,49482,13891,3669
E07000008,145675,80195,46807,13957,3715,1001
E07000009,87762,42423,30830,10879,2859,771
E07000010,102462,41264,38407,16256,5064,1471
E07000011,180833,86577,64569,22026,6085,1576
E07000012,162116,84637,54501,17419,4313,1246
E07000026,96154,43162,32866,14357,4498,1271
E07000027,67407,29262,23259,10057,3792,1037
E07000028,110024,50139,38022,15476,4971,1416
E07000029,67076,29807,22281,10387,3572,1029
E07000030,54735,25678,19370,7256,1908,523
E07000031,104450,50056,36405,13384,3630,975
E07000032,126208,56072,44733,18298,5613,1492
E07000033,80273,33546,27509,12940,4844,1434
E07000034,103569,42969,36035,17062,5874,1629
E07000035,71540,34005,24678,9585,2534,738
E07000036,112906,50053,39919,16552,5020,1362
E07000037,90933,43301,31083,12007,3535,1007
E07000038,102001,44381,35060,15945,5166,1449
E07000039,107208,51669,36956,13642,3853,1088
E07000040,150827,69973,52881,20650,5798,1525
E07000041,130709,66498,43054,15152,4665,1340
E07000042,82852,39073,28866,10954,3085,874
E07000043,98611,46135,33154,13705,4352,1265
E07000044,88627,43499,29405,11292,3413,1018
E07000045,134803,61426,47053,19026,5739,1559
E07000046,68114,29852,23713,10453,3216,880
E07000047,57096,26007,19802,8236,2380,671
E07000061,101689,43956,35844,15503,4946,1440
E07000062,90994,38395,31864,14122,5025,1588
E07000063,99905,45533,34732,14156,4297,1187
E07000064,93110,39362,33607,14561,4365,1215
E07000065,160150,77218,55635,20209,5627,1461
E07000066,187571,90914,64185,23022,7229,2221
E07000067,155268,73375,55346,19655,5431,1461
E07000068,77047,41588,24413,8141,2214,691
E07000069,89587,40925,31438,12324,3807,1093
E07000070,181523,93611,61388,19993,5089,1442
E07000071,192715,94777,66963,22916,6281,1778
E07000072,134980,69924,44362,15163,4214,1317
E07000073,93328,44559,32106,11913,3659,1091
E07000074,66208,30903,23469,8677,2487,672
E07000075,85661,41866,29571,10588,2837,799
E07000076,148292,58492,52819,25460,8891,2630
E07000077,91341,49323,29898,9180,2301,639
E07000078,118837,60237,39932,13876,3695,1097
E07000079,90832,45781,31041,10559,2698,753
E07000080,87004,38990,30908,12355,3662,1089
E07000081,132416,61882,46736,17259,5172,1367
E07000082,121102,58893,42058,15125,4014,1012
E07000083,94884,47236,32541,11385,2956,766
E07000084,185157,92794,64764,20776,5419,1404
E07000085,125744,63828,43139,14273,3599,905
E07000086,136443,67981,47400,15896,4088,1078
E07000087,114513,55185,40519,14190,3698,921
E07000088,81952,35504,29829,12134,3587,898
E07000089,99408,54555,32704,9344,2177,628
E07000090,124208,55028,44185,18023,5437,1535
E07000091,175785,81075,62425,23866,6534,1885
E07000092,99756,49428,34814,11769,2965,780
E07000093,130492,65696,44842,14925,3958,1071
E07000094,127443,67850,41989,13236,3466,902
E07000095,99007,49630,33422,11621,3354,980
E07000096,155081,80604,51271,17171,4784,1251
E07000098,107828,57652,34388,11602,3205,981
E07000099,133210,67385,45317,15363,4089,1056
E07000102,93771,50330,30357,9788,2586,710
E07000103,102246,53559,34277,10601,2955,854
E07000105,132747,64334,45779,16551,4748,1335
E07000106,157429,74034,54597,20762,6224,1812
E07000107,116753,61128,38680,12556,3390,999
E07000108,116410,51455,40711,17036,5611,1597
E07000109,106900,52013,36416,13291,4088,1092
E07000110,175782,87494,59781,21018,5832,1657
E07000111,120515,63410,38931,13407,3660,1107
E07000112,109759,47404,38432,16801,5519,1603
E07000113,151678,68967,52738,21338,6688,1947
E07000114,140587,59000,49262,22148,7823,2354
E07000115,132201,67896,44052,14959,4164,1130
E07000116,115311,60833,37512,12586,3415,965
E07000117,94645,42648,31570,13808,5073,1546
E07000118,117732,57332,39109,15198,4735,1358
E07000119,81374,37427,27421,11815,3641,1070
E07000120,82234,36121,28210,12149,4387,1367
E07000121,142934,66454,48857,19619,6214,1790
E07000122,95760,44752,32255,13182,4286,1285
E07000123,147835,71585,48918,19091,6379,1862
E07000124,61561,32360,19764,7117,1855,465
E07000125,70873,33310,23556,9673,3430,904
E07000126,111035,53172,37823,14535,4318,1187
E07000127,117430,56460,38918,15404,5114,1534
E07000128,111946,49623,37251,17326,5902,1844
E07000129,102926,50473,35496,12636,3328,993
E07000130,183971,90255,63617,22344,6051,1704
E07000131,97627,50282,32717,11016,2850,762
E07000132,113640,52913,40394,14967,4164,1202
E07000133,51752,24748,18186,6757,1622,439
E07000134,104706,49180,36846,13648,3916,1116
E07000135,57747,26568,20744,7661,2170,604
E07000136,70502,29747,26118,10548,3193,896
E07000137,142296,53934,50793,25949,8969,2651
E07000138,103813,45492,38213,14444,4461,1203
E07000139,118074,54648,41825,15872,4509,1220
E07000140,95122,39386,35883,14451,4268,1134
E07000141,143404,65973,51176,19418,5456,1381
E07000142,95153,41693,34181,13948,4227,1104
E07000143,141477,60208,52416,21131,6109,1613
E07000144,131721,59373,47997,18304,4810,1237
E07000145,99748,40086,35834,16599,5610,1619
E07000146,154325,64413,56961,23789,7106,2056
