LTLA,ts0150001,ts0150002,ts0150003,ts0150004,ts0150005,ts0150006,ts0150007,ts0150008,ts0150009,ts0150010,ts0150011,ts0150012,ts0150013
E07000121,142932,129346,156,305,495,475,479,814,3566,1053,1464,2525,2254
E07000122,95756,78852,67,182,965,1173,994,1489,3034,1336,2671,3441,1552
E07000123,147835,119341,132,472,1858,1609,1293,2094,6919,2213,3464,5045,3395
E07000124,61560,58971,70,143,222,237,208,271,594,157,227,302,158
E07000125,70874,67329,48,225,322,346,393,451,824,232,282,306,116
E07000126,111034,105522,131,308,541,463,395,527,1445,424,550,557,171
E07000127,117429,110440,111,216,338,372,287,438,1956,799,966,1042,464
E07000128,111945,107748,107,301,366,356,312,423,931,313,386,477,225
E08000001,295962,245907,245,740,3277,3321,2483,4233,12588,4458,6982,8637,3091
E08000002,193851,170444,206,753,1500,1429,1290,2204,6270,2013,3041,3565,1136
E08000003,551940,378730,463,2532,5584,4860,5794,14737,48124,16058,25418,31409,18231
E08000004,242088,201825,182,635,1823,2681,3517,4510,9508,3074,5657,6455,2221
E08000005,223772,189122,202,733,2151,2513,2419,3220,9398,2859,4297,4928,1930
E08000006,269924,218617,206,721,1099,1049,1285,2980,14458,5764,8768,10038,4939
E08000007,294773,266918,368,1153,2227,2289,2050,3110,7050,2145,2766,3388,1309
E08000008,231071,207201,139,659,1723,1487,1501,2089,6610,2151,3035,3303,1173
E08000009,235050,200116,355,1477,2552,2211,2114,3867,10045,2515,3500,4168,2130
E08000010,329330,308857,165,437,772,826,814,1419,6129,2026,3177,3298,1410
E08000011,154517,146552,69,168,301,279,320,537,2132,815,1319,1427,598
E08000012,486087,413636,290,798,1417,1709,2059,4998,17971,7146,11567,15199,9297
E08000013,183248,174056,88,261,475,475,425,663,2245,929,1407,1597,627
E08000014,279232,261264,325,688,991,908,895,1405,4725,1678,2456,2645,1252
E08000015,320202,302789,330,795,1289,1302,1281,1924,4640,1236,1782,2051,783
E06000010,267015,232051,103,235,490,679,735,1582,11234,4380,6164,6469,2893
E06000011,342218,325230,332,685,1252,1205,1150,1547,4581,1611,1869,1949,807
E06000012,156964,146658,94,270,495,445,445,758,2736,866,1641,1745,811
E06000013,169678,153709,129,395,754,689,687,952,4786,1796,2253,2448,1080
E06000014,202824,180964,246,510,821,942,974,1702,5168,1802,2690,3884,3121
E07000163,56927,54295,77,128,215,212,206,269,653,229,236,259,148
E07000164,90690,86235,113,202,410,400,386,492,1177,313,342,433,187
E07000165,162667,148113,249,460,903,945,847,1272,3790,1176,1839,2139,934
E07000166,49776,45405,71,134,289,254,296,457,1010,264,410,487,699
E07000167,54705,51851,63,120,214,172,166,265,669,255,379,360,191
E07000168,108736,102093,105,299,463,373,328,497,1585,541,833,1046,573
E07000169,91987,86958,69,184,293,288,268,380,1485,572,716,546,228
E08000016,244571,228841,103,276,477,537,424,895,4243,1601,3441,2816,917
E08000017,308104,275987,164,689,1158,1042,972,1864,9443,3390,5708,5708,1979
E08000018,265807,247612,151,391,871,1020,965,1572,6212,1805,2055,2293,860
E08000019,556521,473313,368,1310,3174,3275,3434,7855,23336,7551,10267,13353,9285
E08000032,546412,444477,509,1990,8160,8660,7860,11775,27240,8495,9455,12483,5308
E08000033,206627,189037,243,748,1414,1529,1402,1917,4747,1351,1387,2091,761
E08000034,433215,378708,307,1539,5451,4858,3992,6189,13915,3928,4907,5938,3483
E08000035,811955,683681,641,2546,6509,5464,5114,10064,36735,11460,17189,20713,11839
E08000036,353370,323296,163,492,1061,1196,1155,1920,10040,3799,4684,4032,1532
E06000015,261363,210170,258,1175,3378,2672,2176,3940,15501,5029,6284,7673,3107
E06000016,368571,217078,309,1328,8889,12778,7438,13983,38648,13107,20572,23244,11197
E06000017,41047,37658,77,158,295,240,246,344,764,293,333,443,196
E06000018,323632,244133,279,1350,3309,2350,2148,5345,23204,7634,11345,13472,9063
E06000061,359525,303952,496,1404,2503,2292,2124,4037,16290,5849,9088,8274,3216
E06000062,425729,345735,492,1590,3155,3373,3086,5649,21865,7659,13191,14050,5884
E07000032,126207,121480,92,243,337,396,295,445,1318,428,530,432,211
E07000033,80273,75662,30,113,184,188,181,292,1156,686,882,644,255
E07000034,103569,98498,81,235,384,339,304,491,1332,437,594,562,312
E07000035,71541,68848,79,150,297,255,248,287,573,193,210,268,133
E07000036,112906,106972,86,281,507,447,359,522,1644,547,708,613,220
E07000037,90932,87157,71,251,353,366,267,419,976,252,338,348,134
E07000038,102000,98829,60,182,234,238,237,359,856,249,331,302,123
E07000039,107208,100786,76,233,573,432,427,628,1766,590,830,662,205
E07000129,102926,93029,123,340,1054,1179,631,958,2467,767,1067,989,322
E07000130,183973,159857,223,590,2258,2680,1663,2184,5411,1616,2435,2811,2245
E07000131,97626,90617,158,291,740,754,521,796,1596,487,640,676,350
E07000132,113640,106587,120,294,532,527,442,640,1948,644,991,671,244
E07000133,51753,48514,108,168,303,225,201,285,922,271,386,271,99
E07000134,104708,98326,79,198,362,349,343,496,1961,623,930,760,281
E07000135,57747,46568,97,316,1570,1779,811,1178,2431,528,897,1019,553
E07000136,70500,53830,36,136,224,174,196,454,6205,2483,3025,2560,1177
E07000137,142296,136421,182,446,616,484,433,570,1430,410,533,519,252
E07000138,103813,88152,81,289,487,467,411,814,4787,1652,2322,2651,1700
E07000139,118074,110835,171,407,685,602,593,848,1972,517,557,621,266
E07000140,95123,81215,104,252,455,386,279,619,5124,1867,2392,1828,602
E07000141,143404,130616,203,471,822,801,738,1090,4216,1250,1559,1192,446
E07000142,95155,90468,107,283,504,372,359,555,1223,333,383,398,170
E07000170,126300,119087,47,170,308,320,261,530,2430,851,1102,896,298
E07000171,117804,109896,94,279,377,313,306,546,2456,968,1223,1043,303
E07000172,110941,99589,113,341,752,701,586,1065,2906,978,1297,1627,986
E07000173,117258,108337,160,502,906,670,550,982,2350,706,953,864,278
E07000174,110481,98571,93,236,341,374,336,511,3352,1537,2312,2010,808
E07000175,122956,114028,127,328,553,456,399,551,2660,986,1345,1140,383
E07000176,119077,109177,209,401,948,849,656,1156,2428,684,844,1147,578
E06000019,187034,170958,319,586,836,735,742,1059,4971,1684,2199,1989,956
E06000020,185543,164432,136,425,1201,1092,945,1554,5389,1977,3330,3668,1394
E06000021,258369,224531,137,375,963,1259,1193,2533,9755,3328,5467,6293,2535
E06000051,323606,304471,430,875,1303,1187,1212,1644,4336,1584,2402,2585,1577
E07000192,100519,96919,68,189,257,253,230,307,893,264,590,376,173
E07000193,124018,106755,100,282,656,672,590,1058,4822,1980,3091,3031,981
E07000194,106436,101308,130,281,527,427,331,484,1268,396,534,559,191
E07000195,123301,114929,105,223,369,429,407,689,2561,736,1128,1133,592
E07000196,110472,106840,114,291,506,352,291,461,812,191,248,264,102
E07000197,136866,126625,187,386,702,625,498,796,2775,857,1558,1416,441
E07000198,95845,93393,78,169,243,198,177,249,657,191,216,208,66
E07000199,78647,73339,58,200,304,226,183,281,1158,391,1252,956,299
E07000218,65033,62234,57,160,220,165,146,227,655,203,460,386,120
E07000219,134197,118758,87,414,1115,849,586,1095,4755,1504,2429,1866,739
E07000220,114363,93470,145,488,1138,889,641,1225,6323,2235,3462,3211,1136
E07000221,134727,123358,248,496,798,729,653,1085,2895,920,1567,1466,512
E07000222,148453,124265,230,879,1852,1281,941,1745,4775,1864,3309,4635,2677
E07000234,99182,94380,140,382,575,438,372,542,1074,267,346,407,259
E07000235,79486,74872,137,301,383,374,332,434,1064,289,444,484,372
E07000236,87036,77100,89,310,431,476,399,652,3191,1126,1614,1175,473
E07000237,103873,90586,123,339,554,580,569,940,3708,1208,2003,2155,1108
E07000238,132493,121686,200,388,555,507,484,740,3050,1096,1863,1432,492
E07000239,101606,96555,173,329,389,319,331,454,1367,390,647,496,156
E08000025,1144919,838959,1387,8950,23257,20672,19133,32348,79376,23717,36779,40584,19757
E08000026,345322,248991,485,2749,5643,3800,2718,6531,25323,7975,13365,17161,10581
E08000027,323488,297930,187,746,2177,1717,1453,2752,7007,1914,3071,3329,1205
E08000028,341832,261213,181,1572,5825,4651,3806,7179,23450,7369,11255,11011,4320
E08000029,216242,193991,340,1257,2471,2040,1383,2245,5150,1539,2336,2455,1035
E08000030,284124,242162,167,939,3750,2985,2416,3873,11276,3661,5607,5230,2058
E08000031,263727,203312,249,1647,6483,3251,1947,4247,15564,5200,8221,9469,4137
E06000031,215677,154787,184,936,2040,2462,2118,4078,20890,7442,8804,8591,3345
E06000032,225261,138675,199,1803,4792,5237,5586,8874,22704,6798,11408,12845,6340
E06000033,180686,158100,201,727,1207,1265,1225,2743,7401,1904,2365,2478,1070
E06000034,176002,139059,101,365,859,993,1832,4499,13784,3954,5062,4002,1492
E06000055,185225,145586,302,1414,3082,2143,1880,3871,11166,3430,5098,5150,2103
E06000056,294252,261763,375,1300,2184,1856,1983,3337,9387,2773,3911,3343,2040
E07000008,145674,90388,204,473,1130,1398,1703,4158,11656,4881,8517,12704,8462
E07000009,87758,77395,94,249,503,477,493,996,3066,1095,1242,1549,599
E07000010,102462,89691,90,309,467,389,355,666,4721,1907,1856,1449,562
E07000011,180834,158430,267,710,1258,1141,1177,1882,6390,2161,2735,3355,1328
E07000012,162123,135924,219,552,1105,1223,1283,2912,7664,2619,3352,3813,1457
E07000066,187573,165407,186,610,888,980,1036,2379,7456,2106,2847,2614,1064
E07000067,155268,144076,180,474,840,726,755,1232,3417,1040,1294,934,300
E07000068,77047,68392,110,300,585,690,570,1135,2240,666,937,1013,409
E07000069,89588,85303,114,346,404,345,327,577,1157,290,305,300,120
E07000070,181523,159914,197,605,1066,1099,1038,2169,6344,1844,2715,3105,1427
E07000071,192716,164707,268,609,1238,1355,1286,2454,8140,2541,3593,4190,2335
E07000072,134979,116277,176,612,1511,1570,1449,2562,5164,1379,1802,1787,690
E07000073,93328,76255,89,400,535,554,572,1483,5797,1805,2371,2531,936
E07000074,66208,63255,78,224,297,257,267,392,720,187,215,210,106
E07000075,85663,82203,110,261,341,356,303,473,852,209,242,242,71
E07000076,148293,140821,281,783,917,610,575,798,1746,481,569,546,166
E07000077,91338,83396,155,300,510,503,584,958,2236,690,869,809,328
E07000095,99010,81314,120,842,1596,1072,1321,2560,4907,1408,1784,1570,516
E07000096,155082,132881,259,638,1192,1509,1465,2524,6265,1997,2810,2568,974
E07000098,107827,83151,200,660,1406,1903,1769,3285,7245,1993,2620,2597,998
E07000099,133213,117793,267,682,1555,1252,1128,1954,3886,1161,1455,1562,518
E07000102,93771,75953,183,504,1435,2101,1499,2245,5057,1196,1597,1359,642
E07000103,102246,67527,128,528,1640,1894,1705,3425,10541,3215,4554,5091,1998
E07000143,141476,126175,219,467,709,590,577,1075,4973,1886,2029,1966,810
E07000144,131722,124296,196,409,623,663,571,850,1921,607,680,663,243
E07000145,99750,89995,83,260,414,361,310,502,2840,1140,1520,1580,745
E07000146,154325,138376,191,497,735,532,555,1068,5267,1608,1903,2511,1082
E07000147,102981,98291,216,395,549,424,367,492,1004,345,349,346,203
E07000148,143924,118600,124,289,629,565,771,1746,7329,2563,3597,4977,2734
E07000149,141948,131950,205,380,677,662,609,1086,2818,861,1114,1120,466
E07000200,92338,87057,181,364,538,466,421,550,1328,378,483,411,161
E07000202,139640,114863,132,392,892,737,931,1695,7269,2477,4446,4241,1565
E07000203,102699,96911,150,374,570,447,450,612,1281,378,537,557,432
E07000240,148170,122959,322,756,1632,1966,2124,3233,6105,1938,2991,2916,1228
E07000241,119836,93466,191,587,1069,1125,1102,2448,7525,1981,3144,3950,3248
E07000242,150159,133893,201,577,948,936,1022,1763,4163,1330,2010,2409,907
E07000243,89498,74744,115,438,704,621,709,1515,4724,1271,1805,1957,895
E07000244,246058,231386,439,838,1270,1081,1096,1650,3647,1041,1600,1490,520
E07000245,179947,149325,296,608,980,824,998,1655,6172,1979,3095,9248,4767
E09000001,8585,4327,16,36,97,145,194,451,736,370,615,896,702
E09000002,218869,128483,132,635,1787,2453,5151,12958,30932,9121,11821,11140,4256
E09000003,389344,221293,1085,3643,9170,12696,11826,23371,42047,14255,19706,21921,8331
E09000004,246472,194714,318,1099,2696,3022,3432,7132,18000,4555,5187,4606,1711
E09000005,339816,149239,478,3797,12298,14700,12759,24225,44828,16407,24081,26518,10486
E09000006,329991,263052,591,1949,3824,4214,4694,9496,20159,5660,6868,7015,2469
E09000007,210138,114647,526,1438,3125,4703,7841,14735,17744,6738,10938,16628,11075
E09000008,390719,254536,511,3415,9858,9298,9840,19490,38733,11573,13790,14451,5224
E09000009,367113,180561,612,3164,11571,12031,11902,25247,48377,15779,23013,25394,9462
E09000010,329982,196824,555,4845,9858,8724,10168,22355,34694,10065,13675,13530,4689
E09000011,289068,180578,237,1181,3211,3757,5911,14364,34536,11024,13816,14729,5724
E09000012,259145,156219,199,1984,4521,4440,9242,18128,23652,8760,11892,14266,5842
E09000013,183157,99818,363,1449,3277,3274,5135,12040,18073,7024,10813,15056,6835
E09000014,264241,143117,387,2911,6509,5530,8840,19019,28140,11064,15911,16741,6072
E09000015,261204,127612,432,1912,8931,14802,10089,16070,33535,10121,15336,15996,6368
E09000016,262052,211166,311,1189,2478,2452,3006,6347,16522,4714,6271,5487,2109
E09000017,305910,188260,392,1728,6344,7603,6842,15116,34753,9655,13071,15524,6622
E09000018,288181,145556,345,1482,7612,8453,7524,16733,38829,12554,18170,22289,8634
E09000019,216589,130213,289,1745,3352,3523,6017,13209,17474,6883,10789,15182,7913
E09000020,143375,66063,458,1102,2713,4380,5954,11646,14554,6374,8938,13533,7660
E09000021,168063,111412,291,882,2475,3205,3725,7640,16123,4728,6605,7458,3519
E09000022,317654,195091,360,2550,6389,5497,9657,20731,28593,10226,13959,16938,7663
E09000023,300553,193483,284,2381,5815,4525,7271,16951,30057,10017,12477,12337,4955
E09000024,215188,127245,374,1491,4364,4639,5682,11786,25492,8165,10653,11239,4058
E09000025,351036,162447,110,1313,5844,8712,12632,23467,47701,17344,26804,30580,14082
E09000026,310262,174963,263,1848,8982,11529,10481,16119,33398,11143,16038,18288,7210
E09000027,195278,139053,549,1213,2828,3408,3832,7812,13650,4753,6718,8043,3419
E09000028,307637,182392,225,1894,4168,4488,10183,19745,30383,10764,15183,18647,9565
E09000029,209642,151447,320,1165,2880,3162,3734,7816,19975,5389,5952,5646,2156
E09000030,310306,165081,122,885,2423,5644,13544,16220,30475,12987,19940,27784,15201
E09000031,278423,171070,212,1952,6206,5603,6994,15600,29230,9966,14110,12938,4542
E09000032,327505,203322,528,2190,5611,5582,6751,15554,31139,12412,16836,19714,7866
E09000033,204235,90702,421,1488,3330,5151,7724,17211,21357,8203,13813,21412,13423
E06000035,279773,241119,378,1086,2517,2167,2215,4104,12324,3410,4175,4219,2059
E06000036,124607,102964,174,465,1002,982,1038,2614,6905,1855,2629,2786,1193
E06000037,161448,141996,300,628,1189,1162,1252,2049,5144,1553,2430,2685,1060
E06000038,174226,115894,202,691,1838,1548,1854,4552,15701,5692,8749,11819,5686
E06000039,158501,88806,146,820,4353,4183,3432,7360,23761,5858,7636,8522,3624
E06000040,153494,120245,306,836,2391,2357,2112,3842,8534,2728,3790,4483,1870
E06000041,177502,143891,287,706,1907,1910,1767,3643,10473,3027,3815,4127,1949
E06000042,287060,213215,308,1084,2618,3057,3077,7855,23503,7192,10593,10519,4039
E06000043,277102,222760,412,1070,2042,2795,2905,6193,12821,4780,7064,9228,5032
E06000044,208003,172763,253,669,1206,1349,1409,2508,9971,3311,4861,6133,3570
E06000045,248921,188823,249,776,1798,1710,1722,3646,18474,5832,8640,10499,6752
E06000046,140461,131851,308,601,773,638,632,841,2130,549,762,883,493
E06000060,553078,461030,1084,2763,7141,7204,6659,11076,26045,7128,9610,9289,4049
E07000061,101686,86238,252,508,866,988,802,1648,4321,1380,1906,2007,770
E07000062,90995,80653,152,368,658,620,654,1171,2920,811,1185,1221,582
E07000063,99905,91059,269,524,787,772,693,1077,2319,653,760,698,294
E07000064,93110,86089,298,535,789,667,509,762,1495,410,588,638,330
E07000065,160152,147986,399,797,1183,1069,1072,1530,2790,807,978,1104,437
E07000084,185157,157505,305,763,1316,1224,1239,2372,9140,2445,3327,3730,1791
E07000085,125744,113737,359,589,1038,981,913,1356,3193,821,1148,1095,514
E07000086,136444,123713,232,465,928,842,791,1373,3753,1062,1382,1336,567
E07000087,114515,106737,242,536,812,744,567,807,1821,525,683,764,277
E07000088,81953,75997,161,337,621,422,372,547,1677,434,622,546,217
E07000089,99409,87770,222,450,879,787,780,1548,3215,888,1101,1163,606
E07000090,124207,116201,264,588,866,617,567,823,1958,573,787,697,266
E07000091,175785,163689,471,799,1231,939,917,1309,2946,786,1096,1168,434
E07000092,99754,75967,174,366,752,756,812,1965,8831,2596,2863,3441,1231
E07000093,130492,115982,252,542,973,913,944,1582,4152,1351,1624,1594,583
E07000094,127440,113477,349,552,886,935,862,1485,3366,1100,1403,1873,1152
E07000105,132749,114942,219,407,752,749,716,1803,5992,1787,2032,2366,984
E07000106,157429,137129,278,593,949,992,954,1871,5027,1681,2301,3218,2436
E07000107,116753,93777,117,329,785,897,1079,2496,8833,2459,2717,2373,891
E07000108,116409,106575,225,458,741,724,620,1049,2860,1015,830,938,374
E07000109,106899,86328,108,441,1380,1089,1097,2178,6630,2088,2614,2184,762
E07000110,175782,151237,233,559,972,1023,991,2177,7586,2546,3552,3560,1346
E07000111,120514,107235,248,479,752,797,913,1768,3840,1055,1361,1436,630
E07000112,109757,98281,231,523,856,751,714,1291,3289,898,1158,1264,501
E07000113,151678,139533,142,438,698,646,738,1330,3732,1201,1437,1314,469
E07000114,140586,126862,211,588,891,834,837,1450,4187,1397,1327,1372,630
E07000115,132203,120359,166,423,761,754,814,1431,3535,1019,1208,1228,505
E07000116,115309,99728,257,419,827,921,1033,1784,4309,1480,1780,1868,903
E07000177,161016,132685,230,591,1165,1122,1237,2266,7899,2710,4516,4871,1724
E07000178,162040,105387,255,738,1700,1630,1946,4724,12631,4823,8046,11730,8430
E07000179,149085,130136,329,618,1094,1097,1254,2088,5123,1632,2284,2443,987
E07000180,138911,119245,278,517,1012,973,1067,2067,5415,1837,2505,2742,1253
E07000181,114240,102123,256,462,794,770,839,1298,3137,1028,1501,1477,555
E07000207,138756,109048,327,779,1779,2034,2115,3981,7649,2305,3358,3792,1589
E07000208,80937,63540,170,440,1064,1436,1309,2309,5210,1348,1582,1678,851
E07000209,143651,116160,324,589,1210,1318,1344,2857,6831,2197,3056,4390,3375
E07000210,87386,76578,244,423,838,814,784,1410,2861,818,1026,1076,514
E07000211,150848,126218,296,664,1485,1555,1647,3013,7035,1794,2554,3349,1238
E07000212,88079,70554,148,393,898,913,907,1753,4588,1492,1982,2801,1650
E07000213,102956,81469,164,550,1259,1276,1190,2441,6872,1935,2336,2458,1006
E07000214,90454,75028,224,481,1042,1086,1048,1940,4513,1163,1464,1743,722
E07000215,87873,78193,197,429,830,828,803,1353,2600,668,719,822,431
E07000216,128229,111898,376,731,1163,1224,1247,1912,3897,1263,1660,1790,1068
E07000217,103943,78797,205,489,1324,1464,1531,2751,6709,2209,3081,3824,1559
E07000223,64544,59300,112,263,409,402,409,656,1450,412,498,460,173
E07000224,164887,147218,414,797,1096,932,800,1378,5418,1900,2140,1939,855
E07000225,124067,111578,426,653,930,900,833,1148,3074,954,1393,1447,731
E07000226,118496,86743,134,381,1201,1764,1513,3234,10036,2945,4311,4810,1424
E07000227,146780,131674,353,629,1098,1011,1005,1715,3888,1102,1681,1803,821
E07000228,152566,134395,314,630,1138,1292,1244,2142,4763,1467,1905,2287,989
E07000229,111336,97846,237,566,936,893,848,1362,3664,1125,1734,1503,622
E06000022,193411,170090,332,726,1150,980,1095,1948,5288,1941,3043,3962,2856
E06000023,472465,383497,469,1447,3292,2928,3386,7822,25476,8561,12271,15315,8001
E06000024,216729,198533,309,698,1085,1024,1023,1498,5118,1720,2453,2386,882
E06000025,290423,259756,267,756,1346,1201,1309,2448,8793,3021,4421,4713,2392
E06000026,264695,240345,346,784,1329,1229,1050,1798,7165,2370,3182,3401,1696
E06000027,139324,129424,210,502,734,640,609,866,2888,784,1103,1006,558
E06000030,233410,185756,374,978,1708,1449,1483,3255,14582,5010,7259,8511,3045
E06000052,570302,540148,848,1782,2599,2273,2214,2880,7049,2368,2997,3432,1712
E06000053,2053,1940,1,4,7,4,5,8,26,13,9,21,15
E06000054,510332,459802,1234,2271,3790,3277,3532,5090,13176,3967,5427,6425,2341
E06000058,400197,338248,724,1653,2487,2694,2772,5260,17744,6105,8844,9342,4324
E06000059,379579,354852,1026,1770,2453,2196,1933,2646,5698,1539,2042,2282,1142
E07000040,150828,141530,358,616,874,794,670,876,2032,708,987,952,431
E07000041,130707,111104,173,352,606,635,619,1213,4868,1720,2625,3607,3185
E07000042,82853,77676,129,254,426,358,322,423,1355,527,583,563,237
E07000043,98611,93196,150,322,469,383,357,467,1281,326,554,697,409
E07000044,88627,83086,223,414,597,507,511,599,1050,309,459,619,253
E07000045,134805,127824,305,492,731,636,637,788,1584,460,592,538,218
E07000046,68113,65384,77,239,351,253,195,311,504,151,236,236,176
E07000047,57096,53989,129,251,339,286,235,318,595,187,299,290,178
E07000078,118838,101541,255,494,951,826,804,1419,4686,1592,2313,2753,1204
E07000079,90832,82833,235,408,629,527,611,855,1739,603,870,1067,455
E07000080,87001,82569,108,240,332,304,292,433,1072,386,474,554,237
E07000081,132417,113343,128,590,1194,794,725,1601,6288,1911,2506,2482,855
E07000082,121104,113160,219,505,724,604,655,957,2070,579,731,653,247
E07000083,94886,87116,166,289,544,490,491,731,2204,693,916,966,280
E07000187,116089,106933,252,500,681,576,570,823,2211,785,1124,1035,599
E07000188,125344,114721,189,370,493,436,405,591,3032,1294,1771,1414,628
E07000189,172671,158140,383,625,904,733,649,999,3988,1306,1991,2165,788
E07000246,157445,142957,323,571,882,780,688,912,3800,1202,1725,2349,1256
W06000001,68876,66583,71,172,279,256,186,272,476,114,193,210,64
W06000002,117394,111034,132,190,333,346,330,529,1334,479,667,1184,836
W06000003,114742,108801,141,317,472,515,476,600,1601,443,554,593,229
W06000004,95819,91306,101,247,311,333,271,409,1334,299,408,472,328
W06000005,154964,144952,149,323,517,505,486,665,2848,1205,1511,1387,416
W06000006,135118,124476,79,211,347,382,345,606,3870,1105,1512,1572,613
W06000008,71476,66430,90,185,239,299,252,380,1213,341,434,1039,574
W06000009,123358,117408,197,426,632,461,458,675,1339,398,453,613,298
W06000010,187899,178385,156,380,533,543,554,810,3083,870,1082,1051,452
W06000011,238490,216019,152,430,715,922,1126,1910,6791,1898,2837,3605,2085
W06000012,142289,137115,79,233,297,364,389,550,1429,354,529,607,343
W06000013,145489,139225,86,242,439,427,475,641,1991,499,587,556,321
W06000014,131940,124315,149,375,574,637,646,859,2066,441,678,733,467
W06000015,362308,302460,248,971,1940,2503,3056,5345,16618,5276,7402,9615,6874
W06000016,237649,228753,101,246,415,562,518,806,2379,661,929,1157,1122
W06000018,175949,170772,84,203,375,423,411,573,1520,505,540,391,152
W06000019,66903,64757,24,41,98,113,97,177,727,224,286,266,93
W06000020,92276,88990,60,171,242,268,211,287,1030,269,330,312,106
W06000021,92955,87843,138,290,441,431,397,547,1243,309,515,548,253
W06000022,159592,140174,92,396,757,783,1031,1645,6334,1886,2503,2784,1207
W06000023,133168,126711,191,325,569,434,485,603,1700,532,680,710,228
W06000024,58837,55553,46,38,102,125,96,163,1295,395,393,377,254
