LTLA,ts0150001,ts0150002,ts0150003,ts0150004,ts0150005,ts0150006,ts0150007,ts0150008,ts0150009,ts0150010,ts0150011,ts0150012,ts0150013
E06000001,92336,88673,40,97,176,238,210,365,1009,334,376,573,245
E06000002,143923,126242,65,297,686,767,646,1217,4150,1464,2136,3188,3065
E06000003,136534,132550,80,204,367,364,333,452,816,212,338,629,189
E06000004,196595,184328,116,320,741,838,833,1268,3325,1076,1367,1623,760
E06000005,107796,99373,77,197,490,540,432,629,2324,742,1247,1271,474
E06000047,522070,499175,238,526,1224,1360,1352,2008,5774,1737,2310,3497,2869
E06000057,320567,309315,244,599,1010,1036,1092,1219,2646,804,887,1284,431
E08000021,300125,247792,169,529,1295,1605,2018,4126,13531,4193,7209,10849,6809
E08000022,208969,197429,131,269,568,715,764,1334,3300,1000,1333,1466,660
E08000023,147776,141225,62,149,290,419,537,723,1816,525,677,873,480
E08000024,274173,260190,94,235,632,759,865,1128,3740,1035,1357,2010,2128
E08000037,196151,181578,105,221,394,555,601,1259,4210,1361,2101,2715,1051
E06000006,128477,122350,90,207,335,360,321,367,1328,529,958,1154,478
E06000007,210974,191226,150,472,874,898,861,1384,5500,2160,2921,3122,1406
E06000008,154738,126745,84,380,2525,2947,2042,3216,6495,1961,2790,3863,1690
E06000009,141035,129903,104,407,609,522,563,870,3143,979,1395,1560,980
E06000049,398768,365637,485,1059,1731,1684,1571,2513,8607,3055,4744,5226,2456
E06000050,357149,330940,400,934,1377,1363,1396,2260,6905,2457,3317,3877,1923
E07000026,96158,93035,74,130,245,234,221,320,813,223,340,376,147
E07000027,67402,64829,45,96,152,181,162,229,606,129,234,419,320
E07000028,110021,102654,100,210,332,355,337,500,2256,659,951,1150,517
E07000029,67077,65116,34,100,160,128,158,231,429,126,150,303,142
E07000030,54736,51963,56,116,157,163,153,193,701,234,375,462,163
E07000031,104450,98125,150,233,405,375,337,470,1593,576,879,883,424
E07000117,94646,82579,59,236,647,748,745,1013,2468,978,1393,2541,1239
E07000118,117733,111902,81,249,403,424,410,578,1585,501,639,725,236
E07000119,81375,76530,121,316,375,388,341,482,1180,406,413,566,257
E07000120,82233,74872,55,189,595,714,614,832,1971,622,631,804,334
