LTLA,ts0520001,ts0520002,ts0520003,ts0520004,ts0520005,ts0520006
E06000001,40932,15519,15242,9406,696,69
E06000002,60262,21319,21670,15214,1707,352
E06000003,61638,24552,22863,13129,978,116
E06000004,83757,35963,29707,16406,1393,288
E06000005,48917,17569,19069,11282,905,92
E06000006,55952,21441,19918,13390,1091,112
E06000007,90538,37494,30795,20269,1798,182
E06000008,58766,16344,21980,16722,3006,714
E06000009,64791,21009,23441,18851,1354,136
E06000010,115472,31467,44889,34970,3625,521
E06000011,152066,69541,55234,25390,1735,166
E06000012,69826,29021,24686,14870,1133,116
E06000013,73173,32097,25678,13897,1275,226
E06000014,85459,32613,30836,20430,1445,135
E06000015,105652,35239,36442,28700,3950,1321
E06000016,127388,30314,36177,45144,11677,4076
E06000017,16694,9049,5117,2363,148,17
E06000018,124745,34257,41549,41406,6147,1386
E06000019,82827,37669,25985,17702,1335,136
E06000020,76510,30624,26980,16968,1669,269
E06000021,110400,29987,44280,31349,4125,659
E06000022,79250,32037,25309,20184,1570,150
E06000023,191637,54309,61747,65897,8076,1608
E06000024,94648,40299,32456,20197,1542,154
E06000025,118101,51532,38504,25456,2327,282
E06000026,114557,36516,40333,34668,2779,261
E06000027,62994,20756,22943,17779,1348,168
E06000030,95862,34753,31399,25600,3349,761
E06000031,84533,28513,26745,24147,4200,928
E06000032,78940,19317,21559,28456,7592,2016
E06000033,78344,23021,26321,25698,2979,325
E06000034,66377,18567,21545,21743,3899,623
E06000035,111458,36909,37583,31917,4401,648
E06000036,50248,19108,16121,13444,1396,179
E06000037,66657,29214,20966,14946,1371,160
E06000038,67683,18411,20473,24025,3951,823
E06000039,52423,9557,13307,21272,6570,1717
E06000040,60932,25549,18880,14431,1718,354
E06000041,69164,33715,21030,13047,1230,142
E06000042,113102,40160,35242,31582,5235,883
E06000043,121402,29532,37088,49366,4910,506
E06000044,86155,24041,28969,29378,3348,419
E06000045,102291,24485,32346,39508,5204,748
E06000046,64775,23365,24246,15809,1246,109
E06000047,234761,87764,96974,46407,3282,334
E06000049,174856,80972,59190,32021,2319,354
E06000050,155155,69473,53317,29768,2294,303
E06000051,139579,64362,47155,25599,2053,410
E06000052,250535,99048,88767,57552,4615,553
E06000053,942,368,305,256,10,3
E06000054,215083,98103,70714,42373,3488,405
E06000055,74950,29198,22401,20205,2664,482
E06000056,120755,51010,40247,26667,2527,304
E06000057,146922,63679,53562,27828,1726,127
E06000058,173842,53841,60344,53700,5367,590
E06000059,169261,74823,56974,34653,2537,274
E06000060,220329,95963,66748,50618,5950,1050
E06000061,148918,61236,50942,32738,3545,457
E06000062,172640,70398,55985,39641,5656,960
E07000008,52472,15772,15841,18508,1733,618
E07000009,37203,16694,12698,7145,605,61
E07000010,44083,16371,16056,10358,1165,133
E07000011,76881,36398,23961,15090,1291,141
E07000012,66995,32580,21122,12325,883,85
E07000026,43973,19871,16620,7014,425,43
