LTLA,ts0530001,ts0530002,ts0530003,ts0530004,ts0530005,ts0530006
E06000001,40931,20016,12148,7472,1146,149
E06000002,60262,29141,17235,11349,2104,433
E06000003,61638,32062,17889,10160,1346,181
E06000004,83757,45141,23181,12984,2028,423
E06000005,48919,24332,14827,8506,1106,148
E06000006,55951,28411,16174,9657,1488,221
E06000007,90538,48267,23867,15694,2405,305
E06000008,58767,21318,18723,13655,3709,1362
E06000009,64789,32323,16745,13356,2151,214
E06000010,115472,42912,38182,28710,4857,811
E06000011,152066,85751,42539,20632,2830,314
E06000012,69827,41971,16468,10013,1241,134
E06000013,73173,41887,19230,10378,1405,273
E06000014,85459,38642,25351,17707,3465,294
E06000015,105652,49173,28674,21777,4535,1493
E06000016,127389,46357,30547,33607,12350,4528
E06000017,16693,10960,3605,1892,202,34
E06000018,124742,43636,35433,34983,8689,2001
E06000019,82827,45661,19280,14788,2779,319
E06000020,76510,37455,22184,14184,2253,434
E06000021,110400,49847,34337,21406,3969,841
E06000022,79250,39337,19059,16762,3711,381
E06000023,191638,78676,47154,50019,13497,2292
E06000024,94650,48828,25721,16609,3172,320
E06000025,118101,64419,29408,20448,3391,435
E06000026,114558,48724,31892,28154,5194,594
E06000027,62994,26812,19082,13778,2991,331
E06000030,95862,43039,25691,21712,4395,1025
E06000031,84533,36334,22170,20015,4899,1115
E06000032,78940,26759,19018,21617,8760,2786
E06000033,78344,32849,20314,19878,4680,623
E06000034,66377,23533,18072,18744,4979,1049
E06000035,111458,51648,29497,23654,5700,959
E06000036,50248,23471,12966,11347,2183,281
E06000037,66658,34726,16558,12702,2402,270
E06000038,67684,25314,16619,18938,5674,1139
E06000039,52424,12801,11883,17534,7706,2500
E06000040,60932,31337,14907,11690,2502,496
E06000041,69164,39557,16463,10889,2004,251
E06000042,113102,49435,28935,26537,6789,1406
E06000043,121402,37565,30229,38395,13957,1256
E06000044,86155,36501,22193,21375,5381,705
E06000045,102292,34102,26638,31638,8678,1236
E06000046,64775,31072,18840,12165,2438,260
E06000047,234761,111848,77976,38615,5613,709
E06000049,174856,98959,45912,25680,3764,541
E06000050,155156,86119,40607,24274,3642,514
E06000051,139579,78474,36152,20920,3275,758
E06000052,250535,122253,69062,47367,10608,1245
E06000053,944,463,234,201,43,3
E06000054,215081,117963,55356,35433,5658,671
E06000055,74951,37052,17407,15946,3859,687
E06000056,120755,62559,31844,22304,3545,503
E06000057,146922,77074,43169,23178,3185,316
E06000058,173840,68174,49302,43815,11347,1202
E06000059,169261,88387,45801,29646,4874,553
E06000060,220328,116612,51944,41981,8259,1532
E06000061,148918,78551,39295,25722,4648,702
E06000062,172640,88083,43739,32150,7249,1419
E07000008,52472,21141,13128,14253,3285,665
E07000009,37202,20075,9914,6102,989,122
E07000010,44083,21669,12784,7903,1500,227
E07000011,76880,43277,18656,12820,1885,242
E07000012,66996,38515,16427,10453,1439,162
E07000026,43973,23806,13512,5743,819,93
E07000027,31259,15347,9546,5541,728,97
E07000028,50663,25401,15731,8438,950,143
E07000029,30791,17251,9154,3748,576,62
E07000030,24610,14439,6520,3110,472,69
E07000031,47657,26174,13195,7242,951,95
E07000032,56277,28635,17345,8830,1308,159
E07000033,35261,16518,12350,5314,910,169
E07000034,48059,21665,14932,9905,1390,167
E07000035,32283,18093,8760,4635,731,64
E07000036,50334,26473,14487,8136,1088,150
E07000037,40772,18663,13054,7679,1231,145
E07000038,45987,22983,14882,7085,924,113
E07000039,45238,26160,12330,5804,836,108
E07000040,66791,35534,19017,10408,1614,218
E07000041,52555,22851,13872,12713,2854,265
E07000042,35633,18657,9496,6298,1058,124
E07000043,43194,22112,11996,7733,1201,152
E07000044,39335,21604,10457,6248,919,107
E07000045,59838,30328,17161,10512,1652,185
E07000046,30457,16473,8650,4564,688,82
E07000047,24818,14150,6207,3762,613,86
E07000061,45610,17309,13578,11139,3191,393
E07000062,40453,16190,10944,10497,2500,322
E07000063,43688,20527,12169,8741,2046,205
E07000064,42102,21831,11499,7128,1446,198
E07000065,68266,37782,17675,10784,1821,204
E07000066,76362,32070,20455,18993,4217,627
E07000067,64985,32604,17403,12718,2008,252
E07000068,32340,16335,7982,6458,1381,184
E07000069,37387,17284,11043,7221,1597,242
E07000070,75401,38692,18339,15364,2660,346
E07000071,79710,37544,21194,17169,3347,456
E07000072,54556,25400,13940,11809,2952,455
E07000073,37855,11449,10300,11778,3761,567
E07000074,27900,16323,6351,4416,708,102
E07000075,35558,18732,9235,6252,1202,137
E07000076,67451,29031,23129,12592,2354,345
E07000077,36957,21753,8358,5923,836,87
E07000078,52900,25914,13307,11630,1875,174
E07000079,40597,23967,9410,6334,791,95
E07000080,37218,21059,9132,5992,907,128
E07000081,55407,26690,14791,11322,2244,360
E07000082,52378,29476,12763,8638,1371,130
E07000083,40931,22867,10163,6788,1006,107
E07000084,76644,38075,20156,15383,2698,332
E07000085,52720,29363,12647,8883,1651,176
E07000086,56924,28472,15771,10877,1632,172
E07000087,48638,27651,12371,7411,1092,113
E07000088,35922,16843,9836,7765,1319,159
E07000089,39963,23133,9403,6439,889,99
E07000090,53589,25145,14483,11178,2454,329
E07000091,77566,42328,20179,12347,2452,260
E07000092,39301,15645,10395,10420,2382,459
E07000093,54707,30154,13803,9200,1380,170
E07000094,51715,27556,12579,9731,1688,161
E07000095,39850,16156,10328,9867,3024,475
E07000096,63412,28769,15930,15658,2743,312
E07000098,42682,17853,11147,10438,2776,468
E07000099,56731,27324,15198,12150,1859,200
E07000102,36858,17995,9150,7595,1861,257
E07000103,39626,14645,9251,11072,3889,769
E07000105,53583,26294,14260,10568,2069,392
E07000106,63792,28702,18396,12964,3297,433
E07000107,45694,17916,13100,11277,2922,479
E07000108,50549,24454,14167,9643,1957,328
E07000109,41725,17766,10588,10071,2715,585
E07000110,71208,35048,18649,14106,2948,457
E07000111,49013,26781,11509,8840,1659,224
E07000112,48338,22492,13523,9893,2074,356
E07000113,60493,27584,17361,12138,2843,567
E07000114,62200,25158,18874,14499,3138,531
E07000115,53572,28190,13720,9737,1712,213
E07000116,48223,23856,11186,10316,2587,278
E07000117,39872,14258,13586,9210,2140,678
E07000118,50132,26214,14849,7784,1129,156
E07000119,37606,20632,10040,5960,885,89
E07000120,34790,12216,12050,8033,1934,557
E07000121,59980,28919,17728,11119,1975,239
E07000122,38066,14272,12513,7944,2221,1116
E07000123,59605,25216,17508,13170,3007,704
E07000124,26747,14612,7504,3826,730,75
E07000125,30561,12126,10409,6426,1319,281
E07000126,48585,26358,14213,6840,1052,122
