LTLA,ts0230001,ts0230002,ts0230003,ts0230004,ts0230005,ts0230006
E06000001,40932,13616,26300,176,606,234
E06000002,60262,19964,36915,735,1624,1024
E06000003,61638,20663,39331,323,1023,298
E06000004,83759,25980,54307,696,2088,688
E06000005,48918,16714,30004,360,1424,416
E06000006,55951,17702,35879,451,1492,427
E06000007,90538,27364,57844,896,3493,941
E06000008,58767,17578,37636,701,1985,867
E06000009,64789,24588,36982,662,1787,770
E06000010,115472,39446,69204,1406,3176,2240
E06000011,152066,45678,100603,801,4098,886
E06000012,69826,22718,44528,460,1524,596
E06000013,73173,21366,48442,546,2044,775
E06000014,85459,26640,51471,763,4287,2298
E06000015,105652,33054,61786,2323,5562,2927
E06000016,127388,35173,76004,3505,7247,5459
E06000017,16694,4786,10826,113,834,135
E06000018,124745,41971,63535,4162,7751,7326
E06000019,82828,25434,52758,690,3018,928
E06000020,76510,21205,49730,1133,3110,1332
E06000021,110400,36179,67554,1532,3211,1924
E06000022,79250,23077,47283,948,5182,2760
E06000023,191638,57862,103612,4085,15366,10713
E06000024,94649,29090,59068,953,4376,1162
E06000025,118101,30747,77231,1593,6139,2391
E06000026,114558,37338,69938,1034,4130,2118
E06000027,62994,21883,37400,556,2329,826
E06000030,95861,27219,59094,1660,5767,2121
E06000031,84533,23516,50234,2461,5267,3055
E06000032,78940,21068,44688,3236,6048,3900
E06000033,78344,26102,44583,1381,4713,1565
E06000034,66377,16180,42332,1922,3862,2081
E06000035,111458,30462,70142,2178,6049,2627
E06000036,50248,13465,30463,955,4170,1195
E06000037,66658,18008,42021,836,4695,1098
E06000038,67683,19262,35849,2206,6372,3994
E06000039,52423,11948,31609,2033,4023,2810
E06000040,60931,16715,34638,1240,6552,1786
E06000041,69164,16265,44297,1164,5973,1465
E06000042,113102,29795,67310,3207,8887,3903
E06000043,121402,42101,57526,2484,12206,7085
E06000044,86155,27607,49560,1345,4357,3286
E06000045,102291,33711,55531,2109,6382,4558
E06000046,64774,22484,39025,466,2206,593
E06000047,234761,79529,147551,1074,4565,2042
E06000049,174856,53136,110638,1471,7860,1751
E06000050,155154,46887,98927,1233,6449,1658
E06000051,139579,41428,91370,839,4633,1309
E06000052,250535,76862,158738,1942,9610,3383
E06000053,942,307,582,5,34,14
E06000054,215080,60574,139225,2016,10637,2628
E06000055,74950,21448,42703,2264,6260,2275
E06000056,120755,31171,76544,2068,8851,2121
E06000057,146922,48149,94267,640,3302,564
E06000058,173843,56531,98404,2814,10995,5099
E06000059,169261,51741,108152,1014,6669,1685
E06000060,220328,57889,133941,4247,19153,5098
E06000061,148921,40715,94631,2686,7799,3090
E06000062,172640,46474,107398,3586,10421,4761
E07000008,52473,16660,23671,1269,6438,4435
E07000009,37203,10291,23313,511,2550,538
E07000010,44083,12787,28214,571,1761,750
E07000011,76879,21564,48291,984,4894,1146
E07000012,66993,17574,41073,1014,6006,1326
E07000026,43971,14672,28070,153,893,183
E07000027,31259,11308,19130,121,552,148
E07000028,50663,17780,30900,304,1294,385
E07000029,30789,10565,19420,86,590,128
E07000030,24617,7618,16012,116,688,183
E07000031,47657,15487,29827,261,1683,399
E07000032,56276,17166,36826,366,1607,311
E07000033,35260,10539,23481,203,814,223
E07000034,48058,17066,28925,378,1372,317
E07000035,32283,9890,20962,153,1101,177
E07000036,50337,15551,32093,467,1829,397
E07000037,40773,12944,25668,289,1572,300
E07000038,45987,14305,30031,246,1171,234
E07000039,45240,12249,30397,416,1800,378
E07000040,66788,20056,43112,417,2552,651
E07000041,52554,17021,29737,604,3039,2153
E07000042,35634,10238,23574,207,1304,311
E07000043,43197,13257,27939,248,1376,377
E07000044,39335,11621,25274,274,1723,443
E07000045,59838,18406,38305,381,2176,570
E07000046,30457,9330,19913,178,844,192
E07000047,24818,7300,16256,124,931,207
E07000061,45611,16205,24412,809,3054,1131
E07000062,40453,14441,22118,660,2396,838
E07000063,43689,13539,25978,569,2845,758
E07000064,42102,13713,25243,401,2203,542
E07000065,68266,18745,44177,601,3906,837
E07000066,76362,21474,48133,1446,3803,1506
E07000067,64986,17774,42369,727,3351,765
E07000068,32342,9402,19464,568,2409,499
E07000069,37389,10221,25043,330,1400,395
E07000070,75403,21153,47116,1021,4820,1293
E07000071,79708,23075,48223,1254,5024,2132
E07000072,54557,14827,32405,1266,4694,1365
E07000073,37857,10918,22545,1088,2249,1057
E07000074,27899,7418,18909,198,1129,245
E07000075,35560,9360,24166,262,1463,309
E07000076,67451,23073,40864,531,2326,657
E07000077,36958,9228,24072,449,2660,549
E07000078,52897,18432,29307,700,3343,1115
E07000079,40595,12261,25409,289,2196,440
E07000080,37217,10579,24903,210,1182,343
E07000081,55407,16754,33023,1333,2991,1306
E07000082,52378,15257,33415,463,2639,604
E07000083,40931,11551,26659,408,1886,427
E07000084,76645,20406,48340,1107,5244,1548
E07000085,52716,13910,34507,455,3177,667
E07000086,56924,15107,37381,652,3043,741
E07000087,48639,13009,32590,316,2226,498
E07000088,35922,11443,22503,306,1269,401
E07000089,39964,9836,26055,492,2967,614
E07000090,53589,15957,34781,370,1949,532
E07000091,77566,22737,50084,593,3310,842
E07000092,39303,10502,24327,694,2708,1072
E07000093,54708,14464,35985,533,2952,774
E07000094,51717,14333,32383,511,3484,1006
E07000095,39850,10971,23003,1326,3427,1123
E07000096,63412,17851,37718,1296,5199,1348
E07000098,42682,11527,24201,1379,4101,1474
E07000099,56732,16903,33013,1016,4822,978
E07000102,36859,9697,21927,796,3600,839
E07000103,39627,11146,21302,1378,4076,1725
E07000105,53583,13861,34750,771,3196,1005
E07000106,63792,19046,37424,814,4006,2502
E07000107,45695,11827,28430,1120,3139,1179
