LTLA,ts0380001,ts0380002,ts0380003,ts0380004,ts0380005,ts0380006,ts0380007
E06000001,92338,21145,10510,10635,71193,5629,65564
E06000002,143924,29520,14414,15106,114404,8506,105898
E06000003,136531,30483,14552,15931,106048,9733,96315
E06000004,196595,39052,17641,21411,157543,13684,143859
E06000005,107800,21104,9169,11935,86696,7971,78725
E06000006,128479,28382,13770,14612,100097,8404,91693
E06000007,210974,37266,16091,21175,173708,15575,158133
E06000008,154738,28575,14122,14453,126163,7805,118358
E06000009,141036,35459,17348,18111,105577,9214,96363
E06000010,267011,53395,24662,28733,213616,15133,198483
E06000011,342215,63601,26284,37317,278614,26420,252194
E06000012,156965,31990,14407,17583,124975,10248,114727
E06000013,169680,33343,14511,18832,136337,11490,124847
E06000014,202821,34592,11936,22656,168229,17534,150695
E06000015,261364,49040,21498,27542,212324,16027,196297
E06000016,368571,57148,25692,31456,311423,17029,294394
E06000017,41050,6523,2236,4287,34527,3523,31004
E06000018,323632,60218,26527,33691,263414,18612,244802
E06000019,187034,34828,14001,20827,152206,14239,137967
E06000020,185540,36526,16043,20483,149014,12169,136845
E06000021,258368,54607,25166,29441,203761,15914,187847
E06000022,193409,31778,11717,20061,161631,15225,146406
E06000023,472466,81159,32444,48715,391307,33272,358035
E06000024,216728,40533,16434,24099,176195,17378,158817
E06000025,290423,47429,18212,29217,242994,22016,220978
E06000026,264695,57395,25001,32394,207300,19788,187512
E06000027,139323,33224,15258,17966,106099,9981,96118
E06000030,233410,37075,14865,22210,196335,16003,180332
E06000031,215673,35180,14875,20305,180493,12609,167884
E06000032,225261,30932,13900,17032,194329,9986,184343
E06000033,180686,33106,14065,19041,147580,12637,134943
E06000034,175999,25443,10652,14791,150556,9633,140923
E06000035,279773,48572,20166,28406,231201,19357,211844
E06000036,124607,16703,5943,10760,107904,9475,98429
E06000037,161448,23671,8178,15493,137777,13131,124646
E06000038,174224,24095,8935,15160,150129,11322,138807
E06000039,158498,17975,7880,10095,140523,6234,134289
E06000040,153496,18906,7191,11715,134590,10198,124392
E06000041,177502,22159,7566,14593,155343,13876,141467
E06000042,287060,42512,16941,25571,244548,18254,226294
E06000043,277103,51797,20351,31446,225306,20804,204502
E06000044,208003,36648,14856,21792,171355,14983,156372
E06000045,248922,43937,17574,26363,204985,17283,187702
E06000046,140457,32755,13833,18922,107702,11087,96615
E06000047,522068,119790,55992,63798,402278,37748,364530
E06000049,398772,67819,27450,40369,330953,31165,299788
E06000050,357150,65897,27571,38326,291253,27628,263625
E06000051,323606,59990,24375,35615,263616,23887,239729
E06000052,570305,120570,50684,69886,449735,42337,407398
E06000053,2053,294,101,193,1759,201,1558
E06000054,510331,86495,31987,54508,423836,41733,382103
E06000055,185225,28727,11510,17217,156498,12851,143647
E06000056,294252,44032,16202,27830,250220,22637,227583
E06000057,320567,67190,28937,38253,253377,25706,227671
E06000058,400196,73838,30616,43222,326358,29898,296460
E06000059,379579,75077,29047,46030,304502,32237,272265
E06000060,553078,74601,27409,47192,478477,40063,438414
E06000061,359525,62313,25540,36773,297212,25577,271635
E06000062,425725,64876,25073,39803,360849,30401,330448
E07000008,145674,21433,7162,14271,124241,11269,112972
E07000009,87762,14166,5227,8939,73596,7375,66221
E07000010,102462,20836,9046,11790,81626,7186,74440
E07000011,180832,29577,11048,18529,151255,14805,136450
E07000012,162121,23898,8370,15528,138223,13822,124401
E07000026,96154,19205,8602,10603,76949,7080,69869
E07000027,67407,14652,6815,7837,52755,4689,48066
E07000028,110024,20767,8953,11814,89257,7807,81450
E07000029,67076,14143,6488,7655,52933,4767,48166
E07000030,54735,9226,3516,5710,45509,4306,41203
E07000031,104450,18409,6991,11418,86041,8980,77061
E07000032,126206,25066,10504,14562,101140,9462,91678
E07000033,80273,18343,8691,9652,61930,5438,56492
E07000034,103569,23838,10627,13211,79731,7829,71902
E07000035,71540,13177,5030,8147,58363,5962,52401
E07000036,112906,22123,9243,12880,90783,8512,82271
E07000037,90933,16732,6641,10091,74201,7751,66450
E07000038,102001,21748,9526,12222,80253,7849,72404
E07000039,107208,18412,7315,11097,88796,8183,80613
E07000040,150829,29413,11280,18133,121416,12529,108887
E07000041,130709,23782,8878,14904,106927,10247,96680
E07000042,82852,15326,5935,9391,67526,6483,61043
E07000043,98611,19298,7866,11432,79313,7665,71648
E07000044,88626,16755,6715,10040,71871,7339,64532
E07000045,134803,27411,10936,16475,107392,10885,96507
E07000046,68114,14449,5985,8464,53665,5183,48482
E07000047,57096,11896,4707,7189,45200,4797,40403
E07000061,101686,21919,9289,12630,79767,7680,72087
E07000062,90995,20525,8973,11552,70470,6484,63986
E07000063,99905,20342,8144,12198,79563,8525,71038
E07000064,93110,20138,8306,11832,72972,7471,65501
E07000065,160151,27629,10480,17149,132522,13320,119202
E07000066,187571,31380,13458,17922,156191,12373,143818
E07000067,155268,26288,10373,15915,128980,12082,116898
E07000068,77048,10851,4396,6455,66197,5213,60984
E07000069,89587,15884,6734,9150,73703,6036,67667
E07000070,181522,26188,9791,16397,155334,13626,141708
E07000071,192715,32624,12567,20057,160091,14637,145454
E07000072,134982,19012,7976,11036,115970,8186,107784
E07000073,93328,15224,6238,8986,78104,5856,72248
E07000074,66208,11484,4515,6969,54724,5158,49566
E07000075,85664,13697,5304,8393,71967,6432,65535
E07000076,148292,35694,16483,19211,112598,10540,102058
E07000077,91341,12230,4296,7934,79111,7041,72070
E07000078,118835,18948,7072,11876,99887,9656,90231
E07000079,90832,13983,5022,8961,76849,7462,69387
E07000080,87004,16681,6702,9979,70323,6707,63616
E07000081,132416,23073,9298,13775,109343,9726,99617
E07000082,121104,20521,7594,12927,100583,10096,90487
E07000083,94885,15172,5513,9659,79713,7764,71949
E07000084,185151,27778,10070,17708,157373,14920,142453
E07000085,125744,19579,7082,12497,106165,10808,95357
E07000086,136443,21869,8267,13602,114574,11169,103405
E07000087,114513,19252,7203,12049,95261,10227,85034
E07000088,81952,16714,6547,10167,65238,7189,58049
E07000089,99408,12850,4263,8587,86558,8103,78455
E07000090,124208,24718,10273,14445,99490,9953,89537
E07000091,175785,32591,12855,19736,143194,14696,128498
E07000092,99756,14309,5360,8949,85447,7111,78336
E07000093,130492,20316,7518,12798,110176,10521,99655
E07000094,127444,19566,6812,12754,107878,10994,96884
E07000095,99007,14255,6003,8252,84752,5565,79187
E07000096,155081,23522,9033,14489,131559,11290,120269
E07000098,107827,15076,6253,8823,92751,6638,86113
E07000099,133209,21236,7846,13390,111973,10814,101159
E07000102,93771,12692,4820,7872,81079,6344,74735
E07000103,102246,12933,5215,7718,89313,5687,83626
E07000105,132747,22655,9079,13576,110092,9592,100500
E07000106,157431,30870,12400,18470,126561,12431,114130
E07000107,116753,16374,6646,9728,100379,7148,93231
E07000108,116410,24647,10634,14013,91763,9063,82700
E07000109,106900,17509,7414,10095,89391,6541,82850
E07000110,175782,28025,11012,17013,147757,13001,134756
E07000111,120514,18088,7016,11072,102426,9064,93362
E07000112,109758,23960,10429,13531,85798,8486,77312
E07000113,151677,29637,12671,16966,122040,11087,110953
E07000114,140587,32135,14390,17745,108452,10392,98060
E07000115,132201,20224,7841,12383,111977,10388,101589
E07000116,115311,17299,6511,10788,98012,9284,88728
E07000117,94646,19502,9319,10183,75144,5467,69677
E07000118,117734,21811,9119,12692,95923,9516,86407
E07000119,81374,16649,7188,9461,64725,6579,58146
E07000120,82236,17127,7978,9149,65109,4908,60201
E07000121,142934,28856,11846,17010,114078,11302,102776
E07000122,95757,16915,7900,9015,78842,5176,73666
E07000123,147835,26840,12051,14789,120995,9229,111766
E07000124,61561,9398,3700,5698,52163,4866,47297
E07000125,70868,14027,6283,7744,56841,5110,51731
E07000126,111035,20314,8301,12013,90721,8736,81985
E07000127,117428,22776,10398,12378,94652,8435,86217
E07000128,111946,24771,11294,13477,87175,8536,78639
E07000129,102926,16305,6374,9931,86621,7678,78943
E07000130,183971,30149,11536,18613,153822,13686,140136
E07000131,97626,14709,5296,9413,82917,8042,74875
E07000132,113640,19926,7699,12227,93714,9154,84560
E07000133,51752,8727,3138,5589,43025,4301,38724
E07000134,104705,18330,7132,11198,86375,8240,78135
E07000135,57747,9916,3992,5924,47831,3956,43875
E07000136,70504,12576,5437,7139,57928,4112,53816
E07000137,142296,35512,16149,19363,106784,10184,96600
E07000138,103813,21323,8407,12916,82490,7896,74594
E07000139,118074,22104,8760,13344,95970,9657,86313
