LTLA,ts0080001,ts0080002,ts0080003
E06000001,92338,47653,44685
E06000002,143924,73040,70884
E06000003,136531,70446,66085
E06000004,196595,100072,96523
E06000005,107799,55129,52670
E06000047,522068,266764,255304
E06000057,320567,163989,156578
E08000021,300125,151802,148323
E08000022,208967,107630,101337
E08000023,147776,76062,71714
E08000024,274171,141078,133093
E08000037,196151,99952,96199
E06000006,128478,65547,62931
E06000007,210974,106529,104445
E06000008,154739,78043,76696
E06000009,141036,71410,69626
E06000049,398772,203195,195577
E06000050,357150,182842,174308
E07000026,96155,49062,47093
E07000027,67407,33976,33431
E07000028,110024,56145,53879
E07000029,67076,33629,33447
E07000030,54735,27594,27141
E07000031,104450,53299,51151
E07000117,94646,47849,46797
E07000118,117732,59045,58687
E07000119,81375,41517,39858
E07000120,82234,41756,40478
E07000121,142931,73002,69929
E07000122,95757,48396,47361
E07000123,147835,74101,73734
E07000124,61561,31357,30204
E07000125,70871,36106,34765
E07000126,111035,56734,54301
E07000127,117429,61002,56427
E07000128,111946,57516,54430
E08000001,295963,150056,145907
E08000002,193851,98741,95110
E08000003,551938,277877,274061
E08000004,242089,123766,118323
E08000005,223773,114055,109718
E08000006,269923,134389,135534
E08000007,294773,151373,143400
E08000008,231073,117797,113276
E08000009,235052,120644,114408
E08000010,329330,166333,162997
E08000011,154517,80668,73849
E08000012,486088,249460,236628
E08000013,183248,93334,89914
E08000014,279233,143990,135243
E08000015,320199,165122,155077
E06000010,267014,133781,133233
E06000011,342215,174368,167847
E06000012,156966,80154,76812
E06000013,169680,85970,83710
E06000014,202821,105298,97523
E07000163,56927,29309,27618
E07000164,90690,46456,44234
E07000165,162670,83007,79663
E07000166,49776,24311,25465
E07000167,54707,28023,26684
E07000168,108735,55899,52836
E07000169,91988,46806,45182
E08000016,244572,124293,120279
E08000017,308106,155280,152826
E08000018,265807,135547,130260
E08000019,556521,282327,274194
E08000032,546412,278968,267444
E08000033,206631,105901,100730
E08000034,433216,220870,212346
E08000035,811953,415579,396374
E08000036,353370,179539,173831
E06000015,261364,131854,129510
E06000016,368572,186460,182112
E06000017,41049,19977,21072
E06000018,323632,164628,159004
E06000061,359522,182452,177070
E06000062,425725,215060,210665
E07000032,126206,64233,61973
E07000033,80273,40693,39580
E07000034,103569,52681,50888
E07000035,71540,36601,34939
E07000036,112906,57461,55445
E07000037,90932,46252,44680
E07000038,102001,52267,49734
E07000039,107208,54665,52543
E07000129,102926,52478,50448
E07000130,183971,91931,92040
E07000131,97625,49276,48349
E07000132,113640,57607,56033
E07000133,51752,26496,25256
E07000134,104705,53071,51634
E07000135,57747,29754,27993
E07000136,70502,35806,34696
E07000137,142296,72771,69525
E07000138,103813,52410,51403
