LTLA,ts0080001,ts0080002,ts0080003
E07000139,118074,60220,57854
E07000140,95122,48367,46755
E07000141,143404,73896,69508
E07000142,95153,48464,46689
E07000170,126300,64441,61859
E07000171,117804,59391,58413
E07000172,110940,56542,54398
E07000173,117263,60384,56879
E07000174,110482,56089,54393
E07000175,122956,62458,60498
E07000176,119077,60729,58348
E06000019,187034,95180,91854
E06000020,185541,94206,91335
E06000021,258369,129893,128476
E06000051,323606,163923,159683
E07000192,100519,51007,49512
E07000193,124019,61985,62034
E07000194,106436,53993,52443
E07000195,123299,62840,60459
E07000196,110472,55164,55308
E07000197,136867,69235,67632
E07000198,95845,48566,47279
E07000199,78647,39912,38735
E07000218,65035,33121,31914
E07000219,134197,68285,65912
E07000220,114363,57412,56951
E07000221,134725,69351,65374
E07000222,148452,74605,73847
E07000234,99183,50730,48453
E07000235,79486,40849,38637
E07000236,87036,44049,42987
E07000237,103872,52999,50873
E07000238,132492,67499,64993
E07000239,101607,51785,49822
E08000025,1144919,584496,560423
E08000026,345324,173137,172187
E08000027,323488,164471,159017
E08000028,341832,173577,168255
E08000029,216240,111280,104960
E08000030,284124,145467,138657
E08000031,263727,134175,129552
E06000031,215673,109067,106606
E06000032,225262,112438,112824
E06000033,180686,92773,87913
E06000034,176000,89787,86213
E06000055,185225,94101,91124
E06000056,294252,149123,145129
E07000008,145674,72693,72981
E07000009,87762,44712,43050
E07000010,102462,52265,50197
E07000011,180833,91149,89684
E07000012,162119,82562,79557
E07000066,187571,96504,91067
E07000067,155268,79145,76123
E07000068,77047,39587,37460
E07000069,89587,46225,43362
E07000070,181523,92489,89034
E07000071,192715,98448,94267
E07000072,134980,69389,65591
E07000073,93328,47920,45408
E07000074,66208,33816,32392
E07000075,85661,44157,41504
E07000076,148292,76817,71475
E07000077,91341,46692,44649
E07000095,99007,51126,47881
E07000096,155081,78952,76129
E07000098,107827,56028,51799
E07000099,133210,68472,64738
E07000102,93771,48121,45650
E07000103,102246,51901,50345
E07000143,141476,71352,70124
E07000144,131721,67458,64263
E07000145,99745,50853,48892
E07000146,154325,78964,75361
E07000147,102979,52681,50298
E07000148,143922,72851,71071
E07000149,141947,72709,69238
E07000200,92338,47527,44811
E07000202,139642,70326,69316
E07000203,102699,52063,50636
E07000240,148167,75871,72296
E07000241,119837,60930,58907
E07000242,150158,76655,73503
E07000243,89495,45337,44158
E07000244,246058,126223,119835
E07000245,179948,89834,90114
E09000001,8583,3861,4722
E09000002,218869,112288,106581
E09000003,389344,200799,188545
E09000004,246472,127970,118502
E09000005,339816,173121,166695
E09000006,329991,171733,158258
E09000007,210136,110652,99484
E09000008,390719,203086,187633
E09000009,367115,186205,180910
E09000010,329984,172473,157511
E09000011,289068,148570,140498
E09000012,259146,135303,123843
E09000013,183157,97214,85943
E09000014,264238,136994,127244
E09000015,261203,132406,128797
E09000016,262052,135668,126384
E09000017,305909,154860,151049
E09000018,288181,144979,143202
E09000019,216589,113291,103298
E09000020,143375,76312,67063
E09000021,168063,87047,81016
E09000022,317654,163713,153941
E09000023,300553,157820,142733
E09000024,215187,110531,104656
E09000025,351036,175723,175313
E09000026,310260,156929,153331
E09000027,195278,101317,93961
E09000028,307637,158633,149004
E09000029,209639,108156,101483
E09000030,310306,154437,155869
E09000031,278425,141951,136474
E09000032,327506,172253,155253
E09000033,204236,105327,98909
E06000035,279773,142646,137127
E06000036,124607,63163,61444
E06000037,161447,81746,79701
E06000038,174224,87382,86842
E06000039,158500,80005,78495
E06000040,153496,78080,75416
E06000041,177502,90281,87221
E06000042,287060,145486,141574
E06000043,277103,141540,135563
E06000044,208003,104840,103163
E06000045,248922,123953,124969
E06000046,140459,72370,68089
E06000060,553078,282683,270395
E07000061,101689,53157,48532
E07000062,90996,46850,44146
E07000063,99905,51794,48111
E07000064,93110,48889,44221
E07000065,160151,83014,77137
E07000084,185154,93486,91668
E07000085,125746,64735,61011
E07000086,136443,69743,66700
E07000087,114513,58720,55793
E07000088,81952,41841,40111
E07000089,99408,50263,49145
E07000090,124208,64230,59978
E07000091,175785,91243,84542
E07000092,99754,49866,49888
E07000093,130492,66608,63884
E07000094,127445,65380,62065
E07000105,132747,68156,64591
E07000106,157429,81846,75583
E07000107,116753,59599,57154
E07000108,116410,59609,56801
E07000109,106900,54667,52233
E07000110,175782,88818,86964
E07000111,120514,62306,58208
E07000112,109758,56183,53575
E07000113,151677,76361,75316
E07000114,140587,72927,67660
E07000115,132201,67847,64354
E07000116,115311,59364,55947
E07000177,161016,81112,79904
E07000178,162041,82419,79622
E07000179,149085,75528,73557
E07000180,138913,69961,68952
E07000181,114237,58106,56131
E07000207,138754,71741,67013
E07000208,80938,41736,39202
E07000209,143649,72929,70720
E07000210,87386,44885,42501
E07000211,150846,77019,73827
E07000212,88079,45545,42534
E07000213,102956,52335,50621
E07000214,90453,46000,44453
E07000215,87874,45542,42332
E07000216,128229,66031,62198
E07000217,103943,52304,51639
E07000223,64544,33329,31215
E07000224,164889,85430,79459
E07000225,124068,64553,59515
E07000226,118493,59492,59001
E07000227,146778,75145,71633
E07000228,152566,78500,74066
E07000229,111338,57509,53829
E06000022,193409,99019,94390
E06000023,472465,237942,234523
E06000024,216728,111422,105306
E06000025,290424,146655,143769
E06000026,264695,134784,129911
E06000027,139324,71493,67831
E06000030,233410,117347,116063
E06000052,570305,293685,276620
E06000053,2054,1050,1004
E06000054,510330,258626,251704
E06000058,400196,204826,195370
E06000059,379579,195166,184413
E07000040,150828,78206,72622
E07000041,130709,67044,63665
E07000042,82852,42389,40463
E07000043,98611,50593,48018
E07000044,88627,45970,42657
E07000045,134803,69469,65334
E07000046,68114,34769,33345
E07000047,57096,29160,27936
E07000078,118836,60751,58085
E07000079,90832,47060,43772
E07000080,87004,44441,42563
E07000081,132416,66916,65500
E07000082,121104,61869,59235
E07000083,94884,48795,46089
E07000187,116089,59703,56386
E07000188,125343,63266,62077
E07000189,172671,88162,84509
E07000246,157445,80970,76475
W06000001,68878,35219,33659
W06000002,117393,59868,57525
W06000003,114741,59156,55585
W06000004,95818,49209,46609
W06000005,154962,79059,75903
W06000006,135117,68241,66876
W06000008,71475,36512,34963
W06000009,123360,63289,60071
W06000010,187897,96212,91685
W06000011,238490,120966,117524
W06000012,142289,72410,69879
W06000013,145488,73625,71863
W06000014,131939,68345,63594
W06000015,362310,185460,176850
W06000016,237651,121321,116330
W06000018,175952,89987,85965
W06000019,66904,34065,32839
W06000020,92276,47409,44867
W06000021,92957,47417,45540
W06000022,159587,81166,78421
W06000023,133169,67467,65702
W06000024,58839,30086,28753
