LTLA,ts0650001,ts0650002,ts0650003,ts0650004
E07000239,38774,3897,27127,7750
E07000240,43220,5778,29034,8408
E07000241,39335,6956,22873,9506
E07000242,44628,6040,30349,8239
E07000243,25776,3482,16315,5979
E07000244,100353,9755,74032,16566
E07000245,58508,7603,40209,10696
E07000246,58001,6065,42287,9649
E08000001,106851,11655,59565,35631
E08000002,66390,7386,40164,18840
E08000003,203675,38807,83518,81350
E08000004,88829,10257,46495,32077
E08000005,80488,8988,44498,27002
E08000006,89317,14210,46554,28553
E08000007,99121,10900,65698,22523
E08000008,79481,8798,47926,22757
E08000009,74594,9156,46700,18738
E08000010,114080,12012,72576,29492
E08000011,54807,6112,30193,18502
E08000012,197278,33594,97059,66625
E08000013,67946,6828,42822,18296
E08000014,107793,10990,70851,25952
E08000015,122608,12285,79958,30365
E08000016,88110,8953,56262,22895
E08000017,113067,12720,69605,30742
E08000018,97770,10199,60330,27241
E08000019,214243,32397,118632,63214
E08000021,123372,22905,60262,40205
E08000022,74247,7596,47414,19237
E08000023,58784,5746,35430,17608
E08000024,108920,10871,63945,34104
E08000025,447205,60649,200437,186119
E08000026,126730,20968,64571,41191
E08000027,117848,11916,75739,30193
E08000028,124956,14496,62719,47741
E08000029,76562,8432,50849,17281
E08000030,104567,10932,59548,34087
E08000031,97133,11602,53234,32297
E08000032,200437,21691,101628,77118
E08000033,73253,8243,46609,18401
E08000034,156191,17780,91330,47081
E08000035,284407,46612,160051,77744
E08000036,122897,13266,79025,30606
E08000037,74230,7685,45185,21360
E09000001,2653,508,1412,733
E09000002,67156,10242,28678,28236
E09000003,123179,18730,63342,41107
E09000004,77844,10402,47214,20228
E09000005,114146,18479,48297,47370
E09000006,102966,12797,67099,23070
E09000007,75397,13558,34511,27328
E09000008,120991,18113,64606,38272
E09000009,120345,19236,54181,46928
E09000010,113318,15731,54454,43133
E09000011,86813,14364,42785,29664
E09000012,75158,12852,30710,31596
E09000013,56534,10625,27259,18650
E09000014,81620,14433,36838,30349
E09000015,84584,11723,42238,30623
E09000016,84949,10788,52153,22008
E09000017,99073,15400,49255,34418
E09000018,89881,14900,42007,32974
E09000019,68656,12445,32049,24162
E09000020,53649,7954,27076,18619
E09000021,51315,8399,29152,13764
E09000022,86125,16938,40140,29047
E09000023,86699,15859,42205,28635
E09000024,60707,9646,32938,18123
E09000025,112728,19003,38773,54952
E09000026,100390,14123,45720,40547
E09000027,58269,8735,36926,12608
E09000028,89188,18062,39864,31262
E09000029,61433,8407,36539,16487
E09000030,97491,17585,33691,46215
E09000031,81810,13193,38003,30614
E09000032,83116,15140,42978,24998
E09000033,75725,12362,33356,30007
W06000001,27945,2710,20010,5225
W06000002,46151,6669,30948,8534
W06000003,47641,4763,34132,8746
W06000004,38063,3607,26240,8216
W06000005,53758,6127,36776,10855
W06000006,48469,5318,32013,11138
W06000008,31272,4290,21326,5656
W06000009,49786,5009,35721,9056
W06000010,73535,6642,51422,15471
W06000011,97244,13112,60788,23344
W06000012,57993,5826,37295,14872
W06000013,55498,5704,36809,12985
W06000014,47542,4927,32604,10011
W06000015,135874,24444,72621,38809
W06000016,90454,8928,57478,24048
W06000018,66043,5947,42520,17576
W06000019,26345,2301,16896,7148
W06000020,34458,3338,23258,7862
W06000021,35409,3599,25961,5849
W06000022,54635,6275,33236,15124
W06000023,50810,5123,37170,8517
W06000024,22042,2131,13769,6142
