LTLA,ts0650001,ts0650002,ts0650003,ts0650004
E06000001,36937,3665,21189,12083
E06000002,57505,6900,29159,21446
E06000003,56721,5319,35561,15841
E06000004,71567,7562,43060,20945
E06000005,38812,4187,24280,10345
E06000006,45242,5006,27938,12298
E06000007,69527,8737,45614,15176
E06000008,55951,6016,28035,21900
E06000009,56977,6480,35169,15328
E06000010,96088,12135,53599,30354
E06000011,132020,13136,93961,24923
E06000012,58673,6086,37093,15494
E06000013,63243,6384,41614,15245
E06000014,75885,13505,46259,16121
E06000015,92989,12950,53360,26679
E06000016,136080,22738,58698,54644
E06000017,15515,1801,10952,2762
E06000018,135456,30227,61658,43571
E06000019,68623,7778,49096,11749
E06000020,63177,8069,39460,15648
E06000021,93320,11072,55133,27115
E06000022,71806,14000,44902,12904
E06000023,151198,29915,81992,39291
E06000024,75865,8211,55379,12275
E06000025,89754,12945,60322,16487
E06000026,97606,13936,61100,22570
E06000027,58097,5876,41371,10850
E06000030,69285,9461,43602,16222
E06000031,66605,9413,37769,19423
E06000032,73977,11164,33473,29340
E06000033,63151,7906,40947,14298
E06000034,50415,7527,29008,13880
E06000035,90151,11674,55102,23375
E06000036,33536,5257,21202,7077
E06000037,48429,6279,33468,8682
E06000038,52494,10242,27392,14860
E06000039,45234,7595,19844,17795
E06000040,47373,6748,30298,10327
E06000041,51354,7236,34265,9853
E06000042,81453,12969,48631,19853
E06000043,96076,18794,54447,22835
E06000044,73034,13423,41032,18579
E06000045,86140,16226,45845,24069
E06000046,61676,6193,45548,9935
E06000047,211743,23087,129645,59011
E06000049,136987,15517,96004,25466
E06000050,126270,15471,84953,25846
E06000051,119821,12826,85969,21026
E06000052,223178,27029,160198,35951
E06000053,615,89,473,53
E06000054,166769,19945,118337,28487
E06000055,57253,7989,35457,13807
E06000056,85683,11222,57765,16696
E06000057,128070,12244,86935,28891
E06000058,148877,22185,99011,27681
E06000059,154125,15797,116646,21682
E06000060,170159,22715,112130,35314
E06000061,110333,14068,72279,23986
E06000062,127507,18950,81126,27431
E07000008,54167,13046,25952,15169
E07000009,26733,3207,18661,4865
E07000010,37724,3731,25383,8610
E07000011,56870,6999,39649,10222
E07000012,48094,6028,33700,8366
E07000026,36278,3687,24709,7882
E07000027,24654,2446,16278,5930
E07000028,38393,4537,25423,8433
E07000029,25438,2320,17014,6104
E07000030,19300,2377,13746,3177
E07000031,39566,4762,29212,5592
E07000032,44892,4597,31693,8602
E07000033,28178,2703,18730,6745
E07000034,38472,3777,26318,8377
E07000035,27832,3014,20997,3821
E07000036,38560,4208,26266,8086
E07000037,31046,3586,21928,5532
E07000038,38711,3682,27658,7371
E07000039,33048,4037,22356,6655
E07000040,60662,5965,47044,7653
E07000041,51631,11142,28990,11499
E07000042,27923,3196,20131,4596
E07000043,37031,4390,26760,5881
E07000044,34383,3724,25775,4884
E07000045,51324,5447,38369,7508
E07000046,27505,2755,20449,4301
E07000047,22979,2264,17350,3365
E07000061,40745,4494,28177,8074
E07000062,33804,3692,22118,7994
E07000063,38715,4074,28094,6547
E07000064,41555,3661,30878,7016
E07000065,59105,6167,43494,9444
E07000066,59652,7300,38432,13920
E07000067,50285,6024,34553,9708
E07000068,24969,3068,17139,4762
E07000069,33407,3267,23318,6822
E07000070,57876,7353,39394,11129
E07000071,64327,9461,40708,14158
E07000072,44136,5900,28075,10161
E07000073,27121,3728,16528,6865
E07000074,24172,2585,17374,4213
E07000075,30052,3230,21432,5390
E07000076,66610,5895,47167,13548
E07000077,27779,3714,19392,4673
E07000078,39279,5535,26133,7611
E07000079,32237,4158,23607,4472
E07000080,33057,3770,23030,6257
E07000081,41318,5977,25402,9939
E07000082,40276,4677,29174,6425
E07000083,30829,3607,22245,4977
E07000084,52834,7209,35657,9968
E07000085,42098,4899,30453,6746
E07000086,40816,5121,28404,7291
E07000087,40007,4186,29407,6414
E07000088,28727,3291,19818,5618
E07000089,29883,3907,21284,4692
E07000090,46497,4680,32588,9229
E07000091,70042,6949,52818,10275
E07000092,27856,4104,15916,7836
E07000093,40890,5038,29066,6786
E07000094,44177,6848,29891,7438
E07000095,31131,4164,19326,7641
E07000096,46583,6373,31028,9182
E07000098,33426,4717,20540,8169
E07000099,40582,5065,28235,7282
E07000102,28055,3814,18323,5918
E07000103,28104,4503,15559,8042
E07000105,43154,5056,28563,9535
E07000106,66610,10473,41023,15114
E07000107,31875,4519,19341,8015
E07000108,45205,4560,31057,9588
E07000109,34794,4415,21241,9138
E07000110,55727,6720,37416,11591
E07000111,40219,4571,28122,7526
E07000112,43736,4385,30115,9236
E07000113,52797,5772,34279,12746
E07000114,56227,5481,38197,12549
E07000115,41100,4876,28164,8060
E07000116,36504,4444,25141,6919
E07000117,35165,3836,20571,10758
E07000118,39123,4155,27112,7856
E07000119,33531,3218,24676,5637
E07000120,30005,3142,17728,9135
E07000121,57239,8680,35074,13485
E07000122,35600,3961,19876,11763
E07000123,52035,7496,28352,16187
E07000124,21077,2221,15406,3450
E07000125,24184,2573,15803,5808
E07000126,36788,3898,25561,7329
E07000127,44787,6514,28253,10020
E07000128,46516,4400,32772,9344
E07000129,32220,3651,21934,6635
E07000130,68301,12403,40170,15728
E07000131,31657,3723,22563,5371
E07000132,38032,4130,26740,7162
E07000133,17481,1970,12596,2915
E07000134,34204,4232,23293,6679
E07000135,21221,2732,13192,5297
E07000136,23953,2689,15940,5324
E07000137,65839,6359,46446,13034
E07000138,40349,8168,21934,10247
E07000139,41123,4174,29352,7597
E07000140,33764,3437,24024,6303
E07000141,49816,5537,35140,9139
E07000142,36980,3476,26050,7454
E07000143,52214,5299,37494,9421
E07000144,47915,4846,35632,7437
E07000145,41580,4673,27678,9229
E07000146,59669,5991,42402,11276
E07000147,47486,4581,36218,6687
E07000148,55044,10356,31240,13448
E07000149,49470,5054,36488,7928
E07000163,21152,2305,15912,2935
E07000164,33580,3652,24561,5367
E07000165,55620,6715,39177,9728
E07000166,17061,2177,11865,3019
E07000167,20363,2302,14808,3253
E07000168,45560,5128,31962,8470
E07000169,29309,3503,20415,5391
E07000170,44416,4489,29329,10598
E07000171,42453,4245,28697,9511
E07000172,40627,5025,26992,8610
E07000173,40270,4365,27654,8251
E07000174,38802,4116,24919,9767
E07000175,44854,4800,30511,9543
E07000176,40745,5161,28239,7345
E07000177,45617,6780,30030,8807
E07000178,63392,16564,28849,17979
E07000179,45015,5685,31913,7417
E07000180,41563,5310,28950,7303
E07000181,34883,4335,25038,5510
E07000187,40378,4649,28994,6735
E07000188,44634,4865,31568,8201
E07000189,62881,6536,46564,9781
E07000192,33601,3769,22117,7715
E07000193,41188,5100,26136,9952
E07000194,38124,4017,27044,7063
E07000195,46501,5707,30493,10301
E07000196,42673,4167,30359,8147
E07000197,47848,5167,34220,8461
E07000198,35819,3626,25864,6329
E07000199,25633,3036,16855,5742
E07000200,34422,3594,25490,5338
E07000202,44806,5607,27855,11344
E07000203,36281,3813,26964,5504
E07000207,41794,5454,28046,8294
E07000208,24699,3307,16058,5334
E07000209,49582,9447,29752,10383
E07000210,29998,3552,21471,4975
E07000211,45002,5983,29894,9125
E07000212,30261,5424,17754,7083
E07000213,31823,4663,20315,6845
E07000214,28419,3873,19165,5381
E07000215,28252,3290,19446,5516
E07000216,42913,5248,29987,7678
E07000217,30240,4204,19362,6674
E07000218,22144,2581,14861,4702
E07000219,45473,5264,28898,11311
E07000220,34080,4248,22755,7077
E07000221,46406,5244,33920,7242
E07000222,50507,7768,31847,10892
E07000223,23128,2485,16200,4443
E07000224,66363,6918,48152,11293
E07000225,48344,6264,34691,7389
E07000226,34668,6266,19668,8734
E07000227,48496,5834,35024,7638
E07000228,46744,5826,33351,7567
E07000229,38799,4422,27193,7184
E07000234,33814,3674,23714,6426
E07000235,31321,3106,23241,4974
E07000236,27557,3535,17672,6350
E07000237,33978,5202,21299,7477
E07000238,47060,5069,34017,7974
