variable_name,variable_code,table_ID,table_name,country,new_code,domain
Aged 25 to 44,age_25_44,ni012,Age - 19 Categories,ni,v15,Demography and Migration
Aged 45 to 64,age_45_64,ni012,Age - 19 Categories,ni,v16,Demography and Migration
Aged 65 to 84,age_65_84,ni012,Age - 19 Categories,ni,v17,Demography and Migration
Aged 85 years and over,ni0260087,ni026,Age - 86 Categories,ni,v18,Demography and Migration
Address one year ago is the same as the address of enumeration,ni0040002,ni004,Address One Year Ago,ni,v19,Demography and Migration
Chinese,ni0600006,ni060,Ethnic Group,ni,v21,"Ethnicity, Identity, Language and Religion"
Indian,ni0600005,ni060,Ethnic Group,ni,v22,"Ethnicity, Identity, Language and Religion"
Pakistani,ni0600008,ni060,Ethnic Group,ni,v23,"Ethnicity, Identity, Language and Religion"
Other Asian,ni0600010,ni060,Ethnic Group,ni,v24,"Ethnicity, Identity, Language and Religion"
Black,ni0590004,ni059,Ethnic Group,ni,v25,"Ethnicity, Identity, Language and Religion"
Mixed or Multiple ethnic groups,ni0600013,ni060,Ethnic Group,ni,v26,"Ethnicity, Identity, Language and Religion"
White,ni0580002,ni058,Ethnic Group,ni,v27,"Ethnicity, Identity, Language and Religion"
All household members have the same ethnic group,ni2570003,ni257,Ethnic Group (Household),ni,v28,"Ethnicity, Identity, Language and Religion"
Cannot speak English well or at all,ni0570004,ni057,English Language Proficiency - 4 Categories,ni,v29,"Ethnicity, Identity, Language and Religion"
No religion,ni1720006,ni172,Religion - 6 Categories,ni,v30,"Ethnicity, Identity, Language and Religion"
Christian,ni1720002,ni172,Religion - 6 Categories,ni,v31,"Ethnicity, Identity, Language and Religion"
Other religion,ni1720005,ni172,Religion - 6 Categories,ni,v32,"Ethnicity, Identity, Language and Religion"
Standardised Illness Ratio,SIR,SIR,Disability,ni,v33,"Health, Disability and Unpaid Care"
Provides unpaid care,ni1270003,ni127,Provision of Unpaid Care - 3 Categories,ni,v34,"Health, Disability and Unpaid Care"
Detached,ni1990002,ni199,Accommodation Type,ni,v35,Housing
Semi-detached,ni1990003,ni199,Accommodation Type,ni,v36,Housing
Terraced (including end-terrace),ni1990004,ni199,Accommodation Type,ni,v37,Housing
Lives in a flat,flat,ni003,Household: Accommodation Type,ni,v38,Housing
