old_names,new_names,Table_ID,Table_Name,Type,Variable_Name
Welsh language skills: Can read and write but cannot speak Welsh,ts0320008,ts032,Welsh language skills,,
Welsh language skills: Can speak and other combinations of skills in Welsh,ts0320009,ts032,Welsh language skills,,
Welsh language skills: No skills in Welsh,ts0320010,ts032,Welsh language skills,,
Residence type: Total; measures: Value,ts0010001,ts001,Residence type,Value,
Residence type: Lives in a household; measures: Value,ts0010002,ts001,Residence type,Value,
Residence type: Lives in a communal establishment; measures: Value,ts0010003,ts001,Residence type,Value,
Proficiency in English language: Total: All usual residents aged 3 years and over,ts0290001,ts029,Proficiency in English language,,
Proficiency in English language: Main language is English (English or Welsh in Wales),ts0290002,ts029,Proficiency in English language,,
Proficiency in English language: Main language is not English (English or Welsh in Wales),ts0290003,ts029,Proficiency in English language,,
Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well,ts0290004,ts029,Proficiency in English language,,
Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well,ts0290005,ts029,Proficiency in English language,,
Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well,ts0290006,ts029,Proficiency in English language,,
Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English,ts0290007,ts029,Proficiency in English language,,
Age of arrival in the UK: Total: All usual residents; measures: Value,ts0180001,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Born in the UK; measures: Value,ts0180002,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK; measures: Value,ts0180003,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value,ts0180004,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value,ts0180005,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value,ts0180006,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value,ts0180007,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value,ts0180008,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value,ts0180009,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value,ts0180010,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value,ts0180011,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value,ts0180012,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value,ts0180013,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value,ts0180014,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value,ts0180015,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value,ts0180016,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value,ts0180017,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value,ts0180018,ts018,Age of arrival in the UK,Value,
Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value,ts0180019,ts018,Age of arrival in the UK,Value,
Multiple main languages in household: Total: All households,ts0260001,ts026,Multiple main languages in household,,
Multiple main languages in household: One-person household,ts0260002,ts026,Multiple main languages in household,,
Multiple main languages in household: All household members have the same main language,ts0260003,ts026,Multiple main languages in household,,
"Multiple main languages in household: Main language differs between generations, but not within partnerships",ts0260004,ts026,Multiple main languages in household,,
Multiple main languages in household: Main language differs within partnerships,ts0260005,ts026,Multiple main languages in household,,
Multiple main languages in household: Any other combination of multiple main languages,ts0260006,ts026,Multiple main languages in household,,
Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,ts0590001,ts059,Hours worked,,
Hours worked: Part-time,ts0590002,ts059,Hours worked,,
Hours worked: Part-time: 15 hours or less worked,ts0590003,ts059,Hours worked,,
Hours worked: Part-time: 16 to 30 hours worked,ts0590004,ts059,Hours worked,,
Hours worked: Full-time,ts0590005,ts059,Hours worked,,
Hours worked: Full-time: 31 to 48 hours worked,ts0590006,ts059,Hours worked,,
Hours worked: Full-time: 49 or more hours worked,ts0590007,ts059,Hours worked,,
Number of households: Number of households; measures: Value,ts0410001,ts041,Number of households,Value,
Occupancy rating for rooms: Total: All households,ts0530001,ts053,Occupancy rating for rooms,,
Occupancy rating for rooms: Occupancy rating of rooms: +2 or more,ts0530002,ts053,Occupancy rating for rooms,,
Occupancy rating for rooms: Occupancy rating of rooms: +1,ts0530003,ts053,Occupancy rating for rooms,,
Occupancy rating for rooms: Occupancy rating of rooms: 0,ts0530004,ts053,Occupancy rating for rooms,,
Occupancy rating for rooms: Occupancy rating of rooms: -1,ts0530005,ts053,Occupancy rating for rooms,,
Occupancy rating for rooms: Occupancy rating of rooms: -2 or less,ts0530006,ts053,Occupancy rating for rooms,,
Migrant indicator: Total: All usual residents; measures: Value,ts0190001,ts019,Migrant indicator,Value,
Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,ts0190002,ts019,Migrant indicator,Value,
Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,ts0190003,ts019,Migrant indicator,Value,
Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,ts0190004,ts019,Migrant indicator,Value,
Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value,ts0190005,ts019,Migrant indicator,Value,
Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,ts0580001,ts058,Distance travelled to work,,
Distance travelled to work: Less than 2km,ts0580002,ts058,Distance travelled to work,,
Distance travelled to work: 2km to less than 5km,ts0580003,ts058,Distance travelled to work,,
Distance travelled to work: 5km to less than 10km,ts0580004,ts058,Distance travelled to work,,
Distance travelled to work: 10km to less than 20km,ts0580005,ts058,Distance travelled to work,,
Distance travelled to work: 20km to less than 30km,ts0580006,ts058,Distance travelled to work,,
Distance travelled to work: 30km to less than 40km,ts0580007,ts058,Distance travelled to work,,
Distance travelled to work: 40km to less than 60km,ts0580008,ts058,Distance travelled to work,,
Distance travelled to work: 60km and over,ts0580009,ts058,Distance travelled to work,,
Distance travelled to work: Works mainly from home,ts0580010,ts058,Distance travelled to work,,
"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK",ts0580011,ts058,Distance travelled to work,,
