variable name,variable_code,table_ID,table_name,new_code
Ownership or shared ownership,ni1070002,ni107,Household: Tenure - 5 Categories,v44
Part-time,ni1130002,ni113,Hours Worked - 3 Categories,v45
Full-time,ni1130003,ni113,Hours Worked - 3 Categories,v46
L15 Full-time students,ni1490017,ni149,National Statistics Socio-economic Classification,v47
1. Managers directors and senior officials,ni1550002,ni155,Occupation (Current) - 10 Categories,v48
2. Professional occupations,ni1550003,ni155,Occupation (Current) - 10 Categories,v49
3. Associate professional and technical occupations,ni1550004,ni155,Occupation (Current) - 10 Categories,v50
4. Administrative and secretarial occupations,ni1550005,ni155,Occupation (Current) - 10 Categories,v51
5. Skilled trades occupations,ni1550006,ni155,Occupation (Current) - 10 Categories,v52
6. Caring leisure and other service occupations,ni1550007,ni155,Occupation (Current) - 10 Categories,v53
7. Sales and customer service occupations,ni1550008,ni155,Occupation (Current) - 10 Categories,v54
8. Process plant and machine operatives,ni1550009,ni155,Occupation (Current) - 10 Categories,v55
9. Elementary occupations,ni1550010,ni155,Occupation (Current) - 10 Categories,v56
Economically active: Unemployed,economically_active ,ni050,Economic Activity - 12 Categories,v57
Level 1 Level 2 or Apprenticeship,level_1_2_and_appr,ni110,Qualifications (Highest Level),v58
Level 3 qualifications,ni1100006,ni110,Qualifications (Highest Level),v59
Level 4 qualifications or above,ni1100007,ni110,Qualifications (Highest Level),v60
Lives in a communal establishment,UV101b0043,UV101b,Usual resident population by sex by age (6),v01
Never married and never registered a civil partnership,UV1040002,UV104,Marital and civil partnership status,v02
Married or in a registered civil partnership,UV1040003,UV104,Marital and civil partnership status,v03
Separated or divorced,separated_divorced,UV104,Marital and civil partnership status,v04
One-person household,UV1120002,UV112,Household composition - People,v05
Families with no children,no_children ,UV112,Household composition - People,v06
Families dependent children,dependent_children ,UV112,Household composition - People,v07
Europe: United Kingdom,UV204b0043,UV204b,Country of birth (14) by sex by age (6),v08
Europe: EU countries,UV204b0022,UV204b,Country of birth (14) by sex by age (6),v09
Europe: Non-EU countries,UV204b0253,UV204b,Country of birth (14) by sex by age (6),v10
Africa,UV2060007,UV206,Passports held,v11
Population density (number of usual residents per square kilometre) ,population_density,population_density,Population density,v12
Aged 4 years and under,UV102b0002,UV102b,Age (20) by sex,v13
Aged 5 to 14,age_5_14,UV102b,Age (20) by sex,v14
Aged 25 to 44,age_25_44,UV102b,Age (20) by sex,v15
Aged 45 to 64,age_45_64,UV102b,Age (20) by sex,v16
Aged 65 to 84,age_65_84,UV102b,Age (20) by sex,v17
Aged 85 years and over,UV102b0021,UV102b,Age (20) by sex,v18
Address one year ago is the same as the address of enumeration,Same_as_the_address_of_enumeration,migrant_indicator,Migrant Indicator,v19
Bangladeshi,UV201b0085,UV201b,Ethnic group (19) by age (6),v20
Chinese,UV201b0092,UV201b,Ethnic group (19) by age (6),v21
Indian,UV201b0078,UV201b,Ethnic group (19) by age (6),v22
Pakistani,UV201b0071,UV201b,Ethnic group (19) by age (6),v23
Other Asian,UV201b0099,UV201b,Ethnic group (19) by age (6),v24
Black,UV201b0127,UV201b,Ethnic group (19) by age (6),v25
Mixed or Multiple ethnic groups,UV201b0057,UV201b,Ethnic group (19) by age (6),v26
White,UV201b0008,UV201b,Ethnic group (19) by age (6),v27
All household members have the same ethnic group,UV2030003,UV203,Multiple ethnic groups,v28
Cannot speak English well or at all,cannot_speak_English,UV210,English language skills,v29
No religion,UV2050012,UV205,Religion,v30
Christian,christian ,UV205,Religion,v31
Other religion,UV2050011,UV205,Religion,v32
Standardised Illness Ratio,SIR,SIR,Disability,v33
Provides unpaid care,UV3010003,UV301,Provision of unpaid care,v34
Detached,UV4010003,UV401,Accommodation type - People,v35
Semi-detached,UV4010004,UV401,Accommodation type - People,v36
Terraced (including end-terrace),UV4010005,UV401,Accommodation type - People,v37
Lives in a flat,UV4010006,UV401,Accommodation type - People,v38
Two or more cars or vans,cars_2_or_more,UV405,Car or van availability,v39
Under occupation,under_occupation,UV415,Occupancy rating for bedrooms,v40
Overcrowding,UV4150005,UV415,Occupancy rating for bedrooms,v41
Social rented,UV4030007,UV403,Household tenure - People,v42
Private rented,UV4030008,UV403,Household tenure - People,v43
Ownership or shared ownership,UV4030002,UV403,Household tenure - People,v44
Part-time,UV6010004,UV601,Economic activity,v45
Full-time,UV6010005,UV601,Economic activity,v46
L15 Full-time students,UV6070017,UV607,National Statistics Socio-economic Classification (NS-SeC),v47
1 Managers directors and senior officials,UV6060002,UV606,Occupation,v48
2 Professional occupations,UV6060005,UV606,Occupation,v49
3 Associate professional and technical occupations,UV6060010,UV606,Occupation,v50
4 Administrative and secretarial occupations,UV6060016,UV606,Occupation,v51
5 Skilled trades occupations,UV6060019,UV606,Occupation,v52
6 Caring leisure and other service occupations,UV6060024,UV606,Occupation,v53
7 Sales and customer service occupations,UV6060028,UV606,Occupation,v54
8 Process plant and machine operatives,UV6060031,UV606,Occupation,v55
9 Elementary occupations,UV6060034,UV606,Occupation,v56
Economically active: Unemployed,economically_active ,UV601,Economic activity,v57
Level 1 Level 2 or Apprenticeship,level_1_2_and_appr,UV501,Highest level of qualification,v58
Level 3 qualifications,UV5010006,UV501,Highest level of qualification,v59
Level 4 qualifications or above,UV5010007,UV501,Highest level of qualification,v60
